セクション,項目,君越 2026款 28T 白金版,君越 2026款 白金艾维亚版,君越 2025款 28T 白金版,君越 2025款 白金艾维亚版
,厂商指导价(元),20.99万 计算器,23.99万 计算器,20.99万 计算器,23.99万 计算器
,经销商报价,15.99万起,18.99万起,15.99万起,18.99万起
基本参数,厂商,上汽通用别克,上汽通用别克,上汽通用别克,上汽通用别克
基本参数,级别,中型车,中型车,中型车,中型车
基本参数,能源类型,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2024.10,2024.10
基本参数,最大功率(kW),174,174,174,174
基本参数,最大扭矩(N·m),350,350,350,350
基本参数,变速箱,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,2.0T 237马力 L4,2.0T 237马力 L4,2.0T 237马力 L4,2.0T 237马力 L4
基本参数,长*宽*高(mm),4996*1866*1472,4996*1866*1475,4996*1866*1472,4996*1866*1475
基本参数,官方0-100km/h加速(s),7.2,7.2,7.2,7.2
基本参数,最高车速(km/h),230,230,230,230
基本参数,WLTC综合油耗(L/100km),6.99,7.13,6.99,7.13
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1593,1621,1593,1621
基本参数,最大满载质量(kg),2050,2080,2050,2080
车身,长度(mm),4996,4996,4996,4996
车身,宽度(mm),1866,1866,1866,1866
车身,高度(mm),1472,1475,1472,1475
车身,轴距(mm),2905,2905,2905,2905
车身,前轮距(mm),1607,1601,1607,1601
车身,后轮距(mm),1611,1605,1611,1605
车身,接近角(°),13,14,13,14
车身,离去角(°),13,13,13,13
车身,车身结构,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5
车身,油箱容积(L),60,60,60,60
车身,后备厢容积(L),506,506,506,506
车身,风阻系数(Cd),-,-,-,-
发动机,发动机型号,LSY,LSY,LSY,LSY
发动机,排量(mL),1998,1998,1998,1998
发动机,排量(L),2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L
发动机,气缸数(个),4,4,4,4
发动机,每缸气门数(个),4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),237,237,237,237
发动机,最大功率(kW),174,174,174,174
发动机,最大功率转速(rpm),5000,5000,5000,5000
发动机,最大扭矩(N·m),350,350,350,350
发动机,最大扭矩转速(rpm),1500-4000,1500-4000,1500-4000,1500-4000
发动机,最大净功率(kW),169,169,169,169
发动机,能源类型,汽油,汽油,汽油,汽油
发动机,燃油标号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI
变速箱,简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
变速箱,挡位个数,9,9,9,9
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 225/55 R18,● 245/45 R19,● 225/55 R18,● 245/45 R19
车轮制动,后轮胎规格,● 225/55 R18,● 245/45 R19,● 225/55 R18,● 245/45 R19
车轮制动,备胎规格,● 补胎工具,● 无,● 补胎工具,● 无
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后 ●,前 ● / 后-,前 ● / 后 ●
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,膝部气囊,-,● 主驾膝部气囊,-,● 主驾膝部气囊
被动安全,缺气保用轮胎,-,●,-,●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-
主动安全,前方碰撞预警,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●
驾驶操控,驾驶模式切换,● 运动,● 运动,● 运动,● 运动
驾驶操控,发动机启停技术,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶硬件,前/后驻车雷达,前- / 后 ●,前 ● / 后 ●,前- / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 5个,● 6个,"● 5个
○ 6个",● 6个
驾驶硬件,超声波雷达数量,● 4个,● 12个,● 4个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 3个,● 3个
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● eCruise,● eCruise,● eCruise,● eCruise
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●
驾驶功能,地图品牌,● 高德,● 高德,● 百度,● 百度
驾驶功能,并线辅助,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●
驾驶功能,辅助泊车入位,-,●,-,●
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,●,○,●
外观/防盗,发动机电子防盗,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙",● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 全车,● 前排,● 全车
外观/防盗,远程启动功能,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED
车外灯光,灯光特色功能,-,● 矩阵式,-,● 矩阵式
车外灯光,LED日间行车灯,●,●,●,●
车外灯光,自适应远近光,●,●,●,●
车外灯光,自动头灯,●,●,●,●
车外灯光,车前雾灯,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●
天窗/玻璃,天窗类型,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车
天窗/玻璃,车窗防夹手功能,●,●,●,●
天窗/玻璃,侧窗多层隔音玻璃,● 前排,● 前排,● 前排,● 前排
天窗/玻璃,后排侧隐私玻璃,●,●,-,●
