セクション,セクション_ja,項目,項目_ja,2026年モデル L 300TSI DSG ファッショナブルタイプ,2026年モデル L 300TSI DSG エリートタイプ,2026年モデル L 300TSI DSG ラグジュアリータイプ,2026年モデル 3000万台記念セレクト 300TSI DSG フェニックス版,2026年モデル 3000万台記念セレクト 300TSI DSG スーパーエディション,2025年モデル 改良版 200TSI DSG フェニックス版,2025年モデル 改良版 300TSI DSG フェニックス版,2025年モデル 改良版3 300TSI DSG スーパーエディション,2025年モデル 改良版2 300TSI DSG エクセレント版
,nan,厂商指导价(元),メーカー希望小売価格(元),"14.79万元（日本円 約3,105,900円）","15.89万元（日本円 約3,336,900円）","16.49万元（日本円 約3,462,900円）","14.99万元（日本円 約3,147,900円）","15.89万元（日本円 約3,336,900円）","13.99万元（日本円 約2,937,900円）","14.99万元（日本円 約3,147,900円）","15.89万元（日本円 約3,336,900円）","17.29万元（日本円 約3,630,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"11.49万元（日本円 約2,412,900円）","12.59万元（日本円 約2,643,900円）","13.19万元（日本円 約2,769,900円）","11.39万元（日本円 約2,391,900円）","12.29万元（日本円 約2,580,900円）","10.39万元（日本円 約2,181,900円）","11.39万元（日本円 約2,391,900円）","12.29万元（日本円 約2,580,900円）","13.69万元（日本円 約2,874,900円）"
基本参数,基本仕様,厂商,メーカー,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.10,2025.10,2025.06,2025.06,2025.06,2025.06
基本参数,基本仕様,最大功率(kW),最大出力(kW),118,118,118,118,118,85,118,118,118
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),250,250,250,250,250,200,250,250,250
基本参数,基本仕様,变速箱,トランスミッション,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.5T 160馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,1.2T 116馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4812×1813×1479,4812×1813×1472,4812×1813×1472,4791×1801×1465,4791×1801×1465,4791×1801×1465,4791×1801×1465,4791×1801×1465,4791×1801×1465
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8.7,8.7,8.7,8.8,8.8,11.8,8.8,8.8,8.8
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200,200,200,200,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),5.49,5.55,5.55,5.77,5.77,5.71,5.77,5.77,5.77
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1440,1469,1469,1418,1418,1382,1418,1418,1418
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1930,1930,1930,1890,1890,1850,1890,1890,1890
车身,車体,长度(mm),全長(mm),4812,4812,4812,4791,4791,4791,4791,4791,4791
车身,車体,宽度(mm),全幅(mm),1813,1813,1813,1801,1801,1801,1801,1801,1801
车身,車体,高度(mm),全高(mm),1479,1472,1472,1465,1465,1465,1465,1465,1465
车身,車体,轴距(mm),ホイールベース(mm),2731,2731,2731,2731,2731,2731,2731,2731,2731
车身,車体,前轮距(mm),前トレッド(mm),1573,1567,1567,1543,1543,1543,1543,1543,1543
车身,車体,后轮距(mm),後トレッド(mm),1546,1541,1541,1546,1546,1546,1546,1546,1546
车身,車体,接近角(°),アプローチアングル(°),15,15,15,16,16,16,16,16,16
车身,車体,离去角(°),デパーチャーアングル(°),14,14,14,14,14,14,14,14,14
车身,車体,最小转弯半径(m),最小回転半径(m),5.5,5.5,5.5,-,-,-,-,-,-
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),51,51,51,50,50,50,50,50,50
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,553,553,553,553,553,553
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,DYZ,DYZ,DYZ,EA211-DSV,EA211-DSV,EA211-DLS,EA211-DSV,EA211-DSV,EA211-DSV
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1498,1498,1498,1197,1498,1498,1498
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.2,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,11.5,11.5,11.5,-,-,-,-,-,-
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,缸径(mm),ボア(mm),74.5,74.5,74.5,-,-,-,-,-,-
发动机,エンジン,行程(mm),ストローク(mm),85.9,85.9,85.9,-,-,-,-,-,-
发动机,エンジン,最大马力(Ps),最高出力(Ps),160,160,160,160,160,116,160,160,160
发动机,エンジン,最大功率(kW),最大出力(kW),118,118,118,118,118,85,118,118,118
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500,5500,5000,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),250,250,250,250,250,200,250,250,250
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,2000-3500,1750-4000,1750-4000,1750-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),118,118,118,118,118,85,118,118,118
发动机,エンジン,发动机特有技术,エンジン独自技術,ミラーサイクル,ミラーサイクル,ミラーサイクル,ミラーサイクル,ミラーサイクル,-,ミラーサイクル,ミラーサイクル,ミラーサイクル
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,最低燃油标号,最低燃料指定番号,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン,92オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
变速箱,トランスミッション,简称,略称,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ
变速箱,トランスミッション,挡位个数,段数,7,7,7,7,7,7,7,7,7
变速箱,トランスミッション,变速箱类型,トランスミッション形式,乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT)
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 205/55 R17,205/55 R17 225/45 R18,● 225/45 R18,● 205/55 R17,205/55 R17 225/45 R18（1000元）,● 205/60 R16,● 205/55 R17,205/55 R17 225/45 R18（2000元）,● 225/45 R18
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 205/55 R17,205/55 R17 225/45 R18,● 225/45 R18,● 205/55 R17,205/55 R17 225/45 R18,● 205/60 R16,● 205/55 R17,205/55 R17 225/45 R18,● 225/45 R18
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,○ フルサイズではない（200元）,○ フルサイズではない（200元）,○ フルサイズではない（200元）,○ フルサイズではない（200元）,○ フルサイズではない（200元）,○ フルサイズではない（200元）,○ フルサイズではない（200元）,○ フルサイズではない（200元）,○ フルサイズではない（200元）
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,○ トランク内,○ トランク内,○ トランク内,○ トランク内,○ トランク内,○ トランク内,○ トランク内,○ トランク内,○ トランク内
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,膝部气囊,ニーエアバッグ,-,-,-,-,-,-,-,-,● 運転席膝部エアバッグ
