セクション,項目,理想L6 2025款 Pro 智能焕新版,理想L6 2025款 Max 智能焕新版
,厂商指导价(元),24.98万 计算器,27.98万 计算器
,经销商报价,24.98万起 询底价,27.98万起 询底价
基本参数,厂商,理想汽车,理想汽车
基本参数,级别,中大型SUV,中大型SUV
基本参数,能源类型,增程式,增程式
基本参数,环保标准,国VI,国VI
基本参数,上市时间,2025.04,2025.04
基本参数,WLTC纯电续航里程(km),182,182
基本参数,CLTC纯电续航里程(km),212,212
基本参数,电池快充时间(小时),0.33,0.33
基本参数,电池慢充时间(小时),6,6
基本参数,电池快充电量范围(%),20-80,20-80
基本参数,电池慢充电量范围(%),0-100,0-100
基本参数,最大功率(kW),300,300
基本参数,最大扭矩(N·m),529,529
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座SUV,5门5座SUV
基本参数,发动机,增程式 154马力 L4,增程式 154马力 L4
基本参数,电动机(Ps),408,408
基本参数,长*宽*高(mm),4925*1960*1735,4925*1960*1735
基本参数,官方0-100km/h加速(s),5.4,5.4
基本参数,官方100-0km/h制动(m),34.59,34.59
基本参数,最高车速(km/h),180,180
基本参数,WLTC综合油耗(L/100km),0.72,0.72
基本参数,最低荷电状态油耗(L/100km),6.9,6.9
基本参数,最低荷电状态油耗(L/100km)WLTC,6.9,6.9
基本参数,电能当量燃料消耗量(L/100km),2.39,2.39
基本参数,油电综合燃料消耗量(L/100km),3.17,3.17
基本参数,整车质保,● 五年或10万公里,● 五年或10万公里
基本参数,整备质量(kg),2330,2345
基本参数,最大满载质量(kg),2820,2820
车身,长度(mm),4925,4925
车身,宽度(mm),1960,1960
车身,高度(mm),1735,1735
车身,轴距(mm),2920,2920
车身,前轮距(mm),1696,1696
车身,后轮距(mm),1704,1704
车身,满载最小离地间隙(mm),148,148
车身,空载最小离地间隙(mm),180,180
车身,最小离地间隙(mm),180,180
车身,接近角(°),20,20
车身,离去角(°),21,21
车身,纵向通过角(°),17.7,17.7
车身,最大爬坡度(%),40,40
车身,最大爬坡角度(°),21.8,21.8
车身,最小转弯半径(m),5.9,5.9
车身,最大涉水深度(mm),500,500
车身,车身结构,SUV,SUV
车身,车门开启方式,平开门,平开门
车身,车门数(个),● 5,● 5
车身,座位数(个),● 5,● 5
车身,油箱容积(L),60,60
车身,后备厢容积(L),751,751
车身,风阻系数(Cd),0.269,0.269
发动机,发动机型号,L2E15M,L2E15M
发动机,排量(mL),1496,1496
发动机,排量(L),1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置
发动机,气缸排列形式,L,L
发动机,气缸数(个),4,4
发动机,每缸气门数(个),4,4
发动机,压缩比,12.5,12.5
发动机,配气机构,DOHC,DOHC
发动机,缸径(mm),74.5,74.5
发动机,行程(mm),85.8,85.8
发动机,最大马力(Ps),154,154
发动机,最大功率(kW),113,113
发动机,最大功率转速(rpm),4800,4800
发动机,最大扭矩(N·m),245,245
发动机,最大扭矩转速(rpm),2500-4000,2500-4000
发动机,最大净功率(kW),110,110
发动机,能源类型,增程式,增程式
发动机,燃油标号,95号,95号
发动机,供油方式,直喷,直喷
发动机,缸盖材料,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金
发动机,环保标准,国VI,国VI
电动机,前电动机品牌,常州汇想,常州汇想
电动机,后电动机品牌,汇川联合/巨一动力,汇川联合
电动机,前电动机型号,TZ180XS118,TZ180XS118
电动机,后电动机型号,TZ190XY107/TZ190XY37I,TZ190XY107
电动机,电机类型,永磁/同步,永磁/同步
电动机,电动机总功率(kW),300,300
电动机,电动机总马力(Ps),408,408
电动机,电动机总扭矩(N·m),529,529
电动机,前电动机最大功率(kW),130,130
电动机,前电动机最大扭矩(N·m),220,220
电动机,后电动机最大功率(kW),170,170
电动机,后电动机最大扭矩(N·m),309,309
电动机,系统综合功率(kW),300,300
电动机,系统综合功率(Ps),408,408
电动机,系统综合扭矩(N·m),529,529
电动机,驱动电机数,双电机,双电机
电动机,电机布局,前置+后置,前置+后置
电动机,三电系统质保,● 八年或16万公里,● 八年或16万公里
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 宁德时代 欣旺达,● 宁德时代 欣旺达
电池/充电,电池特有技术,采用阻燃材料和热失控保护技术,采用阻燃材料和热失控保护技术
电池/充电,电池冷却方式,液冷,液冷
电池/充电,WLTC纯电续航里程(km),182,182
电池/充电,CLTC纯电续航里程(km),212,212
电池/充电,WLTC综合续航(km),1160,1160
电池/充电,CLTC综合续航(km),1390,1390
电池/充电,电池能量(kWh),36.8,36.8
电池/充电,百公里耗电量(kWh/100km),21.1,21.1
电池/充电,电池组质保,● 八年或16万公里,● 八年或16万公里
电池/充电,快充功能,支持,支持
电池/充电,高压平台（V）,400,400
电池/充电,电池快充时间(小时),0.33,0.33
电池/充电,电池慢充时间(小时),6,6
电池/充电,电池快充电量范围(%),20-80,20-80
电池/充电,电池慢充电量范围(%),0-100,0-100
电池/充电,慢充接口位置,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),3.5,3.5
电池/充电,对外放电最低允许值(%),20,20
变速箱,简称,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,255/50 R20 265/45 R21 (10000元),255/50 R20 265/45 R21 (10000元)
车轮制动,后轮胎规格,255/50 R20 265/45 R21,255/50 R20 265/45 R21
车轮制动,备胎规格,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,● 前 / 后,● 前 / 后
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后
被动安全,前排中间气囊,●,●
主动安全,ABS防抱死,●,●
主动安全,制动力分配(EBD/CBC等),●,●
