セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0T 2WD スタート版,2026年モデル 2.0T 4WD 尊享版,2026年モデル 2.0T 4WD 尊逸版,2026年モデル 2.0T 4WD 尊睿版,2026年モデル 2.0T 4WD 総裁版,2026年モデル 2.0T 4WD 尊逸 ハイブリッド版,2026年モデル 2.0T 4WD 尊睿 ハイブリッド版,2026年モデル 2.0T 4WD 大統領 ハイブリッド版,2025年モデル 改良版 2.0T 4WD 尊享版,2025年モデル 改良版 2.0T 4WD 尊逸版,2025年モデル 2.0T 4WD 尊睿版,2025年モデル 2.0T 4WD アトランティス版,2025年モデル 改良版 2.0T 4WD 尊逸 ハイブリッド版,2025年モデル 2.0T 4WD 尊睿 ハイブリッド版,2025年モデル 2.0T 4WD 大統領 ハイブリッド版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"30.58万元（日本円 約6,421,800円）","32.58万元（日本円 約6,841,800円）","34.58万元（日本円 約7,261,800円）","37.58万元（日本円 約7,891,800円）","39.88万元（日本円 約8,374,800円）","36.58万元（日本円 約7,681,800円）","40.58万元（日本円 約8,521,800円）","46.88万元（日本円 約9,844,800円）","32.58万元（日本円 約6,841,800円）","34.58万元（日本円 約7,261,800円）","37.58万元（日本円 約7,891,800円）","38.68万元（日本円 約8,122,800円）","36.58万元（日本円 約7,681,800円）","40.58万元（日本円 約8,521,800円）","46.88万元（日本円 約9,844,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"23.99万元（日本円 約5,037,900円）","27.58万元（日本円 約5,791,800円）","29.58万元（日本円 約6,211,800円）","31.88万元（日本円 約6,694,800円）","34.88万元（日本円 約7,324,800円）","31.58万元（日本円 約6,631,800円）","34.88万元（日本円 約7,324,800円）","41.88万元（日本円 約8,794,800円）","26.58万元（日本円 約5,581,800円）","28.58万元（日本円 約6,001,800円）","31.58万元（日本円 約6,631,800円）","32.68万元（日本円 約6,862,800円）","30.58万元（日本円 約6,421,800円）","34.58万元（日本円 約7,261,800円）","40.88万元（日本円 約8,584,800円）"
基本参数,基本仕様,厂商,メーカー,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン,長安リンカーン
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09,2025.08,2025.09,2025.09,2025.09,2025.08,2025.08,2024.09,2025.04,2025.08,2024.09,2024.09
基本参数,基本仕様,最大功率(kW),最大出力(kW),192,192,192,192,192,227,227,227,192,192,192,192,227,227,227
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),390,390,390,390,390,-,-,-,390,390,390,390,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,8速AT,8速AT,8速AT,8速AT,8速AT,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,8速AT,8速AT,8速AT,8速AT,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 282馬力 L4,2.0T 282馬力 L4,2.0T 282馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 261馬力 L4,2.0T 282馬力 L4,2.0T 282馬力 L4,2.0T 282馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),-,-,-,-,-,190,190,190,-,-,-,-,190,190,190
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4908×1952×1717(mm),4908×1952×1717(mm),4908×1952×1717(mm),4908×1952×1717(mm),4908×1952×1717(mm),4908×1952×1717(mm),4908×1952×1717(mm),4908×1952×1717(mm),4908×1952×1717(mm),4908×1952×1717(mm),4908×1952×1717(mm),4908×1952×1717(mm),4908×1952×1717(mm),4908×1952×1717(mm),4908×1952×1717(mm)
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),8.22,8.78,8.78,8.78,8.78,6.93,6.98,6.98,8.66,8.66,8.66,8.66,6.64,6.7,6.7
基本参数,基本仕様,整车质保,車両保証,● 5年または14万km,● 5年または14万km,● 5年または14万km,● 5年または14万km,● 5年または14万km,● 7年または18万km,● 7年または18万km,● 7年または18万km,● 5年または14万km,● 5年または14万km,● 5年または14万km,● 5年または14万km,● 7年または18万km,● 7年または18万km,● 7年または18万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1883,1964,1978,2005,2005,2080,2090,2128,1964,1978,2005,2005,2080,2090,2128
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2505,2505,2505,2505,2505,2580,2580,2580,2505,2505,2505,2505,2580,2580,2580
车身,車体,长度(mm),全長(mm),4908,4908,4908,4908,4908,4908,4908,4908,4908,4908,4908,4908,4908,4908,4908
车身,車体,宽度(mm),全幅(mm),1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952
车身,車体,高度(mm),全高(mm),1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717
车身,車体,轴距(mm),ホイールベース(mm),2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
