セクション,セクション_ja,項目,項目_ja,2025年モデル 702 ロングレンジ Ultra,2025年モデル 820 超ロングレンジ Ultra,2025年モデル 750 4WD 高性能 Ultra,2025年モデル 750 4WD 鵬翼 Ultra
,nan,厂商指导价(元),メーカー希望小売価格(元),"21.98万元（日本円 約4,615,800円）","23.98万元（日本円 約5,035,800円）","25.98万元（日本円 約5,455,800円）","30.18万元（日本円 約6,337,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"21.98万元（日本円 約4,615,800円）","23.98万元（日本円 約5,035,800円）","25.98万元（日本円 約5,455,800円）","30.18万元（日本円 約6,337,800円）"
基本参数,基本仕様,厂商,メーカー,XPengモーターズ,XPengモーターズ,XPengモーターズ,XPengモーターズ
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車,中大型車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.08,2025.08,2025.08,2025.08
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),702,820,750,750
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.2,0.19,0.19,0.19
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),270,270,437,437
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),465,465,695,695
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),367,367,594,594
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5017×1970×1427,5017×1970×1427,5017×1970×1427,5017×1970×1427
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),5.8,5.4,3.7,3.7
基本参数,基本仕様,官方100-0km/h制动(m),公式0-100km/h制動距離(m),-,-,33.16,33.16
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),230,230,230,230
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.39,1.39,1.57,1.57
基本参数,基本仕様,整车质保,車両保証,● 5年または12万km,● 5年または12万km,● 5年または12万km,● 5年または12万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2125,2090,2188,2220
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2575,2540,2638,2670
车身,車体,长度(mm),全長(mm),5017,5017,5017,5017
车身,車体,宽度(mm),全幅(mm),1970,1970,1970,1970
车身,車体,高度(mm),全高(mm),1427,1427,1427,1427
车身,車体,轴距(mm),ホイールベース(mm),3008,3008,3008,3008
车身,車体,前轮距(mm),前トレッド(mm),1682,1682,1682,1682
车身,車体,后轮距(mm),後トレッド(mm),1682,1682,1682,1682
车身,車体,接近角(°),アプローチアングル(°),13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),14,14,14,14
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,シザードア＋ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5
车身,車体,前备厢容积(L),フロントトランク容量(L),56,56,56,56
车身,車体,后备厢容积(L),リアトランク容量(L),575-1929,575-1929,575-1929,575-1929
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.201,0.201,0.201,0.201
电动机,モーター,前电动机品牌,前モーターブランド,-,-,武漢XPeng,武漢XPeng
电动机,モーター,后电动机品牌,後モーターブランド,Luxshare製造,Luxshare製造,Luxshare製造,Luxshare製造
电动机,モーター,前电动机型号,前モーター型式,-,-,YS230XY01E29X,YS230XY01E29X
电动机,モーター,后电动机型号,後モーター型式,TZ230XY01E29X,TZ230XY01E29X,TZ230XY01E29X,TZ230XY01E29X
电动机,モーター,电机类型,モーター種類,永久磁石/同期型,永久磁石/同期型,前誘導/非同期 後永久磁石/同期型,前誘導/非同期 後永久磁石/同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),270,270,437,437
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),367,367,594,594
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),465,465,695,695
电动机,モーター,前电动机最大功率(kW),前モーター最大出力(kW),-,-,167,167
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク(N·m),-,-,230,230
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),270,270,270,270
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),465,465,465,465
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,デュアルモーター,デュアルモーター
电动机,モーター,电机布局,モーター配置,リア配置,リア配置,フロント＋リア配置,フロント＋リア配置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池,● 三元系リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● EVEエナジー,● CALB（中創新航）,● CALB（中創新航）,● CALB（中創新航）
电池/充电,バッテリー/充電,电池特有技术,バッテリー独自技術,5C超急速充電AI電池,5C超急速充電AI電池,5C超急速充電AI電池,5C超急速充電AI電池
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),702,820,750,750
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),74.9,92.2,92.2,92.2
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり電力消費量(kWh/100km),12.0,12.0,13.5,13.5
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压快充,高圧急速充電,対応,対応,対応,対応
电池/充电,バッテリー/充電,高压平台（V）,高圧プラットフォーム（V）,800,800,800,800
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.2,0.19,0.19,0.19
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80
电池/充电,バッテリー/充電,慢充接口位置,普通充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電コネクター位置,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,对外交流放电功率(kW),外部交流放電出力(kW),6,6,6,6
变速箱,トランスミッション,简称,略称,電動車単速トランスミッション,電動車単速トランスミッション,電動車単速トランスミッション,電動車単速トランスミッション
变速箱,トランスミッション,挡位个数,段数,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● リア配置リア駆動,● リア配置リア駆動,● デュアルモーター四輪駆動,● デュアルモーター四輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,● 電動四輪駆動,● 電動四輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション,● ダブルウィッシュボーン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,245/45 R20 245/40 R21（1.60万元）,245/45 R20 245/40 R21（1.60万元）,245/45 R20 245/40 R21（1.60万元）,245/45 R20 245/40 R21（1.60万元）
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,275/40 R20 275/35 R21,275/40 R20 275/35 R21,275/40 R20 275/35 R21,275/40 R20 275/35 R21
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
