セクション,項目,iCAR 超级V23 2026款 401两驱超级运动版,iCAR 超级V23 2026款 550两驱超级运动版,iCAR 超级V23 2026款 550两驱赛博版,iCAR 超级V23 2026款 V23S 501四驱巅峰性能版,iCAR 超级V23 2026款 501四驱赛博版,iCAR 超级V23 2025款 401两驱进阶版,iCAR 超级V23 2025款 401两驱智驾版
,厂商指导价(元),12.28万 计算器,13.88万 计算器,15.88万 计算器,15.48万 计算器,17.48万 计算器,10.98万 计算器,11.98万 计算器
,经销商报价,12.28万起 询底价,13.88万起 询底价,15.88万起 询底价,15.48万起 询底价,17.48万起 询底价,10.98万起 询底价,11.48万起 询底价
基本参数,厂商,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09,2025.09,2024.12,2025.01
基本参数,CLTC纯电续航里程(km),401,550,550,501,501,401,401
基本参数,电池快充时间(小时),0.5,0.33,0.33,0.33,0.33,0.5,0.5
基本参数,电池慢充时间(小时),-,-,-,-,-,10.5,10.5
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),185,185,185,335,335,100,100
基本参数,最大扭矩(N·m),300,300,300,490,490,180,180
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),251,251,251,455,455,136,136
基本参数,长*宽*高(mm),4220*1915*1845,4220*1915*1845,4249*1915*1845,4220*1915*1845,4249*1915*1845,4220*1915*1845,4220*1915*1845
基本参数,官方0-100km/h加速(s),7.1,7.4,7.4,4.5,4.5,-,-
基本参数,官方0-50km/h加速(s),3.4,3.5,3.5,2.2,2.2,4.8,4.8
基本参数,最高车速(km/h),170,170,170,170,170,140,140
基本参数,电能当量燃料消耗量(L/100km),1.86,1.92,1.92,2.03,2.03,1.95,1.95
基本参数,整车质保,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里,● 五年或12万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),1735,1870,1870,1960,1960,1710,1710
基本参数,最大满载质量(kg),2110,2245,2245,2335,2335,2085,2085
车身,长度(mm),4220,4220,4249,4220,4249,4220,4220
车身,宽度(mm),1915,1915,1915,1915,1915,1915,1915
车身,高度(mm),1845,1845,1845,1845,1845,1845,1845
车身,轴距(mm),2735,2735,2735,2735,2735,2735,2735
车身,前轮距(mm),1613,1613,1613,1613,1613,1613,1613
车身,后轮距(mm),1641,1641,1641,1641,1641,1641,1641
车身,空载最小离地间隙(mm),200,200,200,210,210,200,200
车身,接近角(°),42,42,32,43,32,39,39
