セクション,セクション_ja,項目,項目_ja,2025年モデル 200万台記念版 40 TFSI スタイリッシュスポーツタイプ,2025年モデル 200万台記念版 40 TFSI ラグジュアリースポーツタイプ,2025年モデル 200万台記念版 40 TFSI ラグジュアリースポーツタイプ B&O スターライトエディション,2025年モデル 200万台記念版 45 TFSI quattro プレミアムスポーツタイプ
,nan,厂商指导价(元),メーカー希望小売価格(元),"28.98万元（日本円 約6,085,800円）","30.98万元（日本円 約6,505,800円）","32.98万元（日本円 約6,925,800円）","36.28万元（日本円 約7,618,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"19.70万元（日本円 約4,137,000円）","21.08万元（日本円 約4,426,800円）","22.46万元（日本円 約4,716,600円）","24.73万元（日本円 約5,193,300円）"
基本参数,基本仕様,厂商,メーカー,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ
基本参数,基本仕様,级别,クラス,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.02,2025.02,2025.02,2025.02
基本参数,基本仕様,最大功率(kW),最大出力(kW),140,140,140,180
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),320,320,320,370
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,2.0T 190馬力 L4,2.0T 190馬力 L4,2.0T 190馬力 L4,2.0T 245馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4858×1847×1439（mm）,4858×1847×1439（mm）,4858×1847×1439（mm）,4858×1847×1411（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8.3,8.3,8.3,6
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),235,235,235,240
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.90,6.90,6.90,7.55
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1645,1645,1645,1725
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2080,2080,2080,2160
车身,車体,长度(mm),全長(mm),4858,4858,4858,4858
车身,車体,宽度(mm),全幅(mm),1847,1847,1847,1847
车身,車体,高度(mm),全高(mm),1439,1439,1439,1411
车身,車体,轴距(mm),ホイールベース(mm),2908,2908,2908,2908
车身,車体,前轮距(mm),前トレッド(mm),1566,1566,1566,1566
车身,車体,后轮距(mm),後トレッド(mm),1549,1549,1549,1549
车身,車体,满载最小离地间隙(mm),満載時最小地上高(mm),97,97,97,97
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),15,15,15,15
车身,車体,最小转弯半径(m),最小回転半径(m),5.9,5.9,5.9,5.9
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
