セクション,セクション_ja,項目,項目_ja,2024年モデル インテリジェントハイブリッド 1.8L 先進版,2024年モデル インテリジェントハイブリッド 1.8L 豪華版,2024年モデル インテリジェントハイブリッド 1.8L ナイト版,2024年モデル インテリジェントハイブリッド 1.8L スポーツ版,2024年モデル 185T CVT 豪華版,2024年モデル 185T CVT スポーツ版,2023年モデル TNGA 1.5L CVT 進取版,2023年モデル TNGA 1.5L CVT 先進版,2023年モデル TNGA 1.5L CVT 豪華版,2023年モデル TNGA 1.5L CVT スポーツ版,2023年モデル インテリジェントハイブリッド 1.8L 先進版,2023年モデル インテリジェントハイブリッド 1.8L 豪華版,2023年モデル インテリジェントハイブリッド 1.8L スポーツ版
,nan,厂商指导价(元),メーカー希望小売価格(元),"12.98万元（日本円 約2,725,800円）","13.58万元（日本円 約2,851,800円）","13.78万元（日本円 約2,893,800円）","14.88万元（日本円 約3,124,800円）","12.98万元（日本円 約2,725,800円）","13.58万元（日本円 約2,851,800円）","11.38万元（日本円 約2,389,800円）","11.88万元（日本円 約2,494,800円）","12.78万元（日本円 約2,683,800円）","13.38万元（日本円 約2,809,800円）","13.38万元（日本円 約2,809,800円）","13.98万元（日本円 約2,935,800円）","14.88万元（日本円 約3,124,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"8.68万元（日本円 約1,822,800円）","9.28万元（日本円 約1,948,800円）","9.48万元（日本円 約1,990,800円）","10.58万元（日本円 約2,221,800円）","8.48万元（日本円 約1,780,800円）","9.08万元（日本円 約1,906,800円）","6.88万元（日本円 約1,444,800円）","7.38万元（日本円 約1,549,800円）","8.28万元（日本円 約1,738,800円）","8.88万元（日本円 約1,864,800円）","9.08万元（日本円 約1,906,800円）","9.68万元（日本円 約2,032,800円）","10.58万元（日本円 約2,221,800円）"
基本参数,基本仕様,厂商,メーカー,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6,国6
基本参数,基本仕様,上市时间,発売時期,2024.07,2024.07,2024.07,2024.07,2024.03,2024.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03
基本参数,基本仕様,最大功率(kW),最大出力(kW),101,101,101,101,85,85,89,89,89,89,101,101,101
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,185,185,148,148,148,148,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,CVT無段変速（擬似10速）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.8L 98馬力 L4,1.8L 98馬力 L4,1.8L 98馬力 L4,1.8L 98馬力 L4,1.2T 116馬力 L4,1.2T 116馬力 L4,1.5L 121馬力 L3,1.5L 121馬力 L3,1.5L 121馬力 L3,1.5L 121馬力 L3,1.8L 98馬力 L4,1.8L 98馬力 L4,1.8L 98馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),95,95,95,95,-,-,-,-,-,-,95,95,95
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4640×1780×1435,4640×1780×1435,4640×1780×1435,4640×1780×1435,4640×1780×1455,4640×1780×1435,4640×1780×1435,4640×1780×1435,4640×1780×1435,4640×1780×1435,4640×1780×1435,4640×1780×1435,4640×1780×1435
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,160,160,180,180,180,180,180,180,160,160,160
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),4.07,4.07,4.32,4.32,5.95,5.95,5.43,5.43,5.43,5.43,4.07,4.07,4.32
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1405,1420,1420,1430,1360,1370,1325,1325,1340,1345,1405,1420,1430
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1845,1845,1845,1845,1770,1770,1740,1740,1740,1740,1845,1845,1845
车身,車体,长度(mm),全長(mm),4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640,4640
车身,車体,宽度(mm),全幅(mm),1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780
车身,車体,高度(mm),全高(mm),1435,1435,1435,1435,1455,1435,1435,1435,1435,1435,1435,1435,1435
车身,車体,轴距(mm),ホイールベース(mm),2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
车身,車体,前轮距(mm),前トレッド(mm),1531,1531,1531,1531,1527,1531,1531,1531,1531,1531,1531,1531,1531
车身,車体,后轮距(mm),後トレッド(mm),1537,1535,1535,1535,1526,1535,1519,1519,1519,1519,1537,1535,1535
车身,車体,接近角(°),アプローチアングル(°),12,12,12,12,13,13,12,12,12,12,12,12,12
车身,車体,离去角(°),デパーチャーアングル(°),16,16,16,16,16,16,16,16,16,16,16,16,16
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),43,43,43,43,50,50,47,47,47,47,43,43,43
车身,車体,后备厢容积(L),トランク容量(L),471,471,471,471,471,471,-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,8ZR,8ZR,8ZR,8ZR,9NR,9NR,M15C,M15C,M15C,M15C,8ZR,8ZR,8ZR
发动机,エンジン,排量(mL),排気量(mL),1798,1798,1798,1798,1197,1197,1490,1490,1490,1490,1798,1798,1798
发动机,エンジン,排量(L),排気量(L),1.8,1.8,1.8,1.8,1.2,1.2,1.5,1.5,1.5,1.5,1.8,1.8,1.8
发动机,エンジン,进气形式,過給形式,自然吸気,自然吸気,自然吸気,自然吸気,ターボチャージャー,ターボチャージャー,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気,自然吸気
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き,横置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,3,3,3,3,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,压缩比,圧縮比,13,13,13,13,10,10,-,-,-,-,13,13,13
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,缸径(mm),ボア(mm),80.5,80.5,80.5,80.5,71.5,71.5,-,-,-,-,80.5,80.5,80.5
发动机,エンジン,行程(mm),ストローク(mm),88.3,88.3,88.3,88.3,74.5,74.5,-,-,-,-,88.3,88.3,88.3
发动机,エンジン,最大马力(Ps),最高出力(Ps),98,98,98,98,116,116,121,121,121,121,98,98,98
发动机,エンジン,最大功率(kW),最大出力(kW),72,72,72,72,85,85,89,89,89,89,72,72,72
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5200,5200,5200,5200,5200-5600,5200-5600,6500-6600,6500-6600,6500-6600,6500-6600,5200,5200,5200
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),142,142,142,142,185,185,148,148,148,148,142,142,142
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),3600,3600,3600,3600,1500-4000,1500-4000,4600-5000,4600-5000,4600-5000,4600-5000,3600,3600,3600
发动机,エンジン,最大净功率(kW),最大出力(kW),72,72,72,72,85,85,89,89,89,89,72,72,72
发动机,エンジン,发动机特有技术,エンジン独自技術,VVT-i,VVT-i,VVT-i,VVT-i,VVT-iW,VVT-iW,VVT-iW,VVT-iW,VVT-iW,VVT-iW,VVT-i,VVT-i,VVT-i
发动机,エンジン,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド
