セクション,セクション_ja,項目,項目_ja,2025年モデル 途勝L 1.5T 先進版,2025年モデル 途勝L 1.5T エリート版,2025年モデル 途勝L 1.5T プレミアム版,2025年モデル 途勝L 1.5T フラッグシップ版,2025年モデル 途勝L 1.5T エリート版 N Line,2025年モデル 途勝L 1.5T プレミアム版 N Line
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"15.98万元（日本円 約3,355,800円）","16.98万元（日本円 約3,565,800円）","18.18万元（日本円 約3,817,800円）","20.78万元（日本円 約4,363,800円）","17.87万元（日本円 約3,752,700円）","18.68万元（日本円 約3,922,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"10.28万元（日本円 約2,158,800円）","10.88万元（日本円 約2,284,800円）","12.08万元（日本円 約2,536,800円）","14.68万元（日本円 約3,082,800円）","11.77万元（日本円 約2,471,700円）","12.58万元（日本円 約2,641,800円）"
基本参数,基本仕様,厂商,メーカー,北京現代,北京現代,北京現代,北京現代,北京現代,北京現代
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,基本仕様,上市时间,発売時期,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11
基本参数,基本仕様,最大功率(kW),最大出力(kW),147,147,147,147,147,147
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),253,253,253,253,253,253
基本参数,基本仕様,变速箱,トランスミッション,8速AT,8速AT,8速AT,8速AT,8速AT,8速AT
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 200馬力 L4,1.5T 200馬力 L4,1.5T 200馬力 L4,1.5T 200馬力 L4,1.5T 200馬力 L4,1.5T 200馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4670×1865×1690,4670×1865×1690,4670×1865×1690,4670×1865×1690,4670×1865×1690,4670×1865×1690
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),205,205,205,205,205,205
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.9,7,7,7.09,7.09,7.09
基本参数,基本仕様,整车质保,車両保証,5年または15万km、3年または15万km、7年または7万km,5年または15万km、3年または15万km、7年または7万km,5年または15万km、3年または15万km、7年または7万km,5年または15万km、3年または15万km、7年または7万km,5年または15万km、3年または15万km、7年または7万km,5年または15万km、3年または15万km、7年または7万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1497,1557,1557,1585,1585,1585
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2010,2010,2010,2010,2010,2010
车身,車体,长度(mm),全長(mm),4670,4670,4670,4670,4670,4670
车身,車体,宽度(mm),全幅(mm),1865,1865,1865,1865,1865,1865
车身,車体,高度(mm),全高(mm),1690,1690,1690,1690,1690,1690
车身,車体,轴距(mm),ホイールベース(mm),2755,2755,2755,2755,2755,2755
车身,車体,前轮距(mm),前トレッド(mm),1620,1615,1615,1615,1615,1615
车身,車体,后轮距(mm),後トレッド(mm),1627,1622,1622,1622,1622,1622
车身,車体,满载最小离地间隙(mm),満載時最小地上高(mm),153,153,153,153,153,153
车身,車体,接近角(°),アプローチアングル(°),18,18,18,18,18,18
车身,車体,离去角(°),デパーチャーアングル(°),25,25,25,25,25,25
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),54,54,54,54,54,54
车身,車体,后备厢容积(L),トランク容量(L),583-1904,583-1904,583-1904,583-1904,583-1904,583-1904
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,G4FS,G4FS,G4FS,G4FS,G4FS,G4FS
发动机,エンジン,排量(mL),排気量(mL),1497,1497,1497,1497,1497,1497
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置き,横置き,横置き,横置き,横置き,横置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),200,200,200,200,200,200
发动机,エンジン,最大功率(kW),最大出力(kW),147,147,147,147,147,147
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,6000,6000,6000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),253,253,253,253,253,253
