セクション,セクション_ja,項目,項目_ja,2025年モデル DM i 智驾版 80KM 豪華型,2025年モデル DM i 智驾版 80KM 尊貴型,2025年モデル DM i 智驾版 120KM 尊栄型,2025年モデル DM i 智驾版 120KM 尊享型,2025年モデル DM i 智驾版 120KM 旗艦型,2025年モデル EV 470KM 尊栄型,2025年モデル EV 545KM 尊享型,2025年モデル EV 545KM 旗艦型
,nan,厂商指导价(元),メーカー希望小売価格(元),"9.98万元（日本円 約2,095,800円）","10.98万元（日本円 約2,305,800円）","11.98万元（日本円 約2,515,800円）","12.98万元（日本円 約2,725,800円）","13.98万元（日本円 約2,935,800円）","10.98万元（日本円 約2,305,800円）","11.98万元（日本円 約2,515,800円）","12.98万元（日本円 約2,725,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"9.18万元（日本円 約1,927,800円）","10.18万元（日本円 約2,137,800円）","11.18万元（日本円 約2,347,800円）","12.18万元（日本円 約2,557,800円）","13.18万元（日本円 約2,767,800円）","10.98万元（日本円 約2,305,800円）","11.98万元（日本円 約2,515,800円）","12.98万元（日本円 約2,725,800円）"
基本参数,基本仕様,厂商,メーカー,BYD,BYD,BYD,BYD,BYD,BYD,BYD,BYD
基本参数,基本仕様,级别,クラス,ミドルサイズカー,ミドルサイズカー,ミドルサイズカー,ミドルサイズカー,ミドルサイズカー,ミドルサイズカー,ミドルサイズカー,ミドルサイズカー
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,ピュアEV（電気自動車）,ピュアEV（電気自動車）,ピュアEV（電気自動車）
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,-,-,-
基本参数,基本仕様,上市时间,発売時期,2025.02,2025.02,2025.02,2025.02,2025.02,2025.06,2025.06,2025.06
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),60,60,90,90,90,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),80,80,120,120,120,470,545,545
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),-,-,0.42,0.42,0.42,0.4,0.4,0.4
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),3.42,3.42,2.5,2.5,2.5,-,-,-
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),-,-,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),15-100,15-100,15-100,15-100,15-100,-,-,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),-,-,-,-,-,110,160,160
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,220,330,330
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.5L 101馬力 直列4気筒,1.5L 101馬力 直列4気筒,1.5L 101馬力 直列4気筒,1.5L 101馬力 直列4気筒,1.5L 101馬力 直列4気筒,ピュアEV（電気自動車）,ピュアEV（電気自動車）,ピュアEV（電気自動車）
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),163,163,218,218,218,150,218,218
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4830×1875×1495（mm）,4830×1875×1495（mm）,4830×1875×1495（mm）,4830×1875×1495（mm）,4830×1875×1495（mm）,4720×1880×1495（mm）,4720×1880×1495（mm）,4720×1880×1495（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.9,7.9,7.5,7.5,7.5,-,-,-
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),-,-,-,-,-,4.1,3.1,3.1
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180,180,160,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),1.36,1.36,1.11,1.11,1.11,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低充電状態燃費(L/100km)WLTC,3.80,3.80,3.98,3.98,3.98,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)NEDC,最低充電状態燃費(L/100km)NEDC,2.9,2.9,3.08,3.08,3.08,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.26,1.26,1.54,1.54,1.54,1.25,1.34,1.34
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ガソリン・電力複合燃費(L/100km),2.65,2.65,2.69,2.69,2.69,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証,● 6年または15万km保証
