セクション,セクション_ja,項目,項目_ja,2026年モデル 210悦享版,2026年モデル 210レーザーレーダー版,2026年モデル 530舒享版,2026年モデル 605悦享版,2026年モデル 605レーザーレーダー版
,nan,厂商指导价(元),メーカー希望小売価格(元),"12.28万元（日本円 約2,578,800円）","13.28万元（日本円 約2,788,800円）","12.28万元（日本円 約2,578,800円）","13.28万元（日本円 約2,788,800円）","14.28万元（日本円 約2,998,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"12.08万元（日本円 約2,536,800円）","13.08万元（日本円 約2,746,800円）","12.08万元（日本円 約2,536,800円）","13.08万元（日本円 約2,746,800円）","14.08万元（日本円 約2,956,800円）"
基本参数,基本仕様,厂商,メーカー,Leapmotor,Leapmotor,Leapmotor,Leapmotor,Leapmotor
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,-,-,-
基本参数,基本仕様,上市时间,発売時期,2025.05,2025.05,2025.05,2025.05,2025.05
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),140,140,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),210,210,530,605,605
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.3,0.3,0.5,0.27,0.27
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),3,3,6.1,7.5,7.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電量範囲(%),30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),170,170,170,220,220
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),320,320,320,360,360
基本参数,基本仕様,变速箱,トランスミッション,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機,電気自動車用単速変速機
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5L 95馬力 L4エンジン,1.5L 95馬力 L4エンジン,-,-,-
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),231,231,231,299,299
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),全長4739×全幅1900×全高1680mm,全長4739×全幅1900×全高1680mm,全長4739×全幅1900×全高1680mm,全長4739×全幅1900×全高1680mm,全長4739×全幅1900×全高1680mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.68,7.68,7.29,5.9,5.9
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),170,170,170,190,190
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.94,0.94,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km),最低荷電状態燃費(L/100km),5.1,5.1,-,-,-
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,5.89,5.89,-,-,-
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,1.68,1.64,1.64
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),3.04,3.04,-,-,-
基本参数,基本仕様,整车质保,車両保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）,● 生涯保証／非営業用（免責条項は公式基準に準ずる）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1925,1925,1940,1995,1995
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2300,2300,2315,2370,2370
车身,車体,长度(mm),全長(mm),4739,4739,4739,4739,4739
车身,車体,宽度(mm),全幅(mm),1900,1900,1900,1900,1900
车身,車体,高度(mm),全高(mm),1680,1680,1680,1680,1680
车身,車体,轴距(mm),ホイールベース(mm),2825,2825,2825,2825,2825
