セクション,セクション_ja,項目,項目_ja,2026年モデル 1.5L CVT 行政版,2026年モデル 1.5L MT 快適版,2026年モデル 1.5L CVT 豪華版,2026年モデル 1.5L CVT 尊厳版,2024年モデル 1.5L CVT 尊厳版,2023年モデル 1.5L MT 快適版,2023年モデル 1.5L MT 優越版,2023年モデル 1.5L CVT 豪華版,2023年モデル 1.5L CVT 尊厳版,2023年モデル 1.5L CVT 旗艦版,2026年モデル 低出力版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"12.58万元（日本円 約2,641,800円）","6.89万元（日本円 約1,446,900円）","8.09万元（日本円 約1,698,900円）","8.59万元（日本円 約1,803,900円）","8.59万元（日本円 約1,803,900円）","6.89万元（日本円 約1,446,900円）","7.39万元（日本円 約1,551,900円）","8.09万元（日本円 約1,698,900円）","8.59万元（日本円 約1,803,900円）","9.09万元（日本円 約1,908,900円）",预售 暂无
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"10.18万元（日本円 約2,137,800円）","4.49万元（日本円 約942,900円）","5.69万元（日本円 約1,194,900円）","6.19万元（日本円 約1,299,900円）","6.19万元（日本円 約1,299,900円）","4.49万元（日本円 約942,900円）","4.99万元（日本円 約1,047,900円）","5.69万元（日本円 約1,194,900円）","6.19万元（日本円 約1,299,900円）","6.69万元（日本円 約1,404,900円）",暂无
基本参数,基本仕様,厂商,メーカー,上汽グループ,上汽グループ,上汽グループ,上汽グループ,上汽グループ,上汽グループ,上汽グループ,上汽グループ,上汽グループ,上汽グループ,上汽グループ
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
基本参数,基本仕様,上市时间,発売時期,2025.08,2025.09,2025.09,2025.09,2024.10,2023.07,2023.07,2023.07,2023.07,2023.07,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),95,95,95,95,95,95,95,95,95,95,81
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),158,158,158,158,158,158,158,158,158,158,-
基本参数,基本仕様,变速箱,トランスミッション,CVT無段変速（8速マニュアルモード）,5速マニュアル,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,5速マニュアル,5速マニュアル,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,CVT無段変速（8速マニュアルモード）,-
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.5L 129馬力 L4,1.5L 129馬力 L4,1.5L 129馬力 L4,1.5L 129馬力 L4,1.5L 129馬力 L4,1.5L 129馬力 L4,1.5L 129馬力 L4,1.5L 129馬力 L4,1.5L 129馬力 L4,1.5L 129馬力 L4,1.5L 110馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4676×1838×1491（mm）,4676×1838×1498（mm）,4676×1838×1491（mm）,4676×1838×1491（mm）,4676×1838×1498（mm）,4676×1838×1498（mm）,4676×1838×1498（mm）,4676×1838×1498（mm）,4676×1838×1498（mm）,4676×1838×1498（mm）,4676×1838×1498（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,185,180,180,180,185,185,180,180,180,185
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.38,5.98,6.38,6.38,6.38,5.98,5.98,6.38,6.38,6.38,-
基本参数,基本仕様,整车质保,車両保証,● 4年または15万km保証,● 4年または15万km保証,● 4年または15万km保証,● 4年または15万km保証,● 4年または15万km保証,● 4年または15万km保証,● 4年または15万km保証,● 4年または15万km保証,● 4年または15万km保証,● 4年または15万km保証,● 4年または15万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1240,1170,1240,1240,1240,1195,1195,1240,1240,1240,1250
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1683,1638,1683,1683,1683,1638,1638,1683,1683,1683,1693
车身,車体,长度(mm),全長(mm),4676,4676,4676,4676,4676,4676,4676,4676,4676,4676,4676
车身,車体,宽度(mm),全幅(mm),1838,1838,1838,1838,1838,1838,1838,1838,1838,1838,1838
车身,車体,高度(mm),全高(mm),1491,1498,1491,1491,1498,1498,1498,1498,1498,1498,1498
车身,車体,轴距(mm),ホイールベース(mm),2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680
车身,車体,前轮距(mm),前トレッド(mm),1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544
车身,車体,后轮距(mm),後トレッド(mm),1548,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548
车身,車体,接近角(°),アプローチアングル(°),15,15,15,15,15,15,15,15,15,15,16
车身,車体,离去角(°),デパーチャーアングル(°),20,20,20,20,20,20,20,20,20,20,15
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）,● 4（個）
车身,車体,座位数(个),乗車定員(名),● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）,● 5（人乗り）
