セクション,セクション_ja,項目,項目_ja,2026年モデル 先鋒型,2026年モデル 先鋒quattro型,2026年モデル 先鋒Plus型,2026年モデル 旗艦quattro型
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"23.59万元（日本円 約4,953,900円）","26.99万元（日本円 約5,667,900円）","26.99万元（日本円 約5,667,900円）","31.99万元（日本円 約6,717,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"23.59万元（日本円 約4,953,900円）","26.99万元（日本円 約5,667,900円）","26.99万元（日本円 約5,667,900円）","31.99万元（日本円 約6,717,900円）"
基本参数,基本仕様,厂商,メーカー,SAICアウディ,SAICアウディ,SAICアウディ,SAICアウディ
基本参数,基本仕様,级别,クラス,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),618,623,773,647
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.22,0.58,0.28,0.28
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),10-80,10-80,10-80,10-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),220,386,300,579
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),420,725,500,800
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りワゴン,5ドア5人乗りワゴン,5ドア5人乗りワゴン,5ドア5人乗りワゴン
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),299,525,408,787
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4881*1960*1479,4881*1960*1479,4881*1960*1479,4881*1960*1479
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),6.1,3.9,5,3.4
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),205,205,205,230
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.63,1.76,1.64,1.95
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),2225,2234,2240,2343
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2661,2670,2676,2779
车身,車体,长度(mm),全長(mm),4881,4881,4881,4881
车身,車体,宽度(mm),全幅(mm),1960,1960,1960,1960
车身,車体,高度(mm),全高(mm),1479,1479,1479,1479
车身,車体,轴距(mm),ホイールベース(mm),2950,2950,2950,2950
车身,車体,前轮距(mm),前トレッド(mm),1681,1681,1681,1677
车身,車体,后轮距(mm),後トレッド(mm),1678,1678,1678,1672
车身,車体,满载最小离地间隙(mm),満載時最小地上高(mm),119,119,119,141
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),17,17,17,17
车身,車体,最小转弯半径(m),最小回転半径(m),5.75,5.25,5.25,5.25
车身,車体,车身结构,ボディ構造,ワゴン,ワゴン,ワゴン,ワゴン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
