セクション,項目,元PLUS 2025款 智驾版 430KM 领先型,元PLUS 2025款 智驾版 430KM 超越型,元PLUS 2025款 智驾版 510KM 领先型,元PLUS 2025款 智驾版 510KM 超越型,元PLUS 2025款 智驾版 510KM 卓越型,元PLUS 2024款 荣耀版 430KM 领先型,元PLUS 2024款 荣耀版 430KM 超越型,元PLUS 2024款 荣耀版 510KM 领先型,元PLUS 2024款 荣耀版 510KM 超越型,元PLUS 2024款 荣耀版 510KM 卓越型,元PLUS 2026款 基本型
,厂商指导价(元),11.58万 计算器,12.28万 计算器,12.58万 计算器,13.58万 计算器,14.58万 计算器,11.98万 计算器,12.68万 计算器,12.98万 计算器,13.98万 计算器,14.78万 计算器,预售
,经销商报价,8.98万起,9.68万起,11.98万起,12.98万起,13.98万起,10.38万起,11.08万起,9.38万起,10.38万起,13.18万起,暂无报价
基本参数,厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.03,2025.03,2025.03,2025.03,2025.03,2024.03,2024.03,2024.03,2024.03,2024.03,-
基本参数,CLTC纯电续航里程(km),430,430,510,510,510,430,430,510,510,510,-
基本参数,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-
基本参数,电池慢充时间(小时),7.13,7.13,8.64,8.64,8.64,7.13,7.13,8.64,8.64,8.64,-
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,-
基本参数,最大功率(kW),150,150,150,150,150,150,150,150,150,150,230
基本参数,最大扭矩(N·m),310,310,310,310,310,310,310,310,310,310,-
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),204,204,204,204,204,204,204,204,204,204,313
基本参数,长*宽*高(mm),4455*1875*1615,4455*1875*1615,4455*1875*1615,4455*1875*1615,4455*1875*1615,4455*1875*1615,4455*1875*1615,4455*1875*1615,4455*1875*1615,4455*1875*1615,4455*1875*1615
基本参数,官方0-100km/h加速(s),7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,-
基本参数,最高车速(km/h),160,160,160,160,160,160,160,160,160,160,180
基本参数,电能当量燃料消耗量(L/100km),1.42,1.42,1.45,1.45,1.45,1.38,1.38,1.41,1.41,1.41,-
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1625,1625,1690,1690,1690,1625,1625,1690,1690,1690,1880
基本参数,最大满载质量(kg),2000,2000,2065,2065,2065,2000,2000,2065,2065,2065,2410
车身,长度(mm),4455,4455,4455,4455,4455,4455,4455,4455,4455,4455,4455
车身,宽度(mm),1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875
车身,高度(mm),1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615
车身,轴距(mm),2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720
车身,前轮距(mm),1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1580
车身,后轮距(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1585
车身,接近角(°),19,19,19,19,19,19,19,19,19,19,19
车身,离去角(°),24,24,24,24,24,24,24,24,24,24,24
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
电动机,前电动机品牌,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,-
电动机,后电动机品牌,-,-,-,-,-,-,-,-,-,-,比亚迪
电动机,前电动机型号,TZ200XSQ,TZ200XSQ,TZ200XSQ,TZ200XSQ,TZ200XSQ,TZ200XSQ,TZ200XSQ,TZ200XSQ,TZ200XSQ,TZ200XSQ,-
电动机,后电动机型号,-,-,-,-,-,-,-,-,-,-,TZ200XYC
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),150,150,150,150,150,150,150,150,150,150,230
电动机,电动机总马力(Ps),204,204,204,204,204,204,204,204,204,204,313
电动机,电动机总扭矩(N·m),310,310,310,310,310,310,310,310,310,310,-
电动机,前电动机最大功率(kW),150,150,150,150,150,150,150,150,150,150,-
电动机,前电动机最大扭矩(N·m),310,310,310,310,310,310,310,310,310,310,-
电动机,后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,230
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
电动机,电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪,● 弗迪
电池/充电,电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电池/充电,电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电池/充电,CLTC纯电续航里程(km),430,430,510,510,510,430,430,510,510,510,-
电池/充电,电池能量(kWh),49.92,49.92,60.48,60.48,60.48,49.92,49.92,60.48,60.48,60.48,-
电池/充电,电池能量密度(Wh/kg),140,140,150,150,150,140,140,150,150,150,-
电池/充电,百公里耗电量(kWh/100km),12.2,12.2,12.5,12.5,12.5,12.2,12.2,12.5,12.5,12.5,-
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,快充功率(kW),70,70,80,80,80,70,70,80,80,80,-
电池/充电,电池快充时间(小时),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-
电池/充电,电池慢充时间(小时),7.13,7.13,8.64,8.64,8.64,7.13,7.13,8.64,8.64,8.64,-
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,-
电池/充电,慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右后侧
电池/充电,快充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,-,3.3,3.3,3.3,3.3,-
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
