セクション,セクション_ja,項目,項目_ja,2025年モデル 510快適版,2025年モデル 510上質版,2025年モデル 510レーザーレーダー版,2025年モデル 600上質版,2025年モデル 600レーザーレーダー版,2025年モデル 510行政版
,nan,厂商指导价(元),メーカー希望小売価格(元),"9.98万元（日本円 約2,095,800円）","10.98万元（日本円 約2,305,800円）","11.98万元（日本円 約2,515,800円）","11.98万元（日本円 約2,515,800円）","12.98万元（日本円 約2,725,800円）","14.98万元（日本円 約3,145,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"9.58万元（日本円 約2,011,800円）","10.58万元（日本円 約2,221,800円）","11.58万元（日本円 約2,431,800円）","11.58万元（日本円 約2,431,800円）","12.58万元（日本円 約2,641,800円）","14.58万元（日本円 約3,061,800円）"
基本参数,基本仕様,厂商,メーカー,Leapmotor（零跑自動車）,Leapmotor（零跑自動車）,Leapmotor（零跑自動車）,Leapmotor（零跑自動車）,Leapmotor（零跑自動車）,Leapmotor（零跑自動車）
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.04,2025.04,2025.04,2025.04,2025.04,2025.06
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),510,510,510,600,600,510
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.32,0.32,0.32,0.33,0.33,0.32
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),4.2,4.2,4.2,5.6,5.6,4.2
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電可能範囲(%),30-80,30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,最大功率(kW),最大出力(kW),132,160,160,160,160,132
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),175,240,240,240,240,175
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),180,218,218,218,218,180
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4515×1885×1655（mm）,4515×1885×1655（mm）,4515×1885×1655（mm）,4515×1885×1655（mm）,4515×1885×1655（mm）,4515×1885×1655（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),9.3,6.8,6.8,6.8,6.8,9.3
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,170,170,170,170,160
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.43,1.43,1.43,1.44,1.44,1.43
基本参数,基本仕様,整车质保,車両保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,● 4年または12万km保証,-
基本参数,基本仕様,首任车主质保政策,初回オーナー保証方針,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),1670,1705,1705,1756,1756,1670
