セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0L インテリジェントハイブリッド 先進版,2026年モデル 2.0L インテリジェントハイブリッド 先進PLUS版,2026年モデル 2.0L インテリジェントハイブリッド 豪華版,2026年モデル 2.0L インテリジェントハイブリッド 豪華PLUS版,2026年モデル 2.0L インテリジェントハイブリッド プレミアム版,2026年モデル 2.0L CVT 快適版,2026年モデル 2.0L CVT 快適PLUS版,2026年モデル 2.0L CVT 豪華版,2026年モデル 2.0L CVT 豪華PLUS版,2024年モデル 2.0L インテリジェントハイブリッド 先進版,2024年モデル 2.0L インテリジェントハイブリッド 豪華版,2024年モデル 2.0L インテリジェントハイブリッド スポーツ版,2024年モデル 2.0L インテリジェントハイブリッド プレミアム版,2024年モデル 2.0L CVT エリートplus版,2024年モデル 2.0L CVT 先進plus版,2024年モデル 2.0L CVT 豪華版,2024年モデル 2.0L CVT スポーツ版,2024年モデル 2.0L CVT プレミアム版
,nan,厂商指导价(元),メーカー希望小売価格(元),"14.58万元（日本円 約3,061,800円）","15.08万元（日本円 約3,166,800円）","15.98万元（日本円 約3,355,800円）","16.58万元（日本円 約3,481,800円）","17.28万元（日本円 約3,628,800円）","13.28万元（日本円 約2,788,800円）","13.78万元（日本円 約2,893,800円）","14.98万元（日本円 約3,145,800円）","15.58万元（日本円 約3,271,800円）","14.98万元（日本円 約3,145,800円）","15.98万元（日本円 約3,355,800円）","17.18万元（日本円 約3,607,800円）","18.48万元（日本円 約3,880,800円）","12.88万元（日本円 約2,704,800円）","14.28万元（日本円 約2,998,800円）","14.98万元（日本円 約3,145,800円）","15.98万元（日本円 約3,355,800円）","16.98万元（日本円 約3,565,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"11.58万元（日本円 約2,431,800円）","12.08万元（日本円 約2,536,800円）","12.98万元（日本円 約2,725,800円）","13.58万元（日本円 約2,851,800円）","14.28万元（日本円 約2,998,800円）","10.28万元（日本円 約2,158,800円）","10.78万元（日本円 約2,263,800円）","11.98万元（日本円 約2,515,800円）","12.58万元（日本円 約2,641,800円）","11.08万元（日本円 約2,326,800円）","12.08万元（日本円 約2,536,800円）","13.28万元（日本円 約2,788,800円）","14.58万元（日本円 約3,061,800円）","8.98万元（日本円 約1,885,800円）","10.38万元（日本円 約2,179,800円）","11.08万元（日本円 約2,326,800円）","12.08万元（日本円 約2,536,800円）","13.08万元（日本円 約2,746,800円）"
基本参数,基本仕様,厂商,メーカー,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ,広汽トヨタ
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ハイブリッド,ハイブリッド,ハイブリッド,ハイブリッド,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2024.07,2024.07,2024.07,2024.07,2025.01,2025.01,2024.07,2024.07,2024.07
基本参数,基本仕様,最大功率(kW),最大出力(kW),147,147,147,147,147,126,126,126,126,144,144,144,144,126,126,126,126,126
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,205,205,205,205,-,-,-,-,205,205,205,205,205
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）,CVT無段変速（10速マニュアルモード）
