セクション,項目,零跑C16 2026款 增程 200尊享版 6座,零跑C16 2026款 增程 280激光雷达版 6座,零跑C16 2026款 增程 280激光雷达智尊版 6座,零跑C16 2026款 增程 280激光雷达智尊版 5座,零跑C16 2026款 纯电 580尊享版 6座,零跑C16 2026款 纯电 630激光雷达版 6座,零跑C16 2026款 纯电 630激光雷达智尊版 6座,零跑C16 2026款 纯电 630激光雷达智尊版 5座,零跑C16 2024款 增程 200智享版,零跑C16 2024款 增程 200尊享版,零跑C16 2024款 增程 200激光雷达版,零跑C16 2024款 纯电 520智享版,零跑C16 2024款 纯电 520尊享版,零跑C16 2024款 纯电 520激光雷达版,零跑C16 2024款 纯电 580尊享版,零跑C16 2024款 纯电 580激光雷达版
,厂商指导价(元),15.18万 计算器,16.18万 计算器,17.18万 计算器,16.88万 计算器,16.18万 计算器,17.18万 计算器,18.18万 计算器,17.88万 计算器,15.58万 计算器,16.28万 计算器,17.98万 计算器,16.18万 计算器,16.88万 计算器,18.58万 计算器,17.28万 计算器,18.98万 计算器
,经销商报价,14.78万起 询底价,15.78万起 询底价,16.78万起 询底价,16.48万起 询底价,15.78万起 询底价,16.78万起 询底价,17.78万起 询底价,17.48万起 询底价,13.88万起 询底价,14.58万起 询底价,16.28万起 询底价,14.48万起 询底价,15.18万起 询底价,16.88万起 询底价,15.58万起 询底价,17.28万起 询底价
基本参数,厂商,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,国VI,-,-,-,-,国VI,国VI,国VI,-,-,-,-,-
基本参数,上市时间,2025.06,2025.06,2025.06,-,2025.06,2025.06,2025.06,2025.06,2024.06,2024.06,2024.06,2024.06,2024.06,2024.06,2025.01,2025.01
基本参数,WLTC纯电续航里程(km),134,182,182,182,-,-,-,-,134,134,134,-,-,-,-,-
基本参数,CLTC纯电续航里程(km),200,280,280,280,580,630,630,630,200,200,200,520,520,520,580,580
基本参数,电池快充时间(小时),0.5,0.32,0.32,0.32,0.27,0.3,0.3,0.3,0.5,0.5,0.5,0.25,0.25,0.25,0.27,0.27
基本参数,电池慢充时间(小时),3,3.5,3.5,3.5,7,7.5,7.5,7.5,3,3,3,6,6,6,7,7
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),170,170,170,170,215,220,220,220,170,170,170,215,215,215,215,215
基本参数,最大扭矩(N·m),320,320,320,320,360,360,360,360,320,320,320,360,360,360,360,360
