セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0T スポーツ版,2026年モデル 2.0T スポーツ版 Plus,2026年モデル 2.0T スポーツ版 quattro,2026年モデル 2.0T リーダー版
,nan,厂商指导价(元),メーカー希望小売価格(元),"25.58万元（日本円 約5,371,800円）","27.48万元（日本円 約5,770,800円）","30.98万元（日本円 約6,505,800円）","30.98万元（日本円 約6,505,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"23.98万元（日本円 約5,035,800円）","25.28万元（日本円 約5,308,800円）","28.58万元（日本円 約6,001,800円）","28.28万元（日本円 約5,938,800円）"
基本参数,基本仕様,厂商,メーカー,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ
基本参数,基本仕様,级别,クラス,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.08,2025.08,2025.08,2025.10
基本参数,基本仕様,最大功率(kW),最大出力(kW),125,150,150,150
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),300,340,340,340
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,2.0T 170馬力 L4,2.0T 204馬力 L4,2.0T 204馬力 L4,2.0T 204馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4908×1860×1458mm,4908×1860×1458mm,4908×1860×1442mm,4908×1860×1458mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8.5,7.8,7.7,7.8
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),216,240,240,240
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.72,6.78,6.97,6.9
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1790,1798,1860,1798
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2270,2280,2340,2280
车身,車体,长度(mm),全長(mm),4908,4908,4908,4908
车身,車体,宽度(mm),全幅(mm),1860,1860,1860,1860
车身,車体,高度(mm),全高(mm),1458,1458,1442,1458
车身,車体,轴距(mm),ホイールベース(mm),2969,2969,2969,2969
车身,車体,前轮距(mm),前トレッド(mm),1624,1624,1624,1624
车身,車体,后轮距(mm),後トレッド(mm),1609,1609,1609,1609
车身,車体,最小离地间隙(mm),最低地上高(mm),95,95,95,95
车身,車体,接近角(°),アプローチアングル(°),13,13,12,13
车身,車体,离去角(°),デパーチャーアングル(°),16,16,16,16
车身,車体,最小转弯半径(m),最小回転半径(m),5.9,5.9,5.9,5.9
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),60,60,60,60
车身,車体,后备厢容积(L),トランク容量(L),411,411,411,411
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,DXF,DXF,DXF,DXF
发动机,エンジン,排量(mL),排気量(mL),1984,1984,1984,1984
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,縦置き,縦置き,縦置き,縦置き
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),170,204,204,204
发动机,エンジン,最大功率(kW),最大出力(kW),125,150,150,150
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,4300-6000,4300-6000,4300-6000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),300,340,340,340
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,2000-4000,2000-4000,2000-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),125,150,150,150
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,鋳鉄,鋳鉄,鋳鉄,鋳鉄
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
变速箱,トランスミッション,简称,略称,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
变速箱,トランスミッション,挡位个数,段数,7,7,7,7
变速箱,トランスミッション,变速箱类型,トランスミッション形式,湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT)
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・四輪駆動,● フロントエンジン・前輪駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,● 走行状況に応じた四輪駆動,-
底盘转向,シャシー・ステアリング,中央差速器结构,センターデフ形式,-,-,● 多板クラッチ,-
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション,● 5リンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコック構造,モノコック構造,モノコック構造,モノコック構造
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,235/45 R18、245/35 R20（7000元）、245/40 R19（3500元）,235/45 R18、245/35 R20（7000元）、245/40 R19（3500元）,245/40 R19、245/35 R20（3500元）,245/40 R19、245/35 R20（3500元）
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,235/45 R18、245/35 R20、245/40 R19,235/45 R18、245/35 R20、245/40 R19,245/40 R19、245/35 R20,245/40 R19、245/35 R20
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前 / 後（1600元）,前 / 後（1600元）,前 / 後（1600元）,前 / 後（1600元）
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,●,●,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,タイヤ空気圧警告・表示（1000元）,タイヤ空気圧警告・表示（1000元）,● タイヤ空気圧表示,タイヤ空気圧警告・表示（1000元）
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 全車,● 全車,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定装置,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ・エコ・標準/快適・カスタム/パーソナライズ,● スポーツ・エコ・標準/快適・カスタム/パーソナライズ,● スポーツ・エコ・標準/快適・カスタム/パーソナライズ,● スポーツ・エコ・標準/快適・カスタム/パーソナライズ
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,○ サスペンション硬さ調整（3000元）,○ サスペンション硬さ調整（3000元）,● サスペンション硬さ調整,○ サスペンション硬さ調整（3000元）
驾驶操控,ドライビングコントロール,可变转向比,可変ステアレシオ,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前 / 後,● 前 / 後,● 前 / 後,● 前 / 後
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,バックカメラ・360度全方位カメラ（3700元）,バックカメラ・360度全方位カメラ（3700元）,● 360度全方位カメラ,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,-,-,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 三眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ台数,2個、5個,2個、5個,● 5個,● 12個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ台数,● 1個,● 1個,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー台数,● 12個,● 12個,● 12個,● 12個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー台数,-,-,-,● 6個
驾驶硬件,運転ハードウェア,激光雷达品牌,LiDARブランド,-,-,-,● HUAWEI（ファーウェイ）
驾驶硬件,運転ハードウェア,激光雷达数量,LiDAR台数,-,-,-,● 2個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,-,-,● ファーウェイ乾崑インテリジェントドライブ
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳,● 高徳,● 高徳,● 高徳
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,-,-,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車アシスト,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,-,●,●
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,-,-,●,●
驾驶功能,運転機能,循迹倒车,トレースバック機能（バック時）,-,-,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジアシスト,-,-,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出アシスト,-,-,-,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,-,-,● 市街地区間 高速道路区間
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,投影感应开启,プロジェクション感知起動,● トランク,● トランク,● トランク,● トランク
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,○ (2900元),○ (2900元),○ (2900元),○ (2900元)
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー UWBデジタルキー,● リモコンキー UWBデジタルキー,● リモコンキー UWBデジタルキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 全車,● 全車,● 全車,● 全車
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,-,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,○ マトリクス式 (8000元),● マトリクス式,● マトリクス式,● マトリクス式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライト雨霧モード,●,●,●,●
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●
车外灯光,外部照明,场景灯语,シーンライト演出,○ (8500元),○ (8500元),○ (8500元),○ (8500元)
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,星空天窗,スターライトサンルーフ,○ (5000元),○ (5000元),○ (5000元),○ (5000元)
