セクション,項目,君威 2025款 25T 超享版,君威 2025款 28T 纵享版,君威 2024款 改款 25T 超享版,君威 2024款 改款 28T 纵享版
,厂商指导价(元),15.98万 计算器,17.58万 计算器,15.98万 计算器,17.58万 计算器
,经销商报价,10.69万起,12.39万起,10.69万起,12.39万起
基本参数,厂商,上汽通用别克,上汽通用别克,上汽通用别克,上汽通用别克
基本参数,级别,中型车,中型车,中型车,中型车
基本参数,能源类型,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.10,2025.10,2025.03,2025.03
基本参数,最大功率(kW),124,174,124,174
基本参数,最大扭矩(N·m),250,350,250,350
基本参数,变速箱,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5T 169马力 L4,2.0T 237马力 L4,1.5T 169马力 L4,2.0T 237马力 L4
基本参数,长*宽*高(mm),4904*1863*1461,4913*1863*1462,4904*1863*1461,4913*1863*1462
基本参数,官方0-100km/h加速(s),9.1,7.1,9.1,7.1
基本参数,最高车速(km/h),205,240,205,240
基本参数,WLTC综合油耗(L/100km),6.99,7.14,6.89,7.14
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1415,1530,1415,1530
基本参数,最大满载质量(kg),1895,1990,1895,1990
车身,长度(mm),4904,4913,4904,4913
车身,宽度(mm),1863,1863,1863,1863
车身,高度(mm),1461,1462,1461,1462
车身,轴距(mm),2829,2829,2829,2829
车身,前轮距(mm),1593,1585,1593,1585
车身,后轮距(mm),1597,1589,1597,1589
车身,接近角(°),13,13,13,13
车身,离去角(°),14,13,14,13
车身,车身结构,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5
车身,油箱容积(L),55,60,55,60
车身,后备厢容积(L),441,441,441,441
车身,风阻系数(Cd),-,-,-,-
发动机,发动机型号,LFV,LSY,LFV,LSY
发动机,排量(mL),1490,1998,1490,1998
发动机,排量(L),1.5,2.0,1.5,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L
发动机,气缸数(个),4,4,4,4
发动机,每缸气门数(个),4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),169,237,169,237
