セクション,セクション_ja,項目,項目_ja,2025年モデル 後輪駆動版,2025年モデル 改良版 ロングレンジ全輪駆動版,2026年モデル ロングレンジ後輪駆動版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"26.35万元（日本円 約5,533,500円）","31.35万元（日本円 約6,583,500円）",预售 暂无
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"26.35万元（日本円 約5,533,500円）","31.35万元（日本円 約6,583,500円）",暂无
基本参数,基本仕様,厂商,メーカー,テスラ中国,テスラ中国,テスラ中国
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.03,2025.07,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),593,750,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),220,331,225
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),410,559,-
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,电动机(Ps),モーター（Ps）,299,450,306
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4797×1920×1624,4797×1920×1624,4797×1920×1624
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),5.9,4.3,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),201,201,201
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量（L/100km）,1.38,1.42,-
基本参数,基本仕様,整车质保,車両保証,● 4年または8万km,● 4年または8万km,-
基本参数,基本仕様,整备质量(kg),車両重量(kg),1921,1992,1891
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2432,2503,2402
车身,車体,长度(mm),全長(mm),4797,4797,4797
车身,車体,宽度(mm),全幅(mm),1920,1920,1920
车身,車体,高度(mm),全高(mm),1624,1624,1624
车身,車体,轴距(mm),ホイールベース(mm),2890,2890,2890
车身,車体,前轮距(mm),前トレッド(mm),1636,1636,1636
车身,車体,后轮距(mm),後トレッド(mm),1636,1636,1636
车身,車体,满载最小离地间隙(mm),満載時最小地上高（mm）,138,138,-
车身,車体,空载最小离地间隙(mm),空車時最小地上高（mm）,167,167,-
车身,車体,接近角(°),アプローチアングル（°）,16,16,16
车身,車体,离去角(°),デパーチャーアングル（°）,18,18,18
车身,車体,最大爬坡度(%),最大登坂度（％）,30,30,-
车身,車体,最大爬坡角度(°),最大登坂角度（°）,16.7,16.7,-
车身,車体,最小转弯半径(m),最小回転半径(m),6.065,6.065,-
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5
车身,車体,前备厢容积(L),フロントトランク容量（L）,116,116,-
车身,車体,后备厢容积(L),リアトランク容量（L）,822-2022,822-2022,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.22,0.22,-
电动机,モーター,前电动机品牌,前モーターブランド,-,テスラ,-
电动机,モーター,后电动机品牌,後モーターブランド,テスラ,テスラ,テスラ
电动机,モーター,前电动机型号,前モーター型式,-,3D3,-
电动机,モーター,后电动机型号,後モーター型式,4D3,3D7,3D6
电动机,モーター,电机类型,モーター種類,永久磁石/同期,前誘導/非同期 後永久磁石/同期,永久磁石/同期
电动机,モーター,电动机总功率(kW),モーター総出力(kW),220,331,225
电动机,モーター,电动机总马力(Ps),モーター総馬力（Ps）,299,450,306
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),410,559,-
电动机,モーター,前电动机最大功率(kW),前モーター最大出力（kW）,-,137,-
电动机,モーター,前电动机最大扭矩(N·m),前モーター最大トルク（N·m）,-,219,-
电动机,モーター,后电动机最大功率(kW),後モーター最大出力（kW）,220,194,225
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク（N·m）,410,340,-
电动机,モーター,驱动电机数,駆動モーター数,シングルモーター,デュアルモーター,シングルモーター
电动机,モーター,电机布局,モーター配置,リア配置,フロント＋リア配置,リア配置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km,● 8年または19.2万km,-
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● 三元リチウム電池,● 三元リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● CATL（福鼎時代） CATL（四川時代）,● LG（エルジー）,● LG（エルジー）
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷,液冷,-
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),593,750,-
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量（kWh）,62.5,78.4,-
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたり消費電力（kWh/100km）,11.9,12.2,-
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),170,250,-
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両左後方,車両左後方,車両左後方
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両左後方,車両左後方,車両左後方
变速箱,トランスミッション,简称,略称,電動車単速トランスミッション,電動車単速トランスミッション,電動車単速トランスミッション
变速箱,トランスミッション,挡位个数,段数,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● リア配置リア駆動,● デュアルモーター四輪駆動,● リア配置リア駆動
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,● 電動四輪駆動,-
