セクション,セクション_ja,項目,項目_ja,2026年モデル エンクワイプラス 28T 2WD プラチナム,2026年モデル エンクワイプラス 28T 4WD プラチナム,2026年モデル エンクワイプラス 4WD アベニール アイヴィア,2025年モデル エンクワイプラス 28T 2WD プラチナム,2025年モデル エンクワイプラス 28T 4WD プラチナム,2025年モデル エンクワイプラス 4WD アベニール アイヴィア
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"22.99万元（日本円 約4,827,900円）","23.99万元（日本円 約5,037,900円）","25.99万元（日本円 約5,457,900円）","22.99万元（日本円 約4,827,900円）","23.99万元（日本円 約5,037,900円）","25.99万元（日本円 約5,457,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"16.99万元（日本円 約3,567,900円）","17.99万元（日本円 約3,777,900円）","19.99万元（日本円 約4,197,900円）","16.99万元（日本円 約3,567,900円）","17.99万元（日本円 約3,777,900円）","19.99万元（日本円 約4,197,900円）"
基本参数,基本仕様,厂商,メーカー,上汽通用ビュイック,上汽通用ビュイック,上汽通用ビュイック,上汽通用ビュイック,上汽通用ビュイック,上汽通用ビュイック
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2024.11,2024.12,2024.12
基本参数,基本仕様,最大功率(kW),最大出力(kW),174,174,174,174,174,174
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),350,350,350,350,350,350
基本参数,基本仕様,变速箱,トランスミッション,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0T 237馬力 直列4気筒,2.0T 237馬力 直列4気筒,2.0T 237馬力 直列4気筒,2.0T 237馬力 直列4気筒,2.0T 237馬力 直列4気筒,2.0T 237馬力 直列4気筒
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4822×1883×1695mm,4822×1883×1695mm,4822×1883×1705mm,4822×1883×1695mm,4822×1883×1695mm,4822×1883×1705mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8,8.1,8.1,8,8.1,8.1
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),210,210,210,210,210,210
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.99,8.27,8.37,7.99,8.27,8.37
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1770,1865,1865,1770,1865,1865
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2216,2307,2307,2216,2307,2307
车身,車体,长度(mm),全長(mm),4822,4822,4822,4822,4822,4822
车身,車体,宽度(mm),全幅(mm),1883,1883,1883,1883,1883,1883
车身,車体,高度(mm),全高(mm),1695,1695,1705,1695,1695,1705
车身,車体,轴距(mm),ホイールベース(mm),2833,2833,2833,2833,2833,2833
车身,車体,前轮距(mm),前トレッド(mm),1610,1610,1610,1610,1610,1610
车身,車体,后轮距(mm),後トレッド(mm),1612,1612,1612,1612,1612,1612
车身,車体,接近角(°),アプローチアングル(°),15,15,17,15,15,17
车身,車体,离去角(°),デパーチャーアングル(°),17,17,18,17,17,18
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,座位数(个),乗車定員(名),● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り,● 5人乗り
车身,車体,油箱容积(L),燃料タンク容量(L),68,68,68,68,68,68
车身,車体,后备厢容积(L),トランク容量(L),475-1531,475-1531,475-1531,475-1531,475-1531,475-1531
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,LSY,LSY,LSY,LSY,LSY,LSY
发动机,エンジン,排量(mL),排気量(mL),1998,1998,1998,1998,1998,1998
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),237,237,237,237,237,237
发动机,エンジン,最大功率(kW),最大出力(kW),174,174,174,174,174,174
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5000,5000,5000,5000,5000,5000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),350,350,350,350,350,350
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),169,169,169,169,169,169
发动机,エンジン,发动机特有技术,エンジン独自技術,可変シリンダー,可変シリンダー,可変シリンダー,可変シリンダー,可変シリンダー,可変シリンダー
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
变速箱,トランスミッション,简称,略称,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）
变速箱,トランスミッション,挡位个数,段数,9,9,9,9,9,9
