セクション,項目,宋L DM-i 2026款 130KM超越型,宋L DM-i 2026款 200KM超越型,宋L DM-i 2026款 200KM卓越型,宋L DM-i 2025款 智驾版 75km 领先型,宋L DM-i 2025款 智驾版 112km 领先型,宋L DM-i 2025款 智驾版 112km 超越型,宋L DM-i 2025款 智驾版 160km 超越型,宋L DM-i 2025款 智驾版 160km 卓越型
,厂商指导价(元),13.98万 计算器,14.68万 计算器,15.68万 计算器,13.58万 计算器,14.58万 计算器,15.58万 计算器,16.58万 计算器,17.58万 计算器
,经销商报价,13.98万起 询底价,14.68万起 询底价,15.68万起 询底价,11.98万起 询底价,12.98万起 询底价,13.98万起 询底价,12.98万起 询底价,15.98万起 询底价
基本参数,厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
基本参数,级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.10,2025.10,2025.10,2025.02,2025.02,2025.02,2025.02,2025.02
基本参数,WLTC纯电续航里程(km),100,135,135,60,91,91,128,128
基本参数,CLTC纯电续航里程(km),130,200,200,75,112,112,160,160
基本参数,电池快充时间(小时),0.38,0.28,0.28,-,0.38,0.38,0.28,0.28
基本参数,电池快充电量范围(%),30-80,30-80,30-80,-,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),-,-,-,-,-,-,-,-
基本参数,最大扭矩(N·m),-,-,-,-,-,-,-,-
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4
基本参数,电动机(Ps),218,218,218,218,218,218,218,218
基本参数,长*宽*高(mm),4780*1898*1670,4780*1898*1670,4780*1898*1670,4780*1898*1670,4780*1898*1670,4780*1898*1670,4780*1898*1670,4780*1898*1670
基本参数,官方0-100km/h加速(s),7.5,7.8,7.8,7.7,7.7,7.7,7.9,7.9
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),1.27,0.95,0.95,1.88,1.15,1.15,0.85,0.85
基本参数,最低荷电状态油耗(L/100km)WLTC,4.70,4.75,4.75,4.93,4.95,4.95,4.98,4.98
基本参数,最低荷电状态油耗(L/100km)NEDC,3.4,3.4,3.4,3.88,3.9,3.9,3.93,3.93
基本参数,油电综合燃料消耗量(L/100km),3.07,2.85,2.85,3.41,3.0,3.0,2.8,2.8
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),1860,1960,1960,1850,1930,1930,2000,2000
基本参数,最大满载质量(kg),2235,2335,2335,2225,2305,2305,2375,2375
车身,长度(mm),4780,4780,4780,4780,4780,4780,4780,4780
