セクション,セクション_ja,項目,項目_ja,2026年モデル 450TSI 4WD 至尊 7人乗り,2026年モデル 450TSI 4WD 至尊 6人乗り,2026年モデル 450TSI 4WD フラッグシップ 7人乗り,2026年モデル 450TSI 4WD フラッグシップ 6人乗り,2025年モデル 380TSI 4WD 豪華佳境Pro みんなで楽しむ 6人乗り,2025年モデル 380TSI 4WD 豪華佳境Pro みんなで楽しむ 7人乗り
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"26.99万元（日本円 約5,667,900円）","26.99万元（日本円 約5,667,900円）","29.99万元（日本円 約6,297,900円）","29.99万元（日本円 約6,297,900円）","29.99万元（日本円 約6,297,900円）","29.99万元（日本円 約6,297,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"26.99万元（日本円 約5,667,900円）","26.99万元（日本円 約5,667,900円）","29.99万元（日本円 約6,297,900円）","29.99万元（日本円 約6,297,900円）","24.69万元（日本円 約5,184,900円）","24.69万元（日本円 約5,184,900円）"
基本参数,基本仕様,厂商,メーカー,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025.08,2025.08,2025.08,2025.08,2025.01,2025.01
基本参数,基本仕様,最大功率(kW),最大出力(kW),200,200,200,200,162,162
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),400,400,400,400,350,350
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りSUV,5ドア6人乗りSUV,5ドア7人乗りSUV,5ドア6人乗りSUV,5ドア6人乗りSUV,5ドア7人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0T 272馬力 L4,2.0T 272馬力 L4,2.0T 272馬力 L4,2.0T 272馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5143×2002×1792（mm）,5143×2002×1792（mm）,5168×2002×1792（mm）,5168×2002×1792（mm）,5152×2002×1795（mm）,5152×2002×1795（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.5,7.5,7.5,7.5,9.2,9.2
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),8.33,8.33,8.33,8.33,8.65,8.65
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
