セクション,項目,速腾 2026款 L 300TSI DSG 时尚型,速腾 2026款 L 300TSI DSG 精英型,速腾 2026款 L 300TSI DSG 豪华型,速腾 2026款 3000万辆甄选款 300TSI DSG 飞越版,速腾 2026款 3000万辆甄选款 300TSI DSG 超越版,速腾 2025款 改款 200TSI DSG飞越版,速腾 2025款 改款 300TSI DSG飞越版,速腾 2025款 改款三 300TSI DSG超越版,速腾 2025款 改款二 300TSI DSG卓越版
,厂商指导价(元),14.79万 计算器,15.89万 计算器,16.49万 计算器,14.99万 计算器,15.89万 计算器,13.99万 计算器,14.99万 计算器,15.89万 计算器,17.29万 计算器
,经销商报价,11.49万起 询底价,12.59万起 询底价,13.19万起 询底价,11.39万起 询底价,12.29万起 询底价,10.39万起 询底价,11.39万起 询底价,12.29万起 询底价,13.69万起 询底价
基本参数,厂商,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众,一汽-大众
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.09,2025.10,2025.10,2025.06,2025.06,2025.06,2025.06
基本参数,最大功率(kW),118,118,118,118,118,85,118,118,118
基本参数,最大扭矩(N·m),250,250,250,250,250,200,250,250,250
基本参数,变速箱,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.2T 116马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4
基本参数,长*宽*高(mm),4812*1813*1479,4812*1813*1472,4812*1813*1472,4791*1801*1465,4791*1801*1465,4791*1801*1465,4791*1801*1465,4791*1801*1465,4791*1801*1465
基本参数,官方0-100km/h加速(s),8.7,8.7,8.7,8.8,8.8,11.8,8.8,8.8,8.8
基本参数,最高车速(km/h),200,200,200,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),5.49,5.55,5.55,5.77,5.77,5.71,5.77,5.77,5.77
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1440,1469,1469,1418,1418,1382,1418,1418,1418
基本参数,最大满载质量(kg),1930,1930,1930,1890,1890,1850,1890,1890,1890
车身,长度(mm),4812,4812,4812,4791,4791,4791,4791,4791,4791
车身,宽度(mm),1813,1813,1813,1801,1801,1801,1801,1801,1801
车身,高度(mm),1479,1472,1472,1465,1465,1465,1465,1465,1465
车身,轴距(mm),2731,2731,2731,2731,2731,2731,2731,2731,2731
车身,前轮距(mm),1573,1567,1567,1543,1543,1543,1543,1543,1543
车身,后轮距(mm),1546,1541,1541,1546,1546,1546,1546,1546,1546
车身,接近角(°),15,15,15,16,16,16,16,16,16
车身,离去角(°),14,14,14,14,14,14,14,14,14
车身,最小转弯半径(m),5.5,5.5,5.5,-,-,-,-,-,-
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),51,51,51,50,50,50,50,50,50
车身,后备厢容积(L),-,-,-,553,553,553,553,553,553
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
发动机,发动机型号,DYZ,DYZ,DYZ,EA211-DSV,EA211-DSV,EA211-DLS,EA211-DSV,EA211-DSV,EA211-DSV
发动机,排量(mL),1498,1498,1498,1498,1498,1197,1498,1498,1498
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.2,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L
