セクション,セクション_ja,項目,項目_ja,2026年モデル 230Plus Huawei QianKun ADS SE版,2026年モデル 230Max Huawei QianKun ADS SE版,2026年モデル 230Ultra Huawei QianKun ADS SE版,2026年モデル 300Ultra Huawei QianKun ADS SE版,2026年モデル 550Max Huawei QianKun ADS SE版,2026年モデル 550Ultra Huawei QianKun ADS SE版,2025年モデル 215Plus Deep Blue Smart Drive AD PRO 増程版,2025年モデル 215Max Deep Blue Smart Drive AD PRO 増程版,2025年モデル 285Max Deep Blue Smart Drive AD PRO 増程版,2025年モデル 215Max Huawei QianKun Smart Drive ADS SE 増程版,2025年モデル 285Max Huawei QianKun Smart Drive ADS SE 増程版,2025年モデル 628Max Huawei QianKun Smart Drive ADS SE 純電版,2025年モデル 520Max Deep Blue Smart Drive AD PRO 純電版,2025年モデル 520Max Huawei QianKun Smart Drive ADS SE 純電版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"14.99万元（日本円 約3,147,900円）","15.69万元（日本円 約3,294,900円）","16.69万元（日本円 約3,504,900円）","17.39万元（日本円 約3,651,900円）","15.69万元（日本円 約3,294,900円）","16.69万元（日本円 約3,504,900円）","15.99万元（日本円 約3,357,900円）","16.99万元（日本円 約3,567,900円）","17.69万元（日本円 約3,714,900円）","17.99万元（日本円 約3,777,900円）","18.69万元（日本円 約3,924,900円）","19.79万元（日本円 約4,155,900円）","17.49万元（日本円 約3,672,900円）","18.49万元（日本円 約3,882,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"14.69万元（日本円 約3,084,900円）","15.39万元（日本円 約3,231,900円）","16.39万元（日本円 約3,441,900円）","17.09万元（日本円 約3,588,900円）","15.39万元（日本円 約3,231,900円）","16.39万元（日本円 約3,441,900円）","13.49万元（日本円 約2,832,900円）","14.49万元（日本円 約3,042,900円）","15.19万元（日本円 約3,189,900円）","15.49万元（日本円 約3,252,900円）","16.19万元（日本円 約3,399,900円）","17.29万元（日本円 約3,630,900円）","14.99万元（日本円 約3,147,900円）","15.99万元（日本円 約3,357,900円）"
基本参数,基本仕様,厂商,メーカー,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車,深藍自動車
基本参数,基本仕様,级别,クラス,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV,ミドルサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,レンジエクステンダー式,純電動,純電動,純電動
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,-,-,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,-,-,-
基本参数,基本仕様,上市时间,発売時期,2025.10,2025.09,2025.09,2025.09,2025.09,2025.09,2025.05,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),170,170,170,216,-,-,165,165,210,165,210,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),230,230,230,300,550,550,215,215,285,215,285,628,520,520
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.58,0.25,0.25
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
