セクション,セクション_ja,項目,項目_ja,2026年モデル 2WDロングレンジCore,2026年モデル 4WDウルトラロングレンジCore,2026年モデル 4WDウルトラロングレンジPlus,2026年モデル 4WDウルトラロングレンジUltra
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"41.69万元（日本円 約8,754,900円）","44.69万元（日本円 約9,384,900円）","46.69万元（日本円 約9,804,900円）","49.69万元（日本円 約10,434,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"26.99万元（日本円 約5,667,900円）","29.99万元（日本円 約6,297,900円）","31.99万元（日本円 約6,717,900円）","34.99万元（日本円 約7,347,900円）"
基本参数,基本仕様,厂商,メーカー,ボルボアジアパシフィック,ボルボアジアパシフィック,ボルボアジアパシフィック,ボルボアジアパシフィック
基本参数,基本仕様,级别,クラス,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),100,180,180,180
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),116,212,212,212
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.65,0.38,0.38,0.38
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),4,7,7,7
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),0-80,0-80,0-80,0-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電量範囲(%),0-100,0-100,0-100,0-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),234,340,340,340
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),535,710,710,710
基本参数,基本仕様,变速箱,トランスミッション,3速DHT,3速DHT,3速DHT,3速DHT
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4,1.5T 156馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),145,357,357,357
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4815×1890×1650,4815×1890×1650,4815×1890×1650,4815×1890×1650
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8,5.3,5.3,5.3
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),180,180,180,180
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),1.27,0.98,0.98,0.98
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,5.85,6.55,6.55,6.55
基本参数,基本仕様,油电综合燃料消耗量(L/100km),ハイブリッド総合燃料消費量(L/100km),3.28,3.53,3.53,3.53
基本参数,基本仕様,整车质保,車両保証,● 3年走行距離無制限,● 3年走行距離無制限,● 3年走行距離無制限,● 3年走行距離無制限
基本参数,基本仕様,整备质量(kg),車両重量(kg),2110,2275,2275,2275
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2540,2705,2705,2705
车身,車体,长度(mm),全長(mm),4815,4815,4815,4815
车身,車体,宽度(mm),全幅(mm),1890,1890,1890,1890
车身,車体,高度(mm),全高(mm),1650,1650,1650,1650
车身,車体,轴距(mm),ホイールベース(mm),2895,2895,2895,2895
车身,車体,前轮距(mm),前トレッド(mm),1623,1623,1623,1623
车身,車体,后轮距(mm),後トレッド(mm),1623,1623,1623,1623
车身,車体,接近角(°),アプローチアングル(°),18,18,18,18
车身,車体,离去角(°),デパーチャーアングル(°),21,21,21,21
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),60,60,60,60
车身,車体,后备厢容积(L),トランク容量(L),408-1456,408-1456,408-1456,408-1456
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,BHE15-BFZ,BHE15-BFZ,BHE15-BFZ,BHE15-BFZ
发动机,エンジン,排量(mL),排気量(mL),1499,1499,1499,1499
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),156,156,156,156
发动机,エンジン,最大功率(kW),最大出力(kW),115,115,115,115
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5500,5500,5500,5500
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),255,255,255,255
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2500-4000,2500-4000,2500-4000,2500-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),115,115,115,115
发动机,エンジン,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
发动机,エンジン,燃油标号,燃料オクタン価,95号ガソリン,95号ガソリン,95号ガソリン,95号ガソリン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
电动机,モーター,前电动机型号,前モーター型式,TZ270QY000,TZ270QY000,TZ270QY000,TZ270QY000
电动机,モーター,后电动机型号,後モーター型式,-,TZ184QY102,TZ184QY102,TZ184QY102
电动机,モーター,电机类型,モーター種類,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型,永久磁石/同期型
电动机,モーター,电动机总功率(kW),モーター総出力(kW),107,263,263,263
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),145,357,357,357
