セクション,セクション_ja,項目,項目_ja,2026年モデル 40 TFSI ラグジュアリースポーツ,2026年モデル 45 TFSI プレミアムスポーツ,2026年モデル 45 TFSI quattro プレミアムスポーツ,2026年モデル 45 TFSI quattro プレミアムスポーツ＋エクスクルーシブパッケージ,2026年モデル 55 TFSI quattro エクスクルーシブスポーツ,2025年モデル 改良版 40 TFSI ラグジュアリースポーツ,2025年モデル 改良版 45 TFSI プレミアムスポーツ,2025年モデル 45 TFSI プレミアムスポーツ＋ベンチレーションパッケージ,2025年モデル 改良版 45 TFSI quattro プレミアムスポーツ,2025年モデル 45 TFSI quattro プレミアムスポーツ＋エクスクルーシブパッケージ,2025年モデル 改良版 55 TFSI quattro エクスクルーシブスポーツ,2025年モデル 改良版 55 TFSI quattro フラッグシップスポーツ,2027年モデル ベーシック
,nan,厂商指导价(元),メーカー希望小売価格(元),"42.79万元（日本円 約9,193,778円）","45.49万元（日本円 約9,773,895円）","47.99万元（日本円 約10,311,040円）","49.98万元（日本円 約10,738,608円）","55.89万元（日本円 約12,008,419円）","42.79万元（日本円 約9,193,778円）","45.49万元（日本円 約9,773,895円）","45.49万元（日本円 約9,773,895円）","47.99万元（日本円 約10,311,040円）","49.98万元（日本円 約10,738,608円）","55.89万元（日本円 約12,008,419円）","65.68万元（日本円 約14,111,880円）",预售
,nan,经销商报价,ディーラー販売価格（元）,"30.81万元（日本円 約6,619,778円）","32.75万元（日本円 約7,036,603円）","34.55万元（日本円 約7,423,347円）","35.99万元（日本円 約7,732,743円）","45.83万元（日本円 約9,846,947円）","29.65万元（日本円 約6,370,543円）","31.54万元（日本円 約6,776,624円）","30.93万元（日本円 約6,645,561円）","33.29万元（日本円 約7,152,626円）","34.69万元（日本円 約7,453,427円）","42.74万元（日本円 約9,183,035円）","50.27万元（日本円 約10,800,917円）",暂无
基本参数,基本仕様,厂商,メーカー,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ
基本参数,基本仕様,级别,クラス,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
基本参数,基本仕様,上市时间,発売時期,2025.10,2025.10,2025.10,2025.10,2025.10,2025.01,2025.01,2025.03,2025.01,2025.02,2025.01,2025.01,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),140,180,180,180,250,140,180,180,180,180,250,250,200
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),320,370,370,370,500,320,370,370,370,370,500,500,-
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
