セクション,セクション_ja,項目,項目_ja,2025年モデル 熊猫mini 210km 元気熊,2025年モデル 210km 熊猫カーティング,2025年モデル 210km 熊猫カーティング 猪猪侠限定版,2025年モデル 210km 熊猫ナイト,2024年モデル 熊猫mini 200km 耐久熊,2023年モデル 熊猫mini 120km アジア大会熊,2023年モデル 熊猫mini 120km 超かわいい熊,2023年モデル 熊猫mini 200km 活発熊
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"4.99万元（日本円 約1,047,900円）","4.69万元（日本円 約984,900円）","5.09万元（日本円 約1,068,900円）","5.39万元（日本円 約1,131,900円）","4.99万元（日本円 約1,047,900円）","2.99万元（日本円 約627,900円）","4.29万元（日本円 約900,900円）","5.39万元（日本円 約1,131,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"3.99万元（日本円 約837,900円）","4.29万元（日本円 約900,900円）","4.69万元（日本円 約984,900円）","4.29万元（日本円 約900,900円）","3.79万元（日本円 約795,900円）","2.89万元（日本円 約606,900円）","3.29万元（日本円 約690,900円）","4.09万元（日本円 約858,900円）"
基本参数,基本仕様,厂商,メーカー,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車,ジーリー自動車
基本参数,基本仕様,级别,クラス,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.04,2024.11,2025.08,2024.11,2024.04,2023.08,2023.02,2023.02
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),210,210,210,210,200,120,120,200
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.5,0.5,0.5,0.5,0.5,-,-,0.5
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),4.5,4.5,4.5,4.5,4.5,5,5,-
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電範囲(%),30-80,30-80,30-80,30-80,30-80,-,-,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電範囲(%),20-100,20-100,20-100,20-100,20-100,20-100,20-100,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),30,30,30,30,30,20,20,30
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),110,110,110,110,110,85,85,110
基本参数,基本仕様,车身结构,ボディ構造,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック,3ドア4人乗りハッチバック
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),41,41,41,41,41,27,27,41
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),3085*1522*1600,3150*1540*1685,3150*1540*1685,3135*1565*1655,3065*1522*1600,3065*1522*1600,3065*1522*1600,3065*1522*1610
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),100,100,100,100,100,100,100,100
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.06,1.06,1.06,1.06,1.06,1.04,1.04,1.11
基本参数,基本仕様,整车质保,車両保証,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km,● 3年または12万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),815,815,815,815,815,715,715,797
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1125,1125,1125,1125,1125,1020,1020,1105
车身,車体,长度(mm),全長(mm),3085,3150,3150,3135,3065,3065,3065,3065
车身,車体,宽度(mm),全幅(mm),1522,1540,1540,1565,1522,1522,1522,1522
车身,車体,高度(mm),全高(mm),1600,1685,1685,1655,1600,1600,1600,1610
车身,車体,轴距(mm),ホイールベース(mm),2015,2015,2015,2015,2015,2015,2015,2015
车身,車体,前轮距(mm),前トレッド(mm),1315,1315,1315,1329,1315,1315,1315,1315
车身,車体,后轮距(mm),後トレッド(mm),1311,1311,1311,1325,1311,1311,1311,1311
车身,車体,空载最小离地间隙(mm),最小最低地上高(無負荷)(mm),170,175,175,175,170,170,170,170
