セクション,項目,途胜 2025款 途胜L 1.5T 领先版,途胜 2025款 途胜L 1.5T 精英版,途胜 2025款 途胜L 1.5T 尊贵版,途胜 2025款 途胜L 1.5T 旗舰版,途胜 2025款 途胜L 1.5T 精英版 N-Line,途胜 2025款 途胜L 1.5T 尊贵版 N-Line
,厂商指导价(元),15.98万 计算器,16.98万 计算器,18.18万 计算器,20.78万 计算器,17.87万 计算器,18.68万 计算器
,经销商报价,10.28万起 询底价,10.88万起 询底价,12.08万起 询底价,14.68万起 询底价,11.77万起 询底价,12.58万起 询底价
基本参数,厂商,北京现代,北京现代,北京现代,北京现代,北京现代,北京现代
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11
基本参数,最大功率(kW),147,147,147,147,147,147
基本参数,最大扭矩(N·m),253,253,253,253,253,253
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5T 200马力 L4,1.5T 200马力 L4,1.5T 200马力 L4,1.5T 200马力 L4,1.5T 200马力 L4,1.5T 200马力 L4
基本参数,长*宽*高(mm),4670*1865*1690,4670*1865*1690,4670*1865*1690,4670*1865*1690,4670*1865*1690,4670*1865*1690
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-
基本参数,最高车速(km/h),205,205,205,205,205,205
基本参数,WLTC综合油耗(L/100km),6.9,7,7,7.09,7.09,7.09
基本参数,整车质保,五年或15万公里 三年或15万公里 七年或7万公里,五年或15万公里 三年或15万公里 七年或7万公里,五年或15万公里 三年或15万公里 七年或7万公里,五年或15万公里 三年或15万公里 七年或7万公里,五年或15万公里 三年或15万公里 七年或7万公里,五年或15万公里 三年或15万公里 七年或7万公里
