セクション,項目,锋兰达 2026款 2.0L 智能电混双擎 领先版,锋兰达 2026款 2.0L 智能电混双擎 领先PLUS版,锋兰达 2026款 2.0L 智能电混双擎 豪华版,锋兰达 2026款 2.0L 智能电混双擎 豪华PLUS版,锋兰达 2026款 2.0L 智能电混双擎 尊贵版,锋兰达 2026款 2.0L CVT舒适版,锋兰达 2026款 2.0L CVT舒适PLUS版,锋兰达 2026款 2.0L CVT豪华版,锋兰达 2026款 2.0L CVT豪华PLUS版,锋兰达 2024款 2.0L 智能电混双擎 领先版,锋兰达 2024款 2.0L 智能电混双擎 豪华版,锋兰达 2024款 2.0L 智能电混双擎 运动版,锋兰达 2024款 2.0L 智能电混双擎 尊贵版,锋兰达 2024款 2.0L CVT精英plus版,锋兰达 2024款 2.0L CVT领先plus版,锋兰达 2024款 2.0L CVT豪华版,锋兰达 2024款 2.0L CVT运动版,锋兰达 2024款 2.0L CVT尊贵版
,厂商指导价(元),14.58万 计算器,15.08万 计算器,15.98万 计算器,16.58万 计算器,17.28万 计算器,13.28万 计算器,13.78万 计算器,14.98万 计算器,15.58万 计算器,14.98万 计算器,15.98万 计算器,17.18万 计算器,18.48万 计算器,12.88万 计算器,14.28万 计算器,14.98万 计算器,15.98万 计算器,16.98万 计算器
,经销商报价,11.58万起 询底价,12.08万起 询底价,12.98万起 询底价,13.58万起 询底价,14.28万起 询底价,10.28万起 询底价,10.78万起 询底价,11.98万起 询底价,12.58万起 询底价,11.08万起 询底价,12.08万起 询底价,13.28万起 询底价,14.58万起 询底价,8.98万起 询底价,10.38万起 询底价,11.08万起 询底价,12.08万起 询底价,13.08万起 询底价
基本参数,厂商,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2024.07,2024.07,2024.07,2024.07,2025.01,2025.01,2024.07,2024.07,2024.07
基本参数,最大功率(kW),147,147,147,147,147,126,126,126,126,144,144,144,144,126,126,126,126,126
基本参数,最大扭矩(N·m),-,-,-,-,-,205,205,205,205,-,-,-,-,205,205,205,205,205
基本参数,变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡)
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0L 158马力 L4,2.0L 158马力 L4,2.0L 158马力 L4,2.0L 158马力 L4,2.0L 158马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4
基本参数,电动机(Ps),113,113,113,113,113,0,0,0,0,113,113,113,113,-,-,-,-,-
基本参数,长*宽*高(mm),4490*1825*1625,4490*1825*1625,4490*1825*1625,4490*1825*1625,4490*1825*1625,4490*1825*1625,4490*1825*1625,4490*1825*1625,4490*1825*1625,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),4.56,4.56,4.56,4.58,4.58,6.42,6.42,6.42,6.43,4.58,4.58,4.57,4.58,6.15,6.15,6.15,6.11,6.15
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1430,1430,1430,1465,1470,1380,1380,1395,1430,1440,1445,1460,1485,1395,1405,1410,1425,1450
基本参数,最大满载质量(kg),1945,1945,1945,1945,1945,1910,1910,1910,1910,1960,1960,1960,1960,1910,1910,1910,1910,1910
车身,长度(mm),4490,4490,4490,4490,4490,4490,4490,4490,4490,4485,4485,4485,4485,4485,4485,4485,4485,4485
车身,宽度(mm),1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825
车身,高度(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1620,1620,1620,1620,1620,1620,1620,1620,1620
车身,轴距(mm),2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640
车身,前轮距(mm),1565,1565,1565,1555,1555,1565,1565,1565,1555,1565,1565,1555,1565,1565,1565,1565,1555,1565
车身,后轮距(mm),1580,1580,1580,1570,1570,1580,1580,1580,1570,1580,1580,1570,1580,1580,1580,1580,1570,1580
车身,接近角(°),16,16,16,16,16,16,16,16,16,12,12,12,12,12,12,12,12,12
车身,离去角(°),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
车身,最小转弯半径(m),5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),36,36,36,36,36,47,47,47,47,36,36,36,36,47,47,47,47,47
车身,后备厢容积(L),427,427,427,427,427,438,438,438,438,427,427,427,427,438,438,438,438,438
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,M20F,M20F,M20F,M20F,M20F,M20C,M20C,M20C,M20C,M20F,M20F,M20F,M20F,M20A/M20C,M20A/M20C,M20A/M20C,M20A/M20C,M20A/M20C
发动机,排量(mL),1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,14,14,14,14,14,13,13,13,13,14,14,14,14,13,13,13,13,13
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),158,158,158,158,158,171,171,171,171,152,152,152,152,171,171,171,171,171
发动机,最大功率(kW),116,116,116,116,116,126,126,126,126,112,112,112,112,126,126,126,126,126
发动机,最大功率转速(rpm),6000,6000,6000,6000,6000,6600,6600,6600,6600,6000,6000,6000,6000,6600,6600,6600,6600,6600
发动机,最大扭矩(N·m),188,188,188,188,188,205,205,205,205,188,188,188,188,205,205,205,205,205
发动机,最大扭矩转速(rpm),4400-5200,4400-5200,4400-5200,4400-5200,4400-5200,4600-5000,4600-5000,4600-5000,4600-5000,4400-5200,4400-5200,4400-5200,4400-5200,4600-5000,4600-5000,4600-5000,4600-5000,4600-5000
发动机,最大净功率(kW),116,116,116,116,116,126,126,126,126,112,112,112,112,126,126,126,126,126
发动机,发动机特有技术,-,-,-,-,-,-,-,-,-,VVT-iE、VVT-i,VVT-iE、VVT-i,VVT-iE、VVT-i,VVT-iE、VVT-i,VVT-iE、VVT-i,VVT-iE、VVT-i,VVT-iE、VVT-i,VVT-iE、VVT-i,VVT-iE、VVT-i
发动机,能源类型,油电混合,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,-,-,-,-,永磁/同步,永磁/同步,永磁/同步,永磁/同步,-,-,-,-,-
电动机,电动机总功率(kW),83,83,83,83,83,-,-,-,-,83,83,83,83,-,-,-,-,-
电动机,电动机总马力(Ps),113,113,113,113,113,-,-,-,-,113,113,113,113,-,-,-,-,-
电动机,电动机总扭矩(N·m),206,206,206,206,206,-,-,-,-,206,206,206,206,-,-,-,-,-
电动机,前电动机最大功率(kW),83,83,83,83,83,-,-,-,-,83,83,83,83,-,-,-,-,-
电动机,前电动机最大扭矩(N·m),206,206,206,206,206,-,-,-,-,206,206,206,206,-,-,-,-,-
电动机,系统综合功率(kW),147,147,147,147,147,-,-,-,-,144,144,144,144,-,-,-,-,-
电动机,系统综合功率(Ps),200,200,200,200,200,-,-,-,-,196,196,196,196,-,-,-,-,-
电动机,驱动电机数,单电机,单电机,单电机,单电机,单电机,-,-,-,-,单电机,单电机,单电机,单电机,-,-,-,-,-
电动机,电机布局,前置,前置,前置,前置,前置,-,-,-,-,前置,前置,前置,前置,-,-,-,-,-
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,-,-,-,-,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,-,-,-,-,-
电池/充电,电芯品牌,● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),-,-,-,-,● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),● 宁德时代(江苏时代),-,-,-,-,-
电池/充电,电池组质保,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,-,-,-,-,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,● 首任车主终身质保/非营运（责任免除条款以官方为准）,-,-,-,-,-
变速箱,简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡)
变速箱,挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,10,10,10,10,无级变速,无级变速,无级变速,无级变速,10,10,10,10,10
变速箱,变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 225/50 R18,● 225/50 R18,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 225/50 R18,● 215/60 R17,● 215/60 R17,● 225/50 R18,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 225/50 R18,● 215/60 R17
