セクション,項目,卡罗拉 2024款 1.5L 先锋版,卡罗拉 2024款 1.2T 先锋版,卡罗拉 2024款 1.2T 精英版,卡罗拉 2024款 1.8L 智能电混双擎 先锋版,卡罗拉 2024款 1.8L 智能电混双擎 精英版,卡罗拉 2024款 1.8L 智能电混双擎 旗舰版,卡罗拉 2026款 基本型
,厂商指导价(元),11.68万 计算器,12.28万 计算器,12.88万 计算器,13.18万 计算器,13.78万 计算器,15.58万 计算器,预售 暂无报价 计算器
,经销商报价,7.58万起 询底价,8.18万起 询底价,8.78万起 询底价,9.28万起 询底价,9.88万起 询底价,11.68万起 询底价,暂无报价 询底价
基本参数,厂商,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,-
基本参数,最大功率(kW),89,85,85,101,101,101,126
基本参数,最大扭矩(N·m),148,185,185,-,-,-,-
基本参数,变速箱,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,-
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5L 121马力 L3,1.2T 116马力 L4,1.2T 116马力 L4,1.8L 98马力 L4,1.8L 98马力 L4,1.8L 98马力 L4,2.0L 171马力 L4
基本参数,电动机(Ps),-,-,-,95,95,95,-
基本参数,长*宽*高(mm),4635*1780*1435,4635*1780*1455,4635*1780*1455,4635*1780*1435,4635*1780*1435,4635*1780*1435,4710*1780*1435
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-
基本参数,最高车速(km/h),180,180,180,160,160,160,180
