セクション,項目,亚洲龙 2024款 2.0L 进取版,亚洲龙 2024款 2.0L 臻选版,亚洲龙 2024款 2.0L 豪华版,亚洲龙 2024款 双擎 2.0L 臻选版,亚洲龙 2024款 双擎 2.0L 豪华版,亚洲龙 2024款 双擎 2.0L 尊贵版,亚洲龙 2024款 双擎 2.0L 尊享版,亚洲龙 2024款 双擎 2.5L XLE尊贵版,亚洲龙 2024款 双擎 2.5L Limited旗舰版
,厂商指导价(元),17.88万 计算器,19.88万 计算器,20.88万 计算器,20.68万 计算器,21.68万 计算器,22.68万 计算器,23.68万 计算器,23.68万 计算器,25.68万 计算器
,经销商报价,12.88万起,14.88万起,15.88万起,15.68万起,16.68万起,17.68万起,18.68万起,18.68万起,20.68万起
基本参数,厂商,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07
基本参数,最大功率(kW),127,127,127,145,145,145,145,172,172
基本参数,最大扭矩(N·m),206,206,206,-,-,-,-,-,-
基本参数,变速箱,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,2.0L 173马力 L4,2.0L 173马力 L4,2.0L 173马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.5L 185马力 L4,2.5L 185马力 L4
基本参数,电动机(Ps),-,-,-,113,113,113,113,136,136
基本参数,长*宽*高(mm),4990*1850*1450,4990*1850*1450,4990*1850*1450,4990*1850*1450,4990*1850*1450,4990*1850*1450,4990*1850*1450,4990*1850*1450,4990*1850*1450
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),205,205,205,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),6,6,6,4.31,4.31,4.31,4.54,4.36,4.57
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1570,1580,1595,1625,1635,1640,1670,1655,1680
基本参数,最大满载质量(kg),2070,2070,2070,2120,2120,2120,2120,2145,2145
车身,长度(mm),4990,4990,4990,4990,4990,4990,4990,4990,4990
车身,宽度(mm),1850,1850,1850,1850,1850,1850,1850,1850,1850
车身,高度(mm),1450,1450,1450,1450,1450,1450,1450,1450,1450
车身,轴距(mm),2870,2870,2870,2870,2870,2870,2870,2870,2870
车身,前轮距(mm),1595,1595,1585,1595,1585,1585,1585,1585,1585
车身,后轮距(mm),1605,1605,1595,1605,1595,1595,1595,1595,1595
车身,接近角(°),14,14,14,14,14,14,14,14,14
车身,离去角(°),16,16,16,16,16,16,16,16,16
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),60,60,60,49,49,49,49,49,49
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
发动机,发动机型号,M20E,M20E,M20E,M20G,M20G,M20G,M20G,A25H,A25H
发动机,排量(mL),1987,1987,1987,1987,1987,1987,1987,2487,2487
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4
发动机,压缩比,-,-,-,-,-,-,-,14,14
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),173,173,173,152,152,152,152,185,185
发动机,最大功率(kW),127,127,127,112,112,112,112,136,136
发动机,最大功率转速(rpm),6600,6600,6600,6000,6000,6000,6000,6000,6000
发动机,最大扭矩(N·m),206,206,206,188,188,188,188,221,221
发动机,最大扭矩转速(rpm),4600-5000,4600-5000,4600-5000,4400-5200,4400-5200,4400-5200,4400-5200,3400-5200,3400-5200
发动机,最大净功率(kW),127,127,127,112,112,112,112,136,136
发动机,发动机特有技术,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE
发动机,能源类型,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合,油电混合
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
