セクション,セクション_ja,項目,項目_ja,2025年モデル 4WD 高山7,2025年モデル 4WD 高山8,2025年モデル 4WD 高山9,2025年モデル 高山 福祉版,2023年モデル 4WD 尊貴版
,nan,厂商指导价(元),メーカー希望小売価格(元),"28.58万元（日本円 約6,001,800円）","30.98万元（日本円 約6,505,800円）","35.38万元（日本円 約7,429,800円）","34.98万元（日本円 約7,345,800円）","33.58万元（日本円 約7,051,800円）"
,nan,经销商报价,ディーラー販売価格（元）,"28.58万元（日本円 約6,001,800円）","30.98万元（日本円 約6,505,800円）","35.38万元（日本円 約7,429,800円）","34.98万元（日本円 約7,345,800円）","33.58万元（日本円 約7,051,800円）"
基本参数,基本仕様,厂商,メーカー,長城汽車,長城汽車,長城汽車,長城汽車,長城汽車
基本参数,基本仕様,级别,クラス,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国VI,国VI,国VI,国VI,国VI
基本参数,基本仕様,上市时间,発売時期,2025.10,2025.05,2025.05,2025.09,2023.10
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),172,172,201,172,140
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.43,0.43,0.43,0.43,0.43
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),6.5,6.5,7.7,6.5,6
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電量範囲(%),30-80,30-80,30-80,30-80,30-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電量範囲(%),15-100,15-100,15-100,15-100,0-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),337,337,337,337,358
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),644,644,644,644,762
基本参数,基本仕様,变速箱,トランスミッション,4速DHT,4速DHT,4速DHT,4速DHT,2速DHT
基本参数,基本仕様,车身结构,ボディ構造,5ドア7人乗りMPV,5ドア7人乗りMPV,5ドア6人乗りMPV,5ドア6人乗りMPV,5ドア7人乗りMPV
基本参数,基本仕様,发动机,エンジン,1.5T 170馬力 L4,1.5T 170馬力 L4,1.5T 170馬力 L4,1.5T 170馬力 L4,1.5T 156馬力 L4
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),292,292,292,292,360
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),5050×1960×1900,5280×1960×1900,5410×1960×1890,5280×1960×1900,5045×1960×1900
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),5.7,5.7,5.7,5.7,5.7
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200,170
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),0.9,0.9,0.85,0.9,1.25
基本参数,基本仕様,最低荷电状态油耗(L/100km)WLTC,最低荷電状態燃費(L/100km)WLTC,7.15,7.15,7.2,7.15,7.2
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),-,-,-,-,2.65
