セクション,セクション_ja,項目,項目_ja,2026年モデル ルーゾン 知享版,2026年モデル ルーゾン 尊享版,2026年モデル ルーゾン 贅享版,2025年モデル ルーシャン 先享版 7人乗り,2025年モデル ルーシャン 知享版 7人乗り,2025年モデル ルーシャン 尊享版 7人乗り,2024年モデル ルーゾン 知享版 7人乗り,2024年モデル ルーゾン 尊享版 7人乗り,2024年モデル ルーゾン 贅享版 7人乗り,2024年モデル ルーゾン 贅享版 6人乗り
,nan,厂商指导价(元),メーカー希望小売価格(元),"33.99万元（日本円 約7,137,900円）","36.99万元（日本円 約7,767,900円）","39.99万元（日本円 約8,397,900円）","24.99万元（日本円 約5,247,900円）","26.99万元（日本円 約5,667,900円）","28.99万元（日本円 約6,087,900円）","35.99万元（日本円 約7,557,900円）","38.99万元（日本円 約8,187,900円）","41.99万元（日本円 約8,817,900円）","41.99万元（日本円 約8,817,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"33.99万元（日本円 約7,137,900円）","36.99万元（日本円 約7,767,900円）","39.99万元（日本円 約8,397,900円）","24.99万元（日本円 約5,247,900円）","26.99万元（日本円 約5,667,900円）","28.99万元（日本円 約6,087,900円）","33.99万元（日本円 約7,137,900円）","36.99万元（日本円 約7,767,900円）","39.99万元（日本円 約8,397,900円）","39.99万元（日本円 約8,397,900円）"
基本参数,基本仕様,厂商,メーカー,上汽GMビュイック,上汽GMビュイック,上汽GMビュイック,上汽GMビュイック,上汽GMビュイック,上汽GMビュイック,上汽GMビュイック,上汽GMビュイック,上汽GMビュイック,上汽GMビュイック
基本参数,基本仕様,级别,クラス,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.08,2025.08,2025.08,2025.04,2025.04,2025.04,2024.04,2024.04,2024.04,2024.04
基本参数,基本仕様,WLTC纯电续航里程(km),WLTC航続距離(km),150,150,150,111,111,111,-,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),202,202,202,142,142,142,138,138,138,138
基本参数,基本仕様,最大功率(kW),最大出力(kW),292,292,292,292,292,292,292,292,292,292
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),580,580,580,580,580,580,580,580,580,580
