セクション,セクション_ja,項目,項目_ja,2025年モデル 4ドア版 進階モデル,2025年モデル 4ドア版 プレミアムモデル,2025年モデル 4ドア版 プレミアム＋モデル,2024年モデル 第3世代 120km,2024年モデル 第3世代 170km,2024年モデル 第3世代 215km ヤングモデル,2024年モデル 第3世代 215km 進階モデル,2022年モデル ライトモデル 三元リチウム,2022年モデル ライトモデル リン酸鉄リチウム,2022年モデル フリースタイルモデル 三元リチウム,2022年モデル フリースタイルモデル リン酸鉄リチウム,2022年モデル エンジョイモデル 三元リチウム,2022年モデル エンジョイモデル リン酸鉄リチウム,2022年モデル マカロンファッションモデル 三元リチウム,2022年モデル マカロンファッションモデル リン酸鉄リチウム,2022年モデル マカロンプレミアムモデル 三元リチウム,2022年モデル マカロンプレミアムモデル リン酸鉄リチウム,2022年モデル マカロンカラフルモデル 三元リチウム,2022年モデル マカロンカラフルモデル リン酸鉄リチウム,2022年モデル マカロンペイントモデル 三元リチウム,2022年モデル マカロンペイントモデル リン酸鉄リチウム,2022年モデル GAMEBOY 200km プレイモデル リン酸鉄リチウム,2022年モデル GAMEBOY 200km プレイヤーモデル リン酸鉄リチウム,2022年モデル GAMEBOY 300km プレイモデル リン酸鉄リチウム,2022年モデル GAMEBOY 300km プレイヤーモデル リン酸鉄リチウム,2022年モデル GAMEBOY 200km シティウィンド限定版,2022年モデル GAMEBOY 200km レースレンジャー限定版,2022年モデル GAMEBOY 300km シティウィンド限定版,2022年モデル GAMEBOY 300km レースレンジャー限定版,2022年モデル オープンカー版
,nan,厂商指导价(元),メーカー希望小売価格(元),"4.48万元（日本円 約940,800円）","4.98万元（日本円 約1,045,800円）","5.08万元（日本円 約1,066,800円）","3.58万元（日本円 約751,800円）","4.18万元（日本円 約877,800円）","4.08万元（日本円 約856,800円）","4.68万元（日本円 約982,800円）","3.28万元（日本円 約688,800円）","3.28万元（日本円 約688,800円）","3.88万元（日本円 約814,800円）","3.88万元（日本円 約814,800円）","4.48万元（日本円 約940,800円）","4.48万元（日本円 約940,800円）","4.38万元（日本円 約919,800円）","4.38万元（日本円 約919,800円）","4.98万元（日本円 約1,045,800円）","4.98万元（日本円 約1,045,800円）","4.68万元（日本円 約982,800円）","4.68万元（日本円 約982,800円）","5.28万元（日本円 約1,108,800円）","5.28万元（日本円 約1,108,800円）","5.58万元（日本円 約1,171,800円）","5.78万元（日本円 約1,213,800円）","6.78万元（日本円 約1,423,800円）","6.98万元（日本円 約1,465,800円）","6.28万元（日本円 約1,318,800円）","6.28万元（日本円 約1,318,800円）","7.28万元（日本円 約1,528,800円）","7.28万元（日本円 約1,528,800円）","9.99万元（日本円 約2,097,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"3.88万元（日本円 約814,800円）","4.38万元（日本円 約919,800円）","4.48万元（日本円 約940,800円）","2.58万元（日本円 約541,800円）","4.18万元（日本円 約877,800円）","3.68万元（日本円 約772,800円）","4.68万元（日本円 約982,800円）","3.28万元（日本円 約688,800円）","2.38万元（日本円 約499,800円）","3.88万元（日本円 約814,800円）","3.88万元（日本円 約814,800円）","4.48万元（日本円 約940,800円）","4.48万元（日本円 約940,800円）","4.38万元（日本円 約919,800円）","4.38万元（日本円 約919,800円）","4.98万元（日本円 約1,045,800円）","4.98万元（日本円 約1,045,800円）","4.68万元（日本円 約982,800円）","4.68万元（日本円 約982,800円）","5.28万元（日本円 約1,108,800円）","5.28万元（日本円 約1,108,800円）","5.58万元（日本円 約1,171,800円）","5.78万元（日本円 約1,213,800円）","6.78万元（日本円 約1,423,800円）","6.98万元（日本円 約1,465,800円）","6.28万元（日本円 約1,318,800円）","6.28万元（日本円 約1,318,800円）","7.28万元（日本円 約1,528,800円）","7.28万元（日本円 約1,528,800円）","9.99万元（日本円 約2,097,900円）"
基本参数,基本仕様,厂商,メーカー,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
基本参数,基本仕様,级别,クラス,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車,軽自動車
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.02,2025.02,2025.02,2024.09,2023.11,2024.08,2023.11,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.03,2022.11,2022.11,2022.11,2022.11,2022.04,2022.04,2022.04,2022.04,2022.08,2022.08,2022.08,2022.08,2022.09
基本参数,基本仕様,NEDC纯电续航里程(km),NEDC純電航続距離(km),-,-,-,-,-,-,-,120,120,120,120,170,170,120,120,170,170,120,120,170,170,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),205,205,205,120,170,215,215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,200,300,300,200,200,300,300,280
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.58,0.58,0.58,-,-,0.58,0.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),4.8,4.8,4.8,4.6,6.8,5,5,6.5,6.5,6.5,6.5,9,9,6.5,6.5,9,9,6.5,6.5,9,9,5.5,5.5,8.5,8.5,5.5,5.5,8.5,8.5,8.5
