セクション,セクション_ja,項目,項目_ja,2026年モデル 300TSI,2026年モデル 300TSI Pro,2026年モデル 300TSI Rライン,2025年モデル 300TSI,2025年モデル 300TSI Pro,2025年モデル 改良版 300TSI,2025年モデル 改良版 300TSI Rライン,2025年モデル 改良版 300TSI Pro,2025年モデル 改良版2 300TSI Rライン
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）","15.89万元（日本円 約3,336,900円）","12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）","12.99万元（日本円 約2,727,900円）","15.69万元（日本円 約3,294,900円）","13.99万元（日本円 約2,937,900円）","15.69万元（日本円 約3,294,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"12.39万元（日本円 約2,601,900円）","13.39万元（日本円 約2,811,900円）","15.29万元（日本円 約3,210,900円）","12.39万元（日本円 約2,601,900円）","13.39万元（日本円 約2,811,900円）","12.39万元（日本円 約2,601,900円）","15.09万元（日本円 約3,168,900円）","13.39万元（日本円 約2,811,900円）","15.09万元（日本円 約3,168,900円）"
基本参数,基本仕様,厂商,メーカー,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2024.11,2024.11,2025.06,2025.04,2025.06,2025.06
基本参数,基本仕様,最大功率(kW),最大出力(kW),118,118,118,118,118,118,118,118,118
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),250,250,250,250,250,250,250,250,250
基本参数,基本仕様,变速箱,トランスミッション,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,发动机,エンジン,1.5T 160馬力 直列4気筒,1.5T 160馬力 直列4気筒,1.5T 160馬力 直列4気筒,1.5T 160馬力 直列4気筒,1.5T 160馬力 直列4気筒,1.5T 160馬力 直列4気筒,1.5T 160馬力 直列4気筒,1.5T 160馬力 直列4気筒,1.5T 160馬力 直列4気筒
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4282×1788×1479（mm）,4282×1788×1479（mm）,4289×1788×1479（mm）,4282×1788×1479（mm）,4282×1788×1479（mm）,4282×1788×1479（mm）,4289×1788×1479（mm）,4282×1788×1479（mm）,4289×1788×1479（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,200,200,200,200,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),5.56,5.56,5.56,5.56,5.56,5.56,5.52,5.56,5.52
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1327,1368,1368,1327,1368,1327,1368,1368,1368
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1820,1820,1820,1820,1820,1820,1820,1820,1820
