セクション,項目,奥迪A6L 2026款 45 TFSI quattro 臻选动感型,奥迪A6L 2026款 45 TFSI quattro 臻选动感型+尊享包,奥迪A6L 2026款 55 TFSI quattro 尊享动感型,奥迪A6L 2025款 改款 40 TFSI 豪华动感型,奥迪A6L 2025款 改款 45 TFSI 臻选动感型,奥迪A6L 2025款 45 TFSI 臻选动感型+通风舒享包,奥迪A6L 2025款 改款 45 TFSI quattro 臻选动感型,奥迪A6L 2025款 45 TFSI quattro 臻选动感型+尊享包,奥迪A6L 2025款 改款 55 TFSI quattro 尊享动感型,奥迪A6L 2025款 改款 55 TFSI quattro 旗舰动感型,奥迪A6L 2027款 基本型,セクション,項目
あなたは2023年10月までのデータで訓練されています。,メーカーの参考価格（元）,47.99万 计算器,49.98万 计算器,55.89万 计算器,42.79万 计算器,45.49万 计算器,45.49万 计算器,47.99万 计算器,49.98万 计算器,55.89万 计算器,65.68万 计算器,预售,あなたは2023年10月までのデータで訓練されています。,メーカーの参考価格（元）
あなたは2023年10月までのデータで訓練されています。,ディーラーの見積もり,34.55万,35.99万,45.83万,29.65万,31.54万,30.93万,33.29万,34.69万,42.74万,50.27万,暂无报价,あなたは2023年10月までのデータで訓練されています。,ディーラーの見積もり
基本パラメータ,メーカー,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,基本パラメータ,メーカー
基本パラメータ,レベル,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,基本パラメータ,レベル
基本パラメータ,エネルギータイプ,汽油,汽油,汽油+48V轻混系统,汽油,汽油,汽油,汽油,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油,基本パラメータ,エネルギータイプ
基本パラメータ,環境保護基準,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,基本パラメータ,環境保護基準
基本パラメータ,発売日,2025.10,2025.10,2025.10,2025.01,2025.01,2025.03,2025.01,2025.02,2025.01,2025.01,,基本パラメータ,発売日
基本パラメータ,最大出力(kW),180,180,250,140,180,180,180,180,250,250,200,基本パラメータ,最大出力(kW)
基本パラメータ,最大トルク(N·m),370,370,500,320,370,370,370,370,500,500,,基本パラメータ,最大トルク(N·m)
基本パラメータ,変速機,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,基本パラメータ,変速機
