セクション,セクション_ja,項目,項目_ja,2025年モデル 1.5T DCT 旗悦版,2025年モデル 1.5T DCT 旗韵版,2025年モデル 2.0T AT 旗享版,2025年モデル 2.0T AT 旗畅版,2025年モデル 2.0T AT 旗领版,2025年モデル 1.5T DCT 玄影200万台記念版,2025年モデル 2.0T AT 玄影200万台記念版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"15.98万元（日本円 約3,355,800円）","16.98万元（日本円 約3,565,800円）","17.98万元（日本円 約3,775,800円）","18.98万元（日本円 約3,985,800円）","21.58万元（日本円 約4,531,800円）","17.28万元（日本円 約3,628,800円）","19.28万元（日本円 約4,048,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"11.48万元（日本円 約2,410,800円）","12.48万元（日本円 約2,620,800円）","13.48万元（日本円 約2,830,800円）","14.48万元（日本円 約3,040,800円）","17.08万元（日本円 約3,586,800円）","12.78万元（日本円 約2,683,800円）","14.78万元（日本円 約3,103,800円）"
基本参数,基本仕様,厂商,メーカー,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗
基本参数,基本仕様,级别,クラス,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2024.09,2024.09,2024.09,2024.09,2024.09,2025.08,2025.08
基本参数,基本仕様,最大功率(kW),最大出力(kW),124,124,165,165,165,124,165
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),258,258,340,340,340,258,340
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,7速湿式デュアルクラッチ,8速AT（マニュアルモード付）
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.5T 169馬力 L4エンジン,1.5T 169馬力 L4エンジン,2.0T 224馬力 L4エンジン,2.0T 224馬力 L4エンジン,2.0T 224馬力 L4エンジン,1.5T 169馬力 L4エンジン,2.0T 224馬力 L4エンジン
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4988×1875×1470（mm）,4988×1875×1470（mm）,4988×1875×1470（mm）,4988×1875×1470（mm）,4988×1875×1470（mm）,4988×1875×1470（mm）,4988×1875×1470（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),9.5,9.5,7.8,7.8,7.8,9.5,7.8
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),215,215,230,230,230,215,230
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.1,6.1,6.4,6.4,6.4,6.1,6.4
基本参数,基本仕様,整车质保,車両保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証,● 4年または10万km保証
基本参数,基本仕様,首任车主质保政策,初回オーナー保証制度,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）,● 生涯保証／非営業用（免責条項は公式基準による）
基本参数,基本仕様,整备质量(kg),車両重量(kg),1565,1565,1635,1635,1635,1565,1635
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2015,2015,2085,2085,2085,2015,2085
车身,車体,长度(mm),全長(mm),4988,4988,4988,4988,4988,4988,4988
车身,車体,宽度(mm),全幅(mm),1875,1875,1875,1875,1875,1875,1875
车身,車体,高度(mm),全高(mm),1470,1470,1470,1470,1470,1470,1470
车身,車体,轴距(mm),ホイールベース(mm),2920,2920,2920,2920,2920,2920,2920
车身,車体,前轮距(mm),前トレッド(mm),1615,1615,1615,1615,1615,1615,1615
车身,車体,后轮距(mm),後トレッド(mm),1607,1607,1607,1607,1607,1607,1607
车身,車体,接近角(°),アプローチアングル(°),13,13,13,13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),16,16,16,16,16,16,16
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）,● 5（乗員数）
车身,車体,油箱容积(L),燃料タンク容量(L),58,58,58,58,58,58,58
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,CA4GB15TD-30（エンジン型式）,CA4GB15TD-30（エンジン型式）,CA4GC20TD-33（エンジン型式）,CA4GC20TD-33（エンジン型式）,CA4GC20TD-33（エンジン型式）,CA4GB15TD-30（エンジン型式）,CA4GC20TD-33（エンジン型式）
发动机,エンジン,排量(mL),排気量(mL),1498,1498,1989,1989,1989,1498,1989
发动机,エンジン,排量(L),排気量(L),1.5,1.5,2.0,2.0,2.0,1.5,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）,DOHC（ダブルオーバーヘッドカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),169,169,224,224,224,169,224
发动机,エンジン,最大功率(kW),最大出力(kW),124,124,165,165,165,124,165
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),-,-,-,-,-,-,-
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),258,258,340,340,340,258,340
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),-,-,-,-,-,-,-
发动机,エンジン,最大净功率(kW),最大出力(kW),118,118,160,160,160,118,160
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,レギュラーガソリン（92オクタン）,レギュラーガソリン（92オクタン）,ハイオクガソリン（95オクタン）,ハイオクガソリン（95オクタン）,ハイオクガソリン（95オクタン）,レギュラーガソリン（92オクタン）,ハイオクガソリン（95オクタン）
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,鋳鉄,鋳鉄,アルミ合金,アルミ合金,アルミ合金,鋳鉄,アルミ合金
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
变速箱,トランスミッション,简称,略称,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,7速湿式デュアルクラッチ,8速AT（マニュアルモード付）
变速箱,トランスミッション,挡位个数,段数,7,7,8,8,8,7,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,湿式デュアルクラッチトランスミッション（DCT）,湿式デュアルクラッチトランスミッション（DCT）,マニュアルモード付オートマチックトランスミッション（AT）,マニュアルモード付オートマチックトランスミッション（AT）,マニュアルモード付オートマチックトランスミッション（AT）,湿式デュアルクラッチトランスミッション（DCT）,マニュアルモード付オートマチックトランスミッション（AT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動,● フロントエンジン・前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
