セクション,セクション_ja,項目,項目_ja,2026年モデル 45周年記念版 40 TFSI スタイリッシュスポーツ,2026年モデル 45周年記念版 40 TFSI ラグジュアリースポーツ,2026年モデル 45周年記念版 45 TFSI ラグジュアリースポーツ,2025年モデル 45周年記念版 40 TFSI スタイリッシュスポーツ,2025年モデル 45周年記念版 40 TFSI ラグジュアリースポーツ,2025年モデル 45周年記念版 45 TFSI ラグジュアリースポーツ,2025年モデル 45周年記念版 45 TFSI プレミアムスポーツ,2026年モデル ベーシック,2026年モデル ハイパワーベーシック
,nan,厂商指导价(元),メーカー希望小売価格(元),"34.98万元（日本円 約7,345,800円）","36.98万元（日本円 約7,765,800円）","39.98万元（日本円 約8,395,800円）","34.98万元（日本円 約7,345,800円）","36.98万元（日本円 約7,765,800円）","39.98万元（日本円 約8,395,800円）","42.98万元（日本円 約9,025,800円）",预售 暂无,预售 暂无
,nan,经销商报价,ディーラー販売価格（元）,"34.98万元（日本円 約7,345,800円）","36.98万元（日本円 約7,765,800円）","39.98万元（日本円 約8,395,800円）","25.24万元（日本円 約5,300,400円）","26.70万元（日本円 約5,607,000円）","28.89万元（日本円 約6,066,900円）","31.08万元（日本円 約6,526,800円）",暂无,暂无
基本参数,基本仕様,厂商,メーカー,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ,一汽アウディ
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025.10,2025.10,2025.10,2025.02,2025.02,2025.02,2025.02,-,-
基本参数,基本仕様,最大功率(kW),最大出力(kW),140,140,180,140,140,180,180,150,200
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),320,320,370,320,320,370,370,-,-
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,-,-
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0T 190馬力 L4,2.0T 190馬力 L4,2.0T 245馬力 L4,2.0T 190馬力 L4,2.0T 190馬力 L4,2.0T 245馬力 L4,2.0T 245馬力 L4,2.0T 204馬力 L4,2.0T 272馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4770×1893×1667（mm）,4770×1893×1667（mm）,4770×1893×1667（mm）,4770×1893×1667（mm）,4770×1893×1667（mm）,4770×1893×1667（mm）,4770×1893×1667（mm）,4842×1900×1640（mm）,4842×1900×1660（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),9.1,9.1,7,9.1,9.1,7,7,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),211,211,230,211,211,230,230,220,240
