セクション,項目,索纳塔 2024款 1.5T Air,索纳塔 2024款 1.5T Pro,索纳塔 2024款 1.5T Max,索纳塔 2024款 2.0T N Line Air,索纳塔 2024款 2.0T N Line Pro,索纳塔 2024款 2.0T N Line Max
,厂商指导价(元),13.98万 计算器,14.98万 计算器,16.28万 计算器,16.38万 计算器,17.38万 计算器,18.68万 计算器
,经销商报价,10.58万起,11.58万起,12.88万起,12.98万起,13.98万起,15.28万起
基本参数,厂商,北京现代,北京现代,北京现代,北京现代,北京现代,北京现代
基本参数,级别,中型车,中型车,中型车,中型车,中型车,中型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2024.03,2024.03,2024.03,2024.03,2024.03,2024.03
基本参数,最大功率(kW),125,125,125,184,184,184
基本参数,最大扭矩(N·m),253,253,253,353,353,353
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5T 170马力 L4,1.5T 170马力 L4,1.5T 170马力 L4,2.0T 250马力 L4,2.0T 250马力 L4,2.0T 250马力 L4
基本参数,长*宽*高(mm),4945*1860*1445,4945*1860*1445,4945*1860*1445,4945*1860*1445,4945*1860*1445,4945*1860*1450
基本参数,官方0-100km/h加速(s),-,-,-,-,-,-
基本参数,最高车速(km/h),210,210,210,240,240,240
基本参数,WLTC综合油耗(L/100km),6.25,6.25,6.41,6.9,6.9,7.1
基本参数,整车质保,"○ 三年或15万公里
○ 五年或10万公里
○ 七年或7万公里","○ 三年或15万公里
○ 五年或10万公里
○ 七年或7万公里","○ 三年或15万公里
○ 五年或10万公里
○ 七年或7万公里","○ 三年或15万公里
○ 五年或10万公里
○ 七年或7万公里","○ 三年或15万公里
○ 五年或10万公里
○ 七年或7万公里","○ 三年或15万公里
○ 五年或10万公里
○ 七年或7万公里"
基本参数,整备质量(kg),1482,1482,1527,1556,1556,1597
基本参数,最大满载质量(kg),1960,1960,1960,2020,2020,2020
车身,长度(mm),4945,4945,4945,4945,4945,4945
车身,宽度(mm),1860,1860,1860,1860,1860,1860
车身,高度(mm),1445,1445,1445,1445,1445,1450
车身,轴距(mm),2875,2875,2875,2875,2875,2875
车身,前轮距(mm),1623,1623,1618,1618,1618,1610
车身,后轮距(mm),1630,1630,1625,1625,1625,1617
车身,最小离地间隙(mm),110,110,110,110,110,110
车身,接近角(°),14,14,14,14,14,14
车身,离去角(°),18,18,18,16,16,16
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),60,60,60,60,60,60
车身,后备厢容积(L),480,480,480,480,480,480
车身,风阻系数(Cd),0.27,0.27,0.27,0.27,0.27,0.27
发动机,发动机型号,G4FS,G4FS,G4FS,G4NN,G4NN,G4NN
发动机,排量(mL),1497,1497,1497,1975,1975,1975
发动机,排量(L),1.5,1.5,1.5,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),170,170,170,250,250,250
发动机,最大功率(kW),125,125,125,184,184,184
发动机,最大功率转速(rpm),5500,5500,5500,6000,6000,6000
发动机,最大扭矩(N·m),253,253,253,353,353,353
发动机,最大扭矩转速(rpm),1500-4000,1500-4000,1500-4000,1500-4500,1500-4500,1500-4500
发动机,最大净功率(kW),125,125,125,184,184,184
发动机,发动机特有技术,CVVD,CVVD,CVVD,LP-EGR,LP-EGR,LP-EGR
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
变速箱,挡位个数,8,8,8,8,8,8
变速箱,变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/55 R17,● 215/55 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 245/40 R19
车轮制动,后轮胎规格,● 215/55 R17,● 215/55 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 245/40 R19
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后 ●
被动安全,前/后排头部气囊(气帘),前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
被动安全,膝部气囊,-,-,-,-,-,● 主驾膝部气囊
主动安全,ABS防抱死,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●
主动安全,DOW开门预警,-,-,●,-,-,●
主动安全,前方碰撞预警,●,●,●,●,●,●
主动安全,后方碰撞预警,-,-,●,-,-,●
主动安全,道路救援呼叫,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,发动机启停技术,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,"● 倒车影像
○ 360度全景影像
○ 车侧盲区影像",● 倒车影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 2个,● 2个,"● 2个
○ 5个",● 2个,● 5个,● 5个
驾驶硬件,超声波雷达数量,-,● 8个,"● 8个
○ 12个",● 8个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,-,● 1个,● 3个,● 1个,● 1个,● 3个
驾驶功能,巡航系统,● 定速巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,-,● Hyundai Smart Sense,● Hyundai Smart Sense,● Hyundai Smart Sense,● Hyundai Smart Sense,● Hyundai Smart Sense
驾驶功能,辅助驾驶等级,-,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,-,-,●,-,-,●
驾驶功能,卫星导航系统,-,●,●,●,●,●
驾驶功能,导航路况信息显示,-,●,●,●,●,●
驾驶功能,地图品牌,-,● 百度,● 百度,● 百度,● 百度,● 百度
驾驶功能,并线辅助,-,-,●,-,-,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●
驾驶功能,辅助泊车入位,-,-,-,-,-,-
驾驶功能,遥控泊车,-,-,○,-,●,●
驾驶功能,辅助变道,-,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),-,●,●,●,●,●
驾驶功能,起步提醒,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,-,● 高速路段,● 高速路段,● 高速路段,● 高速路段,● 高速路段
外观/防盗,外观套件,-,-,-,● 运动风格,● 运动风格,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,-,●,-,●,●
外观/防盗,感应后备厢,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,-,-,●,-,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,"● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙","● 遥控钥匙
○ 蓝牙钥匙
○ NFC/RFID钥匙
○ UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙","● 遥控钥匙
● 蓝牙钥匙
● NFC/RFID钥匙
● UWB数字钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
外观/防盗,远程启动功能,●,●,●,●,●,●
车外灯光,近光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,远光灯光源,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,LED日间行车灯,●,●,●,●,●,●
车外灯光,自适应远近光,●,●,●,●,●,●
车外灯光,自动头灯,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●
天窗/玻璃,天窗类型,● 电动天窗,"● 电动天窗
○ 可开启全景天窗 (3500元)",● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗,● 可开启全景天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
