セクション,項目,缤越 2025款 1.5L 手动超能版,缤越 2025款 1.5L CVT超能版,缤越 2025款 1.5L CVT超能版 MAX,缤越 2025款 缤越L 1.5TD DCT超越版,缤越 2025款 缤越L 1.5TD DCT星钻,缤越 2025款 缤越L 1.5TD DCT星耀,缤越 2024款 1.5T DCT龙腾版,缤越 2023款 1.5T DCT铂金版,缤越 2023款 1.5T DCT钻石版
,厂商指导价(元),6.68万 计算器,7.38万 计算器,7.88万 计算器,8.48万 计算器,8.98万 计算器,9.68万 计算器,8.38万 计算器,8.98万 计算器,9.58万 计算器
,经销商报价,5.98万起 询底价,6.68万起 询底价,7.18万起 询底价,7.48万起 询底价,7.98万起 询底价,8.68万起 询底价,7.18万起 询底价,7.78万起 询底价,8.38万起 询底价
基本参数,厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
基本参数,级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2024.07,2024.07,2025.07,2025.03,2024.11,2024.11,2024.03,2023.05,2023.05
基本参数,最大功率(kW),93,93,93,133,133,133,133,133,133
基本参数,最大扭矩(N·m),152,152,152,290,290,290,290,290,290
基本参数,变速箱,5挡手动,CVT无级变速,CVT无级变速,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.5L 126马力 L4,1.5L 126马力 L4,1.5L 126马力 L4,1.5T 181马力 L4,1.5T 181马力 L4,1.5T 181马力 L4,1.5T 181马力 L4,1.5T 181马力 L4,1.5T 181马力 L4
基本参数,长*宽*高(mm),4330*1800*1609,4330*1800*1609,4330*1800*1609,4380*1800*1609,4380*1800*1609,4380*1800*1609,4330*1800*1609,4330*1800*1609,4330*1800*1609
基本参数,官方0-100km/h加速(s),-,-,-,7.6,7.6,7.6,7.6,7.6,7.6
基本参数,最高车速(km/h),175,170,170,200,200,200,200,200,200
基本参数,WLTC综合油耗(L/100km),6.46,6.89,6.89,6.35,6.35,6.35,6.35,6.35,6.35
基本参数,整车质保,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里,● 四年或10万公里
基本参数,整备质量(kg),1255,1289,1289,1320,1350,1350,1340,1340,1340
基本参数,最大满载质量(kg),1630,1664,1664,1725,1725,1725,1715,1715,1715
车身,长度(mm),4330,4330,4330,4380,4380,4380,4330,4330,4330
车身,宽度(mm),1800,1800,1800,1800,1800,1800,1800,1800,1800
车身,高度(mm),1609,1609,1609,1609,1609,1609,1609,1609,1609
车身,轴距(mm),2600,2600,2600,2600,2600,2600,2600,2600,2600
车身,前轮距(mm),1551,1551,1551,1546,1546,1546,1551,1551,1551
车身,后轮距(mm),1562,1562,1562,1557,1557,1557,1562,1562,1562
车身,接近角(°),18,18,18,20,20,20,18,18,18
车身,离去角(°),21,21,21,28,28,28,21,21,21
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),45,45,45,45,45,45,45,45,45
车身,后备厢容积(L),-,-,-,-,-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-
发动机,发动机型号,BHE15-AFD,BHE15-AFD,BHE15-AFD,BHE15-EFZ,BHE15-EFZ,BHE15-EFZ,BHE15-EFZ,BHE15-EFZ,BHE15-EFZ
发动机,排量(mL),1499,1499,1499,1499,1499,1499,1499,1499,1499
发动机,排量(L),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
发动机,进气形式,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),126,126,126,181,181,181,181,181,181
发动机,最大功率(kW),93,93,93,133,133,133,133,133,133
发动机,最大功率转速(rpm),6300,6300,6300,5500,5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),152,152,152,290,290,290,290,290,290
发动机,最大扭矩转速(rpm),4000-5000,4000-5000,4000-5000,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500
发动机,最大净功率(kW),90,90,90,128,128,128,128,128,128
发动机,发动机特有技术,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,5挡手动,CVT无级变速,CVT无级变速,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱,挡位个数,5,无级变速,无级变速,7,7,7,7,7,7
变速箱,变速箱类型,手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 手刹,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 215/65 R16,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/55 R18,● 215/60 R17,● 215/60 R17,● 215/55 R18
车轮制动,后轮胎规格,● 215/65 R16,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/60 R17,● 215/55 R18,● 215/60 R17,● 215/60 R17,● 215/55 R18
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
车轮制动,备胎放置方式,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,● 后备厢内,-,-,-
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
被动安全,前/后排侧气囊,-,-,● 前 / 后-,-,-,● 前 / 后-,-,-,-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),-,●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),-,●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,-,●,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-,●,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-,-,-,-,-
主动安全,前方碰撞预警,-,-,-,-,-,●,-,-,-
驾驶操控,驾驶模式切换,-,-,-,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适,-,● 运动 经济 标准/舒适,● 运动 经济 标准/舒适
驾驶操控,自动驻车,-,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,-,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,-,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,-,-,● 前- / 后,● 前- / 后,● 前- / 后,● 前- / 后,-,● 前- / 后,● 前- / 后
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,● 倒车影像,● 倒车影像,● 360度全景影像,● 360度全景影像,● 倒车影像,● 倒车影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,-,-,-,-,-,●,-,-,-
驾驶硬件,前方感知摄像头,-,-,-,-,-,● 单目,-,-,-
驾驶硬件,摄像头数量,● 1个,● 1个,● 1个,● 1个,● 4个,● 5个,● 1个,● 1个,● 4个
驾驶硬件,超声波雷达数量,-,-,● 4个,● 4个,● 4个,● 4个,-,● 4个,● 4个
驾驶功能,巡航系统,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 定速巡航,● 全速自适应巡航,● 定速巡航,● 定速巡航,● 定速巡航
驾驶功能,辅助驾驶等级,-,-,-,-,-,● L2,-,-,-
驾驶功能,卫星导航系统,-,-,●,-,●,●,-,●,●
驾驶功能,导航路况信息显示,-,-,●,-,●,●,-,●,●
驾驶功能,地图品牌,-,-,● 高德,-,● 高德,● 高德,-,● 高德,● 高德
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,●,-,-,-
驾驶功能,道路交通标识识别,-,-,-,-,-,●,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-
外观/防盗,外观套件,-,-,-,○ 运动风格,● 运动风格,● 运动风格,-,-,● 运动风格
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动后备厢,-,-,-,-,-,○,-,-,-
外观/防盗,电动后备厢位置记忆,-,-,-,-,-,○,-,-,-
外观/防盗,车顶行李架,-,-,-,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙 蓝牙钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,-,-,● 驾驶位,-,● 驾驶位,● 驾驶位,-,● 驾驶位,● 驾驶位
外观/防盗,远程启动功能,-,-,-,-,●,●,-,-,●
车外灯光,近光灯光源,● 卤素,● 卤素,● 卤素,● LED,● LED,● LED,● 卤素,● 卤素,● 卤素
车外灯光,远光灯光源,● 卤素,● 卤素,● 卤素,● LED,● LED,● LED,● 卤素,● 卤素,● 卤素
车外灯光,LED日间行车灯,●,●,●,●,●,●,●,●,●
车外灯光,自适应远近光,-,-,-,-,-,●,-,-,-
车外灯光,自动头灯,●,●,●,●,●,●,●,●,●
车外灯光,车前雾灯,-,-,-,-,-,-,-,-,-
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,-,● 电动天窗,-,○ 电动天窗 (2000元),电动天窗 可开启全景天窗,-,○ 电动天窗,○ 电动天窗
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
天窗/玻璃,车窗一键升降功能,-,● 驾驶位,● 驾驶位,-,● 全车,● 全车,● 驾驶位,● 驾驶位,● 驾驶位
天窗/玻璃,车窗防夹手功能,-,●,●,-,●,●,●,●,●
天窗/玻璃,车内化妆镜,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾位 副驾驶,● 主驾位 副驾驶,● 主驾位 副驾驶
天窗/玻璃,后雨刷,-,-,-,●,●,●,-,●,●
天窗/玻璃,感应雨刷功能,-,-,-,-,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节,● 电动调节,● 电动调节,● 电动调节,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节,● 电动调节 电动折叠 后视镜加热 锁车自动折叠,● 电动调节 电动折叠 后视镜加热 锁车自动折叠
