セクション,項目,Model Y 2025款 后轮驱动版,Model Y 2025款 改款 长续航全轮驱动版,Model Y 2026款 长续航后轮驱动版
,厂商指导价(元),26.35万 计算器,31.35万 计算器,预售 暂无报价 计算器
,经销商报价,26.35万起 询底价,31.35万起 询底价,暂无报价 询底价
基本参数,厂商,特斯拉中国,特斯拉中国,特斯拉中国
基本参数,级别,中型SUV,中型SUV,中型SUV
基本参数,能源类型,纯电动,纯电动,纯电动
基本参数,上市时间,2025.03,2025.07,-
基本参数,CLTC纯电续航里程(km),593,750,-
基本参数,最大功率(kW),220,331,225
基本参数,最大扭矩(N·m),410,559,-
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,电动机(Ps),299,450,306
基本参数,长*宽*高(mm),4797*1920*1624,4797*1920*1624,4797*1920*1624
基本参数,官方0-100km/h加速(s),5.9,4.3,-
基本参数,最高车速(km/h),201,201,201
基本参数,电能当量燃料消耗量(L/100km),1.38,1.42,-
基本参数,整车质保,● 四年或8万公里,● 四年或8万公里,-
基本参数,整备质量(kg),1921,1992,1891
基本参数,最大满载质量(kg),2432,2503,2402
车身,长度(mm),4797,4797,4797
车身,宽度(mm),1920,1920,1920
车身,高度(mm),1624,1624,1624
车身,轴距(mm),2890,2890,2890
车身,前轮距(mm),1636,1636,1636
车身,后轮距(mm),1636,1636,1636
车身,满载最小离地间隙(mm),138,138,-
车身,空载最小离地间隙(mm),167,167,-
车身,接近角(°),16,16,16
车身,离去角(°),18,18,18
车身,最大爬坡度(%),30,30,-
车身,最大爬坡角度(°),16.7,16.7,-
车身,最小转弯半径(m),6.065,6.065,-
车身,车身结构,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5
车身,前备厢容积(L),116,116,-
车身,后备厢容积(L),822-2022,822-2022,-
车身,风阻系数(Cd),0.22,0.22,-
电动机,前电动机品牌,-,特斯拉,-
电动机,后电动机品牌,特斯拉,特斯拉,特斯拉
电动机,前电动机型号,-,3D3,-
电动机,后电动机型号,4D3,3D7,3D6
电动机,电机类型,永磁/同步,前感应/异步 后永磁/同步,永磁/同步
电动机,电动机总功率(kW),220,331,225
电动机,电动机总马力(Ps),299,450,306
电动机,电动机总扭矩(N·m),410,559,-
电动机,前电动机最大功率(kW),-,137,-
电动机,前电动机最大扭矩(N·m),-,219,-
电动机,后电动机最大功率(kW),220,194,225
电动机,后电动机最大扭矩(N·m),410,340,-
电动机,驱动电机数,单电机,双电机,单电机
电动机,电机布局,后置,前置+后置,后置
电动机,三电系统质保,● 八年或16万公里,● 八年或19.2万公里,-
电池/充电,电池类型,● 磷酸铁锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 宁德时代(福鼎时代) 宁德时代(四川时代),● LG(爱尔集),● LG(爱尔集)
电池/充电,电池冷却方式,液冷,液冷,-
电池/充电,CLTC纯电续航里程(km),593,750,-
电池/充电,电池能量(kWh),62.5,78.4,-
电池/充电,百公里耗电量(kWh/100km),11.9,12.2,-
电池/充电,快充功能,支持,支持,支持
电池/充电,快充功率(kW),170,250,-
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 双电机四驱,● 后置后驱
底盘转向,四驱形式,-,● 电动四驱,-
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,255/45 R19 255/40 R20 (8000元),255/45 R19 255/40 R20 (8000元),● 255/45 R19
车轮制动,后轮胎规格,255/45 R19 255/40 R20,255/45 R19 255/40 R20,● 255/45 R19
车轮制动,备胎规格,● 无,● 无,● 无
被动安全,主/副驾驶座安全气囊,● 主 / 副,● 主 / 副,-
被动安全,前/后排侧气囊,● 前 / 后-,● 前 / 后-,-
被动安全,前/后排头部气囊(气帘),● 前 / 后,● 前 / 后,-
被动安全,前排中间气囊,●,●,-
被动安全,被动行人保护,●,●,-
主动安全,ABS防抱死,●,●,-
主动安全,制动力分配(EBD/CBC等),●,●,-
主动安全,刹车辅助(EBA/BAS/BA等),●,●,-
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,-
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,-
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,-
主动安全,安全带未系提醒,● 全车,● 全车,-
主动安全,ISOFIX儿童座椅接口,●,●,-
主动安全,车道偏离预警系统,●,●,-
主动安全,主动刹车/主动安全系统,●,●,-
主动安全,疲劳驾驶提示,●,●,-
主动安全,前方碰撞预警,●,●,-
主动安全,哨兵模式/千里眼,●,●,-
主动安全,低速行车警告,●,●,-
主动安全,内置行车记录仪,●,●,-
驾驶操控,驾驶模式切换,● 标准/舒适 雪地,● 运动 标准/舒适 雪地,-
驾驶操控,单踏板模式,●,●,-
驾驶操控,能量回收系统,●,●,-
驾驶操控,自动驻车,●,●,-
驾驶操控,上坡辅助,●,●,-
驾驶硬件,前/后驻车雷达,-,-,-
驾驶硬件,驾驶辅助影像,● 倒车影像 车侧盲区影像,● 倒车影像 车侧盲区影像,-
驾驶硬件,辅助驾驶芯片,● AI 4,● AI 4,-
驾驶硬件,芯片总算力,● 720 TOPS,● 720 TOPS,-
驾驶硬件,前方感知摄像头,● 双目,● 双目,-
驾驶硬件,摄像头数量,● 8个,● 8个,-
驾驶硬件,前方感知摄像头像素,● 500万,● 500万,-
驾驶硬件,车内摄像头数量,● 1个,● 1个,-
驾驶硬件,前方最大探测距离,● 424米,● 424米,-
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,-
驾驶功能,辅助驾驶系统,● 特斯拉辅助驾驶,● 特斯拉辅助驾驶,-
驾驶功能,辅助驾驶等级,● L2,● L2,-
驾驶功能,卫星导航系统,●,●,-
驾驶功能,导航路况信息显示,●,●,-
驾驶功能,地图品牌,● 百度,● 百度,-
驾驶功能,并线辅助,●,●,-
驾驶功能,车道保持辅助系统,●,●,-
驾驶功能,车道居中保持,●,●,-
驾驶功能,道路交通标识识别,○,○,-
驾驶功能,辅助泊车入位,○,○,-
驾驶功能,遥控泊车,○,○,-
驾驶功能,辅助变道,○,○,-
驾驶功能,辅助匝道自动驶出(入),○,○,-
驾驶功能,信号灯识别,○,○,-
驾驶功能,远程召唤,○,○,-
驾驶功能,辅助驾驶路段,○ 城市路段 高速路段,○ 城市路段 高速路段,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,-
外观/防盗,无框设计车门,●,●,-
外观/防盗,电动后备厢,●,●,-
外观/防盗,感应后备厢,●,●,-
外观/防盗,电动后备厢位置记忆,●,●,-
外观/防盗,车内中控锁,●,●,-
外观/防盗,钥匙类型,遥控钥匙 (990元) 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙,遥控钥匙 (990元) 蓝牙钥匙 NFC/RFID钥匙 UWB数字钥匙,-
外观/防盗,无钥匙启动系统,●,●,-
外观/防盗,无钥匙进入功能,● 全车,● 全车,-
外观/防盗,远程启动功能,●,●,-
外观/防盗,电池预加热,●,●,-
车外灯光,近光灯光源,● LED,● LED,-
车外灯光,远光灯光源,● LED,● LED,-
车外灯光,灯光特色功能,● 矩阵式,● 矩阵式,-
车外灯光,LED日间行车灯,●,●,-
车外灯光,自适应远近光,●,●,-
车外灯光,自动头灯,●,●,-
车外灯光,车前雾灯,-,-,-
车外灯光,大灯高度可调,●,●,-
车外灯光,大灯延时关闭,●,●,-
天窗/玻璃,天窗类型,● 不可开启全景天窗,● 不可开启全景天窗,-
天窗/玻璃,前/后电动车窗,● 前 / 后,● 前 / 后,-
天窗/玻璃,车窗一键升降功能,● 全车,● 全车,-
天窗/玻璃,车窗防夹手功能,●,●,-
天窗/玻璃,侧窗多层隔音玻璃,● 前排 后排,● 前排 后排,-
天窗/玻璃,后排侧隐私玻璃,●,●,-
天窗/玻璃,车内化妆镜,● 主驾驶+照明灯 副驾驶+照明灯,● 主驾驶+照明灯 副驾驶+照明灯,-
天窗/玻璃,后雨刷,-,-,-
天窗/玻璃,感应雨刷功能,● 雨量感应式,● 雨量感应式,-
外后视镜,外后视镜功能,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,● 电动调节 电动折叠 后视镜记忆 后视镜加热 倒车自动下翻 锁车自动折叠 自动防眩目,-
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,-
屏幕/系统,中控屏幕尺寸,● 15.4英寸,● 15.4英寸,-
屏幕/系统,中控屏幕分辨率,● 1920x1080,● 1920x1080,-
屏幕/系统,中控屏幕像素密度,● 147PPI,● 147PPI,-
屏幕/系统,蓝牙/车载电话,●,●,-
屏幕/系统,手机互联/映射,-,-,-
屏幕/系统,语音识别控制系统,● 多媒体系统 导航 电话 空调,● 多媒体系统 导航 电话 空调,-
屏幕/系统,车载智能系统,● 特斯拉车载系统软件,● 特斯拉车载系统软件,-
屏幕/系统,车机智能芯片,● AMD Ryzen,● AMD Ryzen,-
屏幕/系统,后排液晶屏幕,●,●,-
屏幕/系统,后排液晶屏幕尺寸,● 8英寸,● 8英寸,-
屏幕/系统,后排多媒体屏幕数量,● 1个,● 1个,-
屏幕/系统,后排控制多媒体,●,●,-
屏幕/系统,车机系统内存(GB),● 16,● 16,-
屏幕/系统,车机系统存储(GB),● 256,● 256,-
智能化配置,车联网,●,●,-
智能化配置,4G/5G网络,● 4G,● 4G,-
智能化配置,OTA升级,●,●,-
智能化配置,手机APP远程功能,● 车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,● 车门控制 车窗控制 车辆启动 充电管理 车灯控制 空调控制 座椅加热 座椅通风 车况查询/诊断 车辆定位/寻车 车主服务（查找充电桩、加油站、停车场等） 预约保养/维修,-
方向盘/内后视镜,方向盘材质,● 真皮,● 真皮,-
方向盘/内后视镜,方向盘位置调节,● 电动上下+前后调节,● 电动上下+前后调节,-
方向盘/内后视镜,换挡形式,● 触摸屏换挡,● 触摸屏换挡,-
方向盘/内后视镜,多功能方向盘,●,●,-
方向盘/内后视镜,方向盘加热,●,●,-
方向盘/内后视镜,方向盘记忆,●,●,-
方向盘/内后视镜,行车电脑显示屏幕,-,-,-
方向盘/内后视镜,全液晶仪表盘,-,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-
方向盘/内后视镜,内后视镜功能,● 自动防眩目,● 自动防眩目,-
车内充电,多媒体/充电接口,● Type-C,● Type-C,-
车内充电,USB/Type-C接口数量,● 前排1个/后排2个,● 前排1个/后排2个,-
车内充电,手机无线充电功能,● 前排,● 前排,-
车内充电,手机无线充电功率,● 15W,● 15W,-
车内充电,行李厢12V电源接口,●,●,-
座椅配置,座椅材质,● 仿皮,● 仿皮,-
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),-
座椅配置,副座椅调节方式,● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),-
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,-
座椅配置,前排座椅功能,● 加热 通风,● 加热 通风,-
座椅配置,电动座椅记忆功能,● 驾驶位,● 驾驶位,-
座椅配置,副驾驶位后排可调节按钮,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,-
座椅配置,第二排座椅电动调节,●,●,-
座椅配置,第二排座椅功能,● 加热,● 加热,-
