セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0T 2WD 旗韵Pro版,2026年モデル 2.0T 2WD 旗享Pro版,2026年モデル 2.0T 2WD 玄影版,2026年モデル 2.0T 4WD 旗享Pro版,2026年モデル 2.0T 4WD 玄影版,2026年モデル 2.0T 4WD 200万台記念版,2025年モデル 2.0T 2WD 旗悦Pro版,2025年モデル 2.0T 2WD 60万台記念版,2025年モデル 2.0T 2WD 旗享Pro版,2025年モデル 2.0T 2WD 玄影版,2025年モデル 2.0T 4WD 旗享Pro版,2025年モデル 2.0T 4WD 玄影版,2025年モデル 2.0T 2WD 旗领Pro版,2025年モデル 2.0T 4WD 旗领Pro版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"18.68万元（日本円 約3,922,800円）","19.98万元（日本円 約4,195,800円）","20.38万元（日本円 約4,279,800円）","21.38万元（日本円 約4,489,800円）","21.68万元（日本円 約4,552,800円）","22.38万元（日本円 約4,699,800円）","18.38万元（日本円 約3,859,800円）","18.68万元（日本円 約3,922,800円）","19.98万元（日本円 約4,195,800円）","20.38万元（日本円 約4,279,800円）","21.38万元（日本円 約4,489,800円）","21.68万元（日本円 約4,552,800円）","22.68万元（日本円 約4,762,800円）","24.98万元（日本円 約5,245,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"14.18万元（日本円 約2,977,800円）","15.48万元（日本円 約3,250,800円）","15.88万元（日本円 約3,334,800円）","16.88万元（日本円 約3,544,800円）","17.18万元（日本円 約3,607,800円）","17.88万元（日本円 約3,754,800円）","13.88万元（日本円 約2,914,800円）","14.18万元（日本円 約2,977,800円）","15.48万元（日本円 約3,250,800円）","15.88万元（日本円 約3,334,800円）","16.88万元（日本円 約3,544,800円）","17.18万元（日本円 約3,607,800円）","18.18万元（日本円 約3,817,800円）","20.48万元（日本円 約4,300,800円）"
基本参数,基本仕様,厂商,メーカー,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗,一汽紅旗
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2024.11,2025.04,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11
基本参数,基本仕様,最大功率(kW),最大出力(kW),185,185,185,185,185,185,185,185,185,185,185,185,185,185
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),380,380,380,380,380,380,380,380,380,380,380,380,380,380
基本参数,基本仕様,变速箱,トランスミッション,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
