セクション,セクション_ja,項目,項目_ja,2026年モデル TFSI 150kW ラグジュアリー,2026年モデル TFSI 150kW プレミアムquattro,2026年モデル TFSI 150kW インテリジェント,2026年モデル TFSI 150kW インテリジェントquattro,2026年モデル TFSI quattro 200kW フラッグシップ,2026年モデル TFSI quattro 200kW フラッグシップ インテリジェント,2026年モデル TFSI quattro 150kW 初回限定版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"27.99万元（日本円 約5,877,900円）","30.99万元（日本円 約6,507,900円）","31.99万元（日本円 約6,717,900円）","33.99万元（日本円 約7,137,900円）","34.99万元（日本円 約7,347,900円）","39.99万元（日本円 約8,397,900円）","33.49万元（日本円 約7,032,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"25.99万元（日本円 約5,457,900円）","28.19万元（日本円 約5,919,900円）","28.99万元（日本円 約6,087,900円）","30.99万元（日本円 約6,507,900円）","34.59万元（日本円 約7,263,900円）","38.29万元（日本円 約8,040,900円）","29.19万元（日本円 約6,129,900円）"
基本参数,基本仕様,厂商,メーカー,SAICアウディ,SAICアウディ,SAICアウディ,SAICアウディ,SAICアウディ,SAICアウディ,SAICアウディ
基本参数,基本仕様,级别,クラス,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08
基本参数,基本仕様,最大功率(kW),最大出力(kW),150,150,150,150,200,200,150
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),340,340,340,340,400,400,340
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,发动机,エンジン,2.0T 204馬力 L4,2.0T 204馬力 L4,2.0T 204馬力 L4,2.0T 204馬力 L4,2.0T 272馬力 L4,2.0T 272馬力 L4,2.0T 204馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4903×1883×1447mm,4903×1883×1427mm,4903×1883×1447mm,4903×1883×1427mm,4903×1883×1427mm,4903×1883×1427mm,4903×1883×1427mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.8,7.7,7.8,7.7,5.6,5.6,7.7
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),240,238,240,238,250,250,238
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.93,7.11,6.93,7.11,6.46,6.46,7.11
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1810,1875,1810,1875,1970,1970,1875
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2270,2335,2270,2335,2430,2430,2335
车身,車体,长度(mm),全長(mm),4903,4903,4903,4903,4903,4903,4903
车身,車体,宽度(mm),全幅(mm),1883,1883,1883,1883,1883,1883,1883
