セクション,セクション_ja,項目,項目_ja,2026年モデル 聡明版 ピュアインテリジェントエディション,2026年モデル 聡明版 エクセレントエディション,2026年モデル 聡明版 アドバンスドインテリジェントエディション,2026年モデル 聡明版 エクセレントエディション GTXパッケージ付き,2026年モデル 聡明版 アドバンスドインテリジェントエディション GTXパッケージ付き
,nan,厂商指导价(元),メーカー希望小売価格(元),"12.9888万元（日本円 約2,727,648円）","13.8388万元（日本円 約2,906,148円）","14.7888万元（日本円 約3,105,648円）","14.8388万元（日本円 約3,116,148円）","15.5888万元（日本円 約3,273,648円）"
,nan,经销商报价,ディーラー販売価格（元）,"11.99万元（日本円 約2,517,900円）","12.74万元（日本円 約2,675,400円）","13.69万元（日本円 約2,874,900円）","13.74万元（日本円 約2,885,400円）","14.49万元（日本円 約3,042,900円）"
基本参数,基本仕様,厂商,メーカー,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン,上汽フォルクスワーゲン
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.06,2025.06
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),451,451,451,451,451
基本参数,基本仕様,电池快充时间(小时),バッテリー急速充電時間(時間),0.75,0.75,0.75,0.75,0.75
基本参数,基本仕様,电池慢充时间(小时),バッテリー普通充電時間(時間),9.5,9.5,9.5,9.5,9.5
基本参数,基本仕様,电池快充电量范围(%),バッテリー急速充電容量範囲(%),0-80,0-80,0-80,0-80,0-80
基本参数,基本仕様,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),0-100,0-100,0-100,0-100,0-100
基本参数,基本仕様,最大功率(kW),最大出力(kW),125,125,125,125,125
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),310,310,310,310,310
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック,5ドア5人乗りハッチバック
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),170,170,170,170,170
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4261×1778×1568,4261×1778×1568,4261×1778×1568,4266×1778×1568,4266×1778×1568
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-
基本参数,基本仕様,官方0-50km/h加速(s),公式0-50km/h加速時間(s),3.1,3.1,3.1,3.1,3.1
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),160,160,160,160,160
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.56,1.56,1.56,1.56,1.56
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1845,1845,1845,1845,1845
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2305,2305,2305,2305,2305
车身,車体,长度(mm),全長(mm),4261,4261,4261,4266,4266
车身,車体,宽度(mm),全幅(mm),1778,1778,1778,1778,1778
车身,車体,高度(mm),全高(mm),1568,1568,1568,1568,1568
车身,車体,轴距(mm),ホイールベース(mm),2765,2765,2765,2765,2765
车身,車体,前轮距(mm),前トレッド(mm),1548,1548,1548,1548,1548
车身,車体,后轮距(mm),後トレッド(mm),1525,1525,1525,1525,1525
车身,車体,接近角(°),アプローチアングル(°),16,16,16,16,16
车身,車体,离去角(°),デパーチャーアングル(°),19,19,19,19,19
车身,車体,最小转弯半径(m),最小回転半径(m),4.7,4.7,4.7,4.7,4.7
车身,車体,车身结构,ボディ構造,ハッチバック,ハッチバック,ハッチバック,ハッチバック,ハッチバック
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 5,● 5,● 5,● 5,● 5
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),385-1267,385-1267,385-1267,385-1267,385-1267
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-
电动机,モーター,后电动机品牌,後モーターブランド,フォルクスワーゲン,フォルクスワーゲン,フォルクスワーゲン,フォルクスワーゲン,フォルクスワーゲン
电动机,モーター,后电动机型号,後モーター型式,EEV,EEV,EEV,EFK,EFK
电动机,モーター,电机类型,モーター種類,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター,永久磁石同期モーター
电动机,モーター,电动机总功率(kW),モーター総出力(kW),125,125,125,125,125
电动机,モーター,电动机总马力(Ps),モーター総馬力(Ps),170,170,170,170,170
电动机,モーター,电动机总扭矩(N·m),モーター総トルク(N·m),310,310,310,310,310
电动机,モーター,后电动机最大功率(kW),後モーター最大出力(kW),125,125,125,125,125
电动机,モーター,后电动机最大扭矩(N·m),後モーター最大トルク(N·m),310,310,310,310,310
电动机,モーター,驱动电机数,駆動モーター数,単モーター,単モーター,単モーター,単モーター,単モーター
电动机,モーター,电机布局,モーター配置,リア配置,リア配置,リア配置,リア配置,リア配置
电动机,モーター,三电系统质保,三電システム保証,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km,● 8年または16万km
电池/充电,バッテリー/充電,电池类型,バッテリー種類,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池,● リン酸鉄リチウム電池
电池/充电,バッテリー/充電,电芯品牌,電池セルブランド,● 時代上汽,● 時代上汽,● 時代上汽,● 時代上汽,● 時代上汽
电池/充电,バッテリー/充電,电池冷却方式,バッテリー冷却方式,液冷式,液冷式,液冷式,液冷式,液冷式
电池/充电,バッテリー/充電,CLTC纯电续航里程(km),CLTC航続距離(km),451,451,451,451,451
电池/充电,バッテリー/充電,电池能量(kWh),バッテリー容量(kWh),53.6,53.6,53.6,53.6,53.6
电池/充电,バッテリー/充電,百公里耗电量(kWh/100km),100kmあたりの電力消費量(kWh/100km),13.4,13.4,13.4,13.4,13.4
电池/充电,バッテリー/充電,快充功能,急速充電機能,対応,対応,対応,対応,対応
电池/充电,バッテリー/充電,快充功率(kW),急速充電出力(kW),100,100,100,100,100
电池/充电,バッテリー/充電,电池快充时间(小时),バッテリー急速充電時間(時間),0.75,0.75,0.75,0.75,0.75
电池/充电,バッテリー/充電,电池慢充时间(小时),バッテリー普通充電時間(時間),9.5,9.5,9.5,9.5,9.5
电池/充电,バッテリー/充電,电池快充电量范围(%),バッテリー急速充電容量範囲(%),0-80,0-80,0-80,0-80,0-80
电池/充电,バッテリー/充電,电池慢充电量范围(%),バッテリー普通充電容量範囲(%),0-100,0-100,0-100,0-100,0-100
电池/充电,バッテリー/充電,慢充接口位置,普通充電ポート位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
电池/充电,バッテリー/充電,快充接口位置,急速充電ポート位置,車両右後方,車両右後方,車両右後方,車両右後方,車両右後方
变速箱,トランスミッション,简称,略称,電動車単速トランスミッション,電動車単速トランスミッション,電動車単速トランスミッション,電動車単速トランスミッション,電動車単速トランスミッション
变速箱,トランスミッション,挡位个数,段数,1,1,1,1,1
变速箱,トランスミッション,变速箱类型,トランスミッション形式,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション,固定ギア比トランスミッション
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● リアエンジン・リアドライブ,● リアエンジン・リアドライブ,● リアエンジン・リアドライブ,● リアエンジン・リアドライブ,● リアエンジン・リアドライブ
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ドラム式,● ドラム式,● ドラム式,● ドラム式,● ドラム式
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 215/55 R18,● 215/55 R18,215/55 R18、215/45 R20（2000元）,● 215/45 R20,● 215/45 R20
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 215/55 R18,● 215/55 R18,215/55 R18、215/45 R20（2000元）,● 215/45 R20,● 215/45 R20
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,-,-,-,-,-
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
被动安全,衝突安全,缺气保用轮胎,パンク応急用タイヤ,-,-,○,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●
