セクション,セクション_ja,項目,項目_ja,2025年モデル 1.6T DCT 卓越版,2025年モデル 1.6T DCT 尚,2025年モデル 1.6T DCT 智,2025年モデル 1.6T DCT 睿,2025年モデル 2.0T DCT 馳,2025年モデル 2.0T DCT 劲,2025年モデル 2.0T AT 御+,2024年モデル 1.6T DCT 卓越版
,nan,厂商指导价(元),メーカー希望小売価格(元),"9.99万元（日本円 約2,097,900円）","11.29万元（日本円 約2,370,900円）","12.29万元（日本円 約2,580,900円）","12.89万元（日本円 約2,706,900円）","12.99万元（日本円 約2,727,900円）","13.79万元（日本円 約2,895,900円）","14.89万元（日本円 約3,126,900円）","9.99万元（日本円 約2,097,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"8.99万元（日本円 約1,887,900円）","9.29万元（日本円 約1,950,900円）","10.29万元（日本円 約2,160,900円）","10.89万元（日本円 約2,286,900円）","10.99万元（日本円 約2,307,900円）","11.79万元（日本円 約2,475,900円）","12.89万元（日本円 約2,706,900円）","8.99万元（日本円 約1,887,900円）"
基本参数,基本仕様,厂商,メーカー,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車,奇瑞自動車
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
基本参数,基本仕様,上市时间,発売時期,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2024.03
基本参数,基本仕様,最大功率(kW),最大出力(kW),145,145,145,145,187,187,187,145
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),290,290,290,290,390,390,390,290
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速AT（オートマチック・マニュアルモード付）,7速湿式デュアルクラッチ
