セクション,項目,哈弗猛龙新能源 2026款 Hi4 105 Pro,哈弗猛龙新能源 2026款 Hi4 150 Pro,哈弗猛龙新能源 2026款 Hi4 150 Ultra,哈弗猛龙新能源 2026款 Hi4 200 Ultra,哈弗猛龙新能源 2026款 Hi4 150 Ultra 领航版,哈弗猛龙新能源 2026款 Hi4 200 Ultra 领航版,哈弗猛龙新能源 2024款 Hi4 102 Air,哈弗猛龙新能源 2024款 Hi4 102 Pro,哈弗猛龙新能源 2024款 Hi4 145 Pro,哈弗猛龙新能源 2024款 Hi4 145 穿越版
,厂商指导价(元),17.38万 计算器,18.38万 计算器,19.28万 计算器,19.98万 计算器,20.18万 计算器,20.88万 计算器,16.58万 计算器,17.38万 计算器,18.38万 计算器,19.28万 计算器
,经销商报价,15.38万起,16.38万起,17.28万起,17.98万起,18.18万起,18.88万起,14.58万起,15.38万起,16.38万起,17.28万起
基本参数,厂商,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车,长城汽车
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.08,2025.08,2025.08,2025.08,2025.08,2025.08,2024.04,2024.04,2024.04,2024.04
基本参数,NEDC纯电续航里程(km),-,-,-,-,-,-,102,102,145,145
基本参数,WLTC纯电续航里程(km),81,115,115,151,115,151,81,81,115,115
基本参数,CLTC纯电续航里程(km),105,150,150,200,150,200,-,-,-,-
基本参数,电池快充时间(小时),-,-,-,-,-,-,0.47,0.47,0.47,0.47
基本参数,电池快充电量范围(%),-,-,-,-,-,-,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),-,-,-,-,-,-,15-100,15-100,15-100,15-100
基本参数,最大功率(kW),268,272,272,330,272,330,278,278,282,282
基本参数,最大扭矩(N·m),750,750,750,750,750,750,750,750,750,750
基本参数,变速箱,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
