セクション,セクション_ja,項目,項目_ja,2026年モデル B4 智逸豪華版,2026年モデル B4 智遠豪華版,2026年モデル B4 智遠スポーツ版,2026年モデル B5 智雅スポーツ版,2025年モデル B4 智逸豪華版,2025年モデル B4 智遠豪華版,2025年モデル B4 智遠スポーツ版,2025年モデル B5 智雅スポーツ版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"30.69万元（日本円 約6,444,900円）","33.98万元（日本円 約7,135,800円）","33.98万元（日本円 約7,135,800円）","38.49万元（日本円 約8,082,900円）","30.69万元（日本円 約6,444,900円）","33.98万元（日本円 約7,135,800円）","33.98万元（日本円 約7,135,800円）","38.49万元（日本円 約8,082,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"18.59万元（日本円 約3,903,900円）","20.99万元（日本円 約4,407,900円）","20.99万元（日本円 約4,407,900円）","25.49万元（日本円 約5,352,900円）","17.29万元（日本円 約3,630,900円）","19.69万元（日本円 約4,134,900円）","20.99万元（日本円 約4,407,900円）","25.50万元（日本円 約5,355,000円）"
基本参数,基本仕様,厂商,メーカー,ボルボ・アジア太平洋,ボルボ・アジア太平洋,ボルボ・アジア太平洋,ボルボ・アジア太平洋,ボルボ・アジア太平洋,ボルボ・アジア太平洋,ボルボ・アジア太平洋,ボルボ・アジア太平洋
基本参数,基本仕様,级别,クラス,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.07,2025.07,2025.07,2025.07,2024.06,2024.06,2024.06,2024.06
基本参数,基本仕様,最大功率(kW),最大出力(kW),145,145,145,184,145,145,145,184
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),300,300,300,360,300,300,300,360
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速AT（マニュアルモード付）,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速AT（マニュアルモード付）
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,2.0T 197馬力 L4,2.0T 197馬力 L4,2.0T 197馬力 L4,2.0T 250馬力 L4,2.0T 197馬力 L4,2.0T 197馬力 L4,2.0T 197馬力 L4,2.0T 250馬力 L4
