セクション,セクション_ja,項目,項目_ja,2026年モデル 3000万台記念 330TSI 炫目,2026年モデル 3000万台記念 ワゴン 330TSI 猎目,2026年モデル 3000万台記念 380TSI 夺目,2026年モデル 3000万台記念 ワゴン 380TSI 猎心,2025年モデル 改良版 330TSI 炫目 众享款,2025年モデル 改良版 ワゴン 330TSI 猎目 众享款,2025年モデル 改良版 380TSI 夺目 众享款,2025年モデル 改良版 380TSI 耀目 众享款,2025年モデル 改良版 ワゴン 380TSI 猎心 众享款,2025年モデル 改良版 ワゴン 380TSI 猎风 众享款
,nan,厂商指导价(元),メーカー希望小売価格(元),"22.49万元（日本円 約4,722,900円）","23.19万元（日本円 約4,869,900円）","24.29万元（日本円 約5,100,900円）","24.99万元（日本円 約5,247,900円）","22.49万元（日本円 約4,722,900円）","23.19万元（日本円 約4,869,900円）","24.29万元（日本円 約5,100,900円）","26.79万元（日本円 約5,625,900円）","24.99万元（日本円 約5,247,900円）","27.49万元（日本円 約5,772,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"16.89万元（日本円 約3,546,900円）","17.59万元（日本円 約3,693,900円）","18.69万元（日本円 約3,924,900円）","19.39万元（日本円 約4,071,900円）","16.89万元（日本円 約3,546,900円）","17.59万元（日本円 約3,693,900円）","18.69万元（日本円 約3,924,900円）","21.19万元（日本円 約4,449,900円）","19.39万元（日本円 約4,071,900円）","21.89万元（日本円 約4,596,900円）"
基本参数,基本仕様,厂商,メーカー,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン
基本参数,基本仕様,级别,クラス,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.09,2025.06,2025.06,2025.06,2025.06,2025.06,2025.06
基本参数,基本仕様,最大功率(kW),最大出力(kW),137,137,162,162,137,137,162,162,162,162
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),320,320,350,350,320,320,350,350,350,350
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
