セクション,セクション_ja,項目,項目_ja,2026年モデル DM i 133KM 進取型,2026年モデル DM i 133KM 超越型,2026年モデル DM i 133KM 卓越型,2025年モデル 第二世代 インテリジェントドライブ版 DM i 75KM 先進型,2025年モデル 第二世代 インテリジェントドライブ版 DM i 75KM 超越型,2025年モデル 第二世代 インテリジェントドライブ版 DM i 115KM 超越型,2025年モデル 第二世代 インテリジェントドライブ版 DM i 115KM 卓越型
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"10.28万元（日本円 約2,158,800円）","11.28万元（日本円 約2,368,800円）","12.58万元（日本円 約2,641,800円）","10.28万元（日本円 約2,158,800円）","11.28万元（日本円 約2,368,800円）","12.28万元（日本円 約2,578,800円）","13.28万元（日本円 約2,788,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"9.88万元（日本円 約2,074,800円）","10.88万元（日本円 約2,284,800円）","12.18万元（日本円 約2,557,800円）","9.58万元（日本円 約2,011,800円）","10.58万元（日本円 約2,221,800円）","10.78万元（日本円 約2,263,800円）","12.58万元（日本円 約2,641,800円）"
基本参数,基本仕様,厂商,メーカー,BYD,BYD,BYD,BYD,BYD,BYD,BYD
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド,プラグインハイブリッド
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.10,2025.10,2025.10,2025.02,2025.02,2025.02,2025.02
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),133,133,133,75,75,115,115
基本参数,基本仕様,最大功率(kW),最大出力(kW),-,-,-,-,-,-,-
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),-,-,-,-,-,-,-
基本参数,基本仕様,变速箱,トランスミッション,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速,E-CVT無段変速
