セクション,項目,普拉多 2025款 2.4T 穿越BX版 5座,普拉多 2025款 2.4T 全能TX版 5座,普拉多 2025款 2.4T 悍野WX版 5座,普拉多 2025款 2.4T 悍野WX版 6座,普拉多 2025款 2.4T 旗舰VX版 5座
,厂商指导价(元),44.98万 计算器,48.98万 计算器,54.98万 计算器,54.98万 计算器,55.98万 计算器
,经销商报价,40.48万起 询底价,44.48万起 询底价,50.48万起 询底价,50.48万起 询底价,54.48万起 询底价
基本参数,厂商,一汽丰田,一汽丰田,一汽丰田,一汽丰田,一汽丰田
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,油电混合,油电混合,油电混合,油电混合,油电混合
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.02,2025.02,2025.02,2025.02,2025.02
基本参数,最大功率(kW),243,243,243,243,243
基本参数,最大扭矩(N·m),630,630,630,630,630
基本参数,变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门6座SUV,5门5座SUV
基本参数,发动机,2.4T 282马力 L4,2.4T 282马力 L4,2.4T 282马力 L4,2.4T 282马力 L4,2.4T 282马力 L4
基本参数,电动机(Ps),54,54,54,54,54
基本参数,长*宽*高(mm),4915*1940*1925,4915*1980*1925,4915*1980*1930,4915*1980*1930,4935*1980*1935
基本参数,官方0-100km/h加速(s),-,-,-,-,-
基本参数,最高车速(km/h),170,170,170,170,170
基本参数,WLTC综合油耗(L/100km),10.11,10.11,10.11,10.11,10.11
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),2415,2445,2505,2520,2530
基本参数,最大满载质量(kg),3050,3050,3050,3050,3050
车身,长度(mm),4915,4915,4915,4915,4935
车身,宽度(mm),1940,1980,1980,1980,1980
车身,高度(mm),1925,1925,1930,1930,1935
车身,轴距(mm),2850,2850,2850,2850,2850
车身,前轮距(mm),1644,1664,1664,1664,1664
车身,后轮距(mm),1648,1668,1668,1668,1668
车身,最小离地间隙(mm),193,193,201,201,201
车身,接近角(°),30,30,31,31,31
车身,离去角(°),21,21,22,22,22
车身,最小转弯半径(m),6,6,6,6,6
车身,最大涉水深度(mm),600,600,600,600,600
车身,车身结构,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 6,● 5
车身,油箱容积(L),68,68,68,68,68
车身,后备厢容积(L),-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-
