セクション,項目,奕跑 2026款 1.4L 趣享自动版,奕跑 2026款 1.4L 天窗版,奕跑 2021款 1.4L 手动趣享版,奕跑 2021款 1.4L CVT趣享版,奕跑 2021款 1.4L CVT天窗款
,厂商指导价(元),7.98万 计算器,8.38万 计算器,6.98万 计算器,7.98万 计算器,8.38万 计算器
,经销商报价,7.98万起,8.38万起,6.18万起,5.68万起,6.08万起
基本参数,厂商,起亚,起亚,起亚,起亚,起亚
基本参数,级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.11,2025.11,2020.10,2021.01,2021.06
基本参数,最大功率(kW),73.6,73.6,73.6,73.6,73.6
基本参数,最大扭矩(N·m),132.4,132.4,132.4,132.4,132.4
基本参数,变速箱,CVT无级变速,CVT无级变速,6挡手动,CVT无级变速,CVT无级变速
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,1.4L 100马力 L4,1.4L 100马力 L4,1.4L 100马力 L4,1.4L 100马力 L4,1.4L 100马力 L4
基本参数,长*宽*高(mm),4100*1735*1533,4100*1735*1533,4100*1735*1533,4100*1735*1533,4100*1735*1533
基本参数,官方0-100km/h加速(s),-,-,-,-,-
基本参数,最高车速(km/h),176,176,170,176,176
基本参数,NEDC综合油耗(L/100km),-,-,5.8,5.7,5.7
基本参数,WLTC综合油耗(L/100km),6.13,6.13,5.98,6.13,6.13
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1104,1104,1060,1104,1104
基本参数,最大满载质量(kg),1600,1600,1550,1600,1600
车身,长度(mm),4100,4100,4100,4100,4100
车身,宽度(mm),1735,1735,1735,1735,1735
车身,高度(mm),1533,1533,1533,1533,1533
车身,轴距(mm),2570,2570,2570,2570,2570
车身,前轮距(mm),1516,1516,1516,1516,1516
车身,后轮距(mm),1526,1526,1526,1526,1526
车身,最小离地间隙(mm),185,185,-,-,-
车身,接近角(°),18,18,18,18,18
车身,离去角(°),30,30,30,30,30
车身,最小转弯半径(m),5.45,5.45,-,-,-
车身,车身结构,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),43,43,43,43,43
车身,后备厢容积(L),-,-,-,-,-
车身,风阻系数(Cd),-,-,-,-,-
发动机,发动机型号,G4LC,G4LC,G4LC,G4LC,G4LC
发动机,排量(mL),1368,1368,1368,1368,1368
发动机,排量(L),1.4,1.4,1.4,1.4,1.4
发动机,进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
发动机,发动机布局,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),100,100,100,100,100
发动机,最大功率(kW),73.6,73.6,73.6,73.6,73.6
发动机,最大功率转速(rpm),6500,6500,6300,6500,6500
发动机,最大扭矩(N·m),132.4,132.4,132.4,132.4,132.4
发动机,最大扭矩转速(rpm),4000,4000,4000,4000,4000
发动机,最大净功率(kW),73.6,73.6,73.6,73.6,73.6
发动机,能源类型,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI
变速箱,简称,CVT无级变速,CVT无级变速,6挡手动,CVT无级变速,CVT无级变速
变速箱,挡位个数,无级变速,无级变速,6,无级变速,无级变速
变速箱,变速箱类型,无级变速箱(CVT),无级变速箱(CVT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架,● 扭力梁式非独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 盘式,● 盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 手刹,● 手刹,● 手刹,● 手刹,● 手刹
车轮制动,前轮胎规格,● 195/60 R16,● 195/60 R16,● 195/60 R16,● 195/60 R16,● 195/60 R16
车轮制动,后轮胎规格,● 195/60 R16,● 195/60 R16,● 195/60 R16,● 195/60 R16,● 195/60 R16
车轮制动,备胎规格,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸,● 非全尺寸
被动安全,主/副驾驶座安全气囊,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
被动安全,前/后排侧气囊,-,前 ● / 后-,-,-,前 ● / 后-
被动安全,前/后排头部气囊(气帘),-,-,-,-,-
主动安全,ABS防抱死,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,○,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,○,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,○,●,●
主动安全,胎压监测功能,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警,● 胎压报警
主动安全,安全带未系提醒,● 前排,● 前排,● 主驾驶位,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●
主动安全,车道偏离预警系统,-,-,-,-,-
主动安全,主动刹车/主动安全系统,-,-,-,-,-
主动安全,疲劳驾驶提示,-,-,-,-,-
驾驶操控,驾驶模式切换,-,-,-,-,-
驾驶操控,自动驻车,-,-,-,-,-
驾驶操控,上坡辅助,●,●,○,●,●
驾驶操控,陡坡缓降,●,●,-,●,●
驾驶硬件,前/后驻车雷达,前- / 后 ●,前 ● / 后 ●,前- / 后 ●,前- / 后 ●,前 ● / 后 ●
驾驶硬件,驾驶辅助影像,● 倒车影像,● 倒车影像,○ 倒车影像,● 倒车影像,● 倒车影像
驾驶硬件,摄像头数量,● 1个,● 1个,○ 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 3个,● 5个,● 3个,● 3个,● 5个
驾驶功能,巡航系统,-,● 定速巡航,-,-,● 定速巡航
驾驶功能,卫星导航系统,-,-,-,-,-
驾驶功能,导航路况信息显示,-,-,-,-,-
驾驶功能,并线辅助,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,车顶行李架,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,●
外观/防盗,车内中控锁,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,●,●,-,●,●
外观/防盗,无钥匙进入功能,● 驾驶位,● 驾驶位,-,● 驾驶位,● 驾驶位
车外灯光,近光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素
车外灯光,远光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素
车外灯光,LED日间行车灯,●,●,-,●,●
车外灯光,自适应远近光,-,-,-,-,-
车外灯光,自动头灯,-,-,-,-,-
车外灯光,车前雾灯,-,-,● 卤素,-,-
车外灯光,大灯高度可调,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●
天窗/玻璃,天窗类型,-,● 电动天窗,○ 电动天窗,-,● 电动天窗
天窗/玻璃,前/后电动车窗,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
天窗/玻璃,车窗一键升降功能,-,-,-,-,-
天窗/玻璃,车窗防夹手功能,-,-,-,-,-
天窗/玻璃,车内化妆镜,● 副驾驶,"● 副驾驶
● 主驾驶+照明灯",● 副驾驶,● 副驾驶,"● 副驾驶
● 主驾驶+照明灯"
天窗/玻璃,后雨刷,●,●,●,●,●
天窗/玻璃,感应雨刷功能,-,-,-,-,-
外后视镜,外后视镜功能,● 电动调节,"● 电动调节
● 后视镜加热",● 电动调节,● 电动调节,"● 电动调节
● 后视镜加热"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,○ 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 8英寸,● 8英寸,○ 8英寸,● 8英寸,● 8英寸
屏幕/系统,蓝牙/车载电话,●,●,○,●,●
屏幕/系统,手机互联/映射,"● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife","○ 支持CarPlay
○ 支持CarLife","● 支持CarPlay
● 支持CarLife","● 支持CarPlay
● 支持CarLife"
屏幕/系统,语音识别控制系统,-,-,-,-,-
智能化配置,车联网,-,-,-,-,-
智能化配置,OTA升级,-,-,-,-,-
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 塑料,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,○,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 单色,● 单色,● 单色,● 单色,● 单色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,○,○,-,-,-
车内充电,多媒体/充电接口,● USB,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个
车内充电,手机无线充电功能,-,-,-,-,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 织物,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,-,-,-,-
座椅配置,前排座椅功能,-,-,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-,前 ● / 后-
座椅配置,后排杯架,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 2喇叭,● 6喇叭,● 6喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 手动空调,● 自动空调,● 手动空调,● 手动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-
空调/冰箱,后座出风口,-,-,-,-,-
空调/冰箱,温度分区控制,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,-,-,-
颜色,外观颜色,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–
选装包,选装包,-,-,○ 选配 (暂无价格),-,-
