セクション,セクション_ja,項目,項目_ja,2025年モデル 途勝L 1.5T 先進版,2025年モデル 途勝L 1.5T エリート版,2025年モデル 途勝L 1.5T プレミアム版,2025年モデル 途勝L 1.5T フラッグシップ版,2025年モデル 途勝L 1.5T エリート版 N Line,2025年モデル 途勝L 1.5T プレミアム版 N Line
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"15.98万元（日本円 約3,355,800円）","16.98万元（日本円 約3,565,800円）","18.18万元（日本円 約3,817,800円）","20.78万元（日本円 約4,363,800円）","17.87万元（日本円 約3,752,700円）","18.68万元（日本円 約3,922,800円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"10.08万元（日本円 約2,116,800円）","10.88万元（日本円 約2,284,800円）","12.08万元（日本円 約2,536,800円）","14.68万元（日本円 約3,082,800円）","11.77万元（日本円 約2,471,700円）","12.58万元（日本円 約2,641,800円）"
基本参数,基本仕様,厂商,メーカー,北京現代,北京現代,北京現代,北京現代,北京現代,北京現代
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11
基本参数,基本仕様,最大功率(kW),最大出力(kW),147,147,147,147,147,147
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),253,253,253,253,253,253
基本参数,基本仕様,变速箱,トランスミッション,8速AT（手自一体）,8速AT（手自一体）,8速AT（手自一体）,8速AT（手自一体）,8速AT（手自一体）,8速AT（手自一体）
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 200馬力 L4,1.5T 200馬力 L4,1.5T 200馬力 L4,1.5T 200馬力 L4,1.5T 200馬力 L4,1.5T 200馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4670×1865×1690（mm）,4670×1865×1690（mm）,4670×1865×1690（mm）,4670×1865×1690（mm）,4670×1865×1690（mm）,4670×1865×1690（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),205,205,205,205,205,205
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.9,7,7,7.09,7.09,7.09
基本参数,基本仕様,整车质保,車両保証,"● 5年または15万km
○ 3年または15万km
○ 7年または7万km","● 5年または15万km
○ 3年または15万km
○ 7年または7万km","● 5年または15万km
○ 3年または15万km
○ 7年または7万km","● 5年または15万km
○ 3年または15万km
○ 7年または7万km","● 5年または15万km
○ 3年または15万km
○ 7年または7万km","● 5年または15万km
○ 3年または15万km
○ 7年または7万km"
基本参数,基本仕様,整备质量(kg),車両重量(kg),1497,1557,1557,1585,1585,1585
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2010,2010,2010,2010,2010,2010
车身,車体,长度(mm),全長(mm),4670,4670,4670,4670,4670,4670
车身,車体,宽度(mm),全幅(mm),1865,1865,1865,1865,1865,1865
车身,車体,高度(mm),全高(mm),1690,1690,1690,1690,1690,1690
车身,車体,轴距(mm),ホイールベース(mm),2755,2755,2755,2755,2755,2755
车身,車体,前轮距(mm),前トレッド(mm),1620,1615,1615,1615,1615,1615
车身,車体,后轮距(mm),後トレッド(mm),1627,1622,1622,1622,1622,1622
车身,車体,满载最小离地间隙(mm),満載時最小地上高(mm),153,153,153,153,153,153
车身,車体,接近角(°),アプローチアングル(°),18,18,18,18,18,18
车身,車体,离去角(°),デパーチャーアングル(°),25,25,25,25,25,25
车身,車体,车身结构,ボディ構造,SUV,SUV,SUV,SUV,SUV,SUV
车身,車体,车门开启方式,ドア開閉方式,開きドア,開きドア,開きドア,開きドア,開きドア,開きドア
车身,車体,车门数(个),ドア数(枚),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）,● 5（ドア数）
车身,車体,油箱容积(L),燃料タンク容量(L),54,54,54,54,54,54
车身,車体,后备厢容积(L),トランク容量(L),583-1904,583-1904,583-1904,583-1904,583-1904,583-1904
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,G4FS（エンジン型式）,G4FS（エンジン型式）,G4FS（エンジン型式）,G4FS（エンジン型式）,G4FS（エンジン型式）,G4FS（エンジン型式）
发动机,エンジン,排量(mL),排気量(mL),1497,1497,1497,1497,1497,1497
发动机,エンジン,排量(L),排気量(L),1.5,1.5,1.5,1.5,1.5,1.5
发动机,エンジン,进气形式,過給形式,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き,ターボチャージャー付き
发动机,エンジン,发动机布局,エンジン配置,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン,横置きエンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）,DOHC（ダブルカムシャフト）
发动机,エンジン,最大马力(Ps),最高出力(Ps),200,200,200,200,200,200
发动机,エンジン,最大功率(kW),最大出力(kW),147,147,147,147,147,147
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),6000,6000,6000,6000,6000,6000
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),253,253,253,253,253,253
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),2200-4000,2200-4000,2200-4000,2200-4000,2200-4000,2200-4000
发动机,エンジン,最大净功率(kW),最大出力(kW),147,147,147,147,147,147
发动机,エンジン,发动机特有技术,エンジン独自技術,CVVD（連続可変バルブ開閉機構）,CVVD（連続可変バルブ開閉機構）,CVVD（連続可変バルブ開閉機構）,CVVD（連続可変バルブ開閉機構）,CVVD（連続可変バルブ開閉機構）,CVVD（連続可変バルブ開閉機構）
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,92オクタンガソリン,92オクタンガソリン,92オクタンガソリン,92オクタンガソリン,92オクタンガソリン,92オクタンガソリン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製,アルミ合金製
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
变速箱,トランスミッション,简称,略称,8速AT（手自一体）,8速AT（手自一体）,8速AT（手自一体）,8速AT（手自一体）,8速AT（手自一体）,8速AT（手自一体）
变速箱,トランスミッション,挡位个数,段数,8,8,8,8,8,8
变速箱,トランスミッション,变速箱类型,トランスミッション形式,手自一体変速機（AT）,手自一体変速機（AT）,手自一体変速機（AT）,手自一体変速機（AT）,手自一体変速機（AT）,手自一体変速機（AT）
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,"● 前置前輪駆動
○ 前置四輪駆動","● 前置前輪駆動
○ 前置四輪駆動",● 前置前輪駆動,"● 前置前輪駆動
○ 前置四輪駆動"
底盘转向,シャシー・ステアリング,四驱形式,4WD方式,-,-,○ 走行状況に応じた四輪駆動（オンデマンド4WD）,○ 走行状況に応じた四輪駆動（オンデマンド4WD）,-,○ 走行状況に応じた四輪駆動（オンデマンド4WD）
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション,● マクファーソン式独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション,● マルチリンク式独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ,● ベンチレーテッドディスクブレーキ
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 235/65 R17タイヤ,● 235/60 R18タイヤ,"● 235/60 R18タイヤ
○ 235/55 R19タイヤ",● 235/55 R19タイヤ,● 235/55 R19タイヤ,● 235/55 R19タイヤ
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 235/65 R17タイヤ,● 235/60 R18タイヤ,"● 235/60 R18タイヤ
○ 235/55 R19タイヤ",● 235/55 R19タイヤ,● 235/55 R19タイヤ,● 235/55 R19タイヤ
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）,● フルサイズではない（スペアタイヤ）
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）,● トランク内収納（スペアタイヤ）
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,運転席 ● / 助手席 ●（エアバッグ）,運転席 ● / 助手席 ●（エアバッグ）,運転席 ● / 助手席 ●（エアバッグ）,運転席 ● / 助手席 ●（エアバッグ）,運転席 ● / 助手席 ●（エアバッグ）,運転席 ● / 助手席 ●（エアバッグ）
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,前席 ● / 後席（エアバッグ）,前席 ● / 後席（エアバッグ）,前席 ● / 後席（エアバッグ）,前席 ● / 後席（エアバッグ）,前席 ● / 後席（エアバッグ）,前席 ● / 後席（エアバッグ）
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,-,前席 ● / 後席 ●（エアバッグ）,前席 ● / 後席 ●（エアバッグ）,前席 ● / 後席 ●（エアバッグ）,前席 ● / 後席 ●（エアバッグ）,前席 ● / 後席 ●（エアバッグ）
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 運転席,● 前席,● 前席,● 前席,● 前席,● 前席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,●,●,●,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,-,●,-,-
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,-,●,-,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
○ オフロード
○ スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
○ オフロード
○ スノー
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
● カスタム／パーソナライズ","● スポーツ
● エコ
● 標準／快適
○ オフロード
○ スノー
● カスタム／パーソナライズ"
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,-,前席 ● / 後席 ●（エアバッグ）,前席 ● / 後席 ●（エアバッグ）,前席 ● / 後席 ●（エアバッグ）,前席 ● / 後席 ●（エアバッグ）
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● リアビューカメラ,● リアビューカメラ,● リアビューカメラ,"● 360度全方位カメラ
● サイドブラインドスポットカメラ",● リアビューカメラ,● リアビューカメラ
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,● 2個,● 2個,● 5個,● 2個,● 2個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,-,○ 8個,● 8個,● 12個,○ 8個,● 8個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,-,● 1個,● 1個,● 3個,● 1個,● 1個
驾驶功能,運転機能,巡航系统,クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,-,● Hyundai Smart Sense（先進運転支援システム）,● Hyundai Smart Sense（先進運転支援システム）,-,● Hyundai Smart Sense（先進運転支援システム）
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,● レベル2（自動運転支援レベル）,● レベル2（自動運転支援レベル）,-,● レベル2（自動運転支援レベル）
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,●,-,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,-,-,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,-,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,-,-,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）,● バイドゥ（Baidu）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,●,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,●,●,●,●,●
