セクション,セクション_ja,項目,項目_ja,2025年モデル 325i Mスポーツパッケージ,2025年モデル 330i 50周年限定版,2025年モデル 330i Mスポーツ曜夜パッケージ,2025年モデル 325Li Mスポーツパッケージ,2025年モデル 330Li 50周年限定版,2025年モデル 330Li Mスポーツ曜夜パッケージ,2025年モデル 330Li 尊享型 Mスポーツ曜夜パッケージ
,nan,厂商指导价(元),メーカー希望小売価格(元),"31.99万元（日本円 約6,717,900円）","34.49万元（日本円 約7,242,900円）","35.99万元（日本円 約7,557,900円）","33.99万元（日本円 約7,137,900円）","35.99万元（日本円 約7,557,900円）","36.99万元（日本円 約7,767,900円）","39.99万元（日本円 約8,397,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"22.66万元（日本円 約4,758,600円）","26.16万元（日本円 約5,493,600円）","27.66万元（日本円 約5,808,600円）","23.99万元（日本円 約5,037,900円）","28.08万元（日本円 約5,896,800円）","26.99万元（日本円 約5,667,900円）","31.99万元（日本円 約6,717,900円）"
基本参数,基本仕様,厂商,メーカー,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW,華晨BMW
基本参数,基本仕様,级别,クラス,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー,ミドルクラスカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2024.09,2025.04,2024.09,2024.09,2025.04,2024.09,2024.09
基本参数,基本仕様,最大功率(kW),最大出力(kW),135,180,180,135,180,180,180
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),300,400,400,300,400,400,400
基本参数,基本仕様,变速箱,トランスミッション,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）,8速AT（マニュアルモード付）
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,2.0T 184馬力 直4,2.0T 245馬力 直4,2.0T 245馬力 直4,2.0T 184馬力 直4,2.0T 245馬力 直4,2.0T 245馬力 直4,2.0T 245馬力 直4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4728×1827×1452mm,4728×1827×1452mm,4728×1827×1452mm,4838×1827×1454mm,4838×1827×1454mm,4838×1827×1454mm,4838×1827×1454mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),7.6,6.3,6.3,7.9,6.3,6.3,6.3
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),233,250,250,233,250,250,250
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.9,7,7,6.9,7,7,7
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1588,1608,1608,1601,1618,1618,1618
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2050,2060,2060,2055,2070,2070,2070
车身,車体,长度(mm),全長(mm),4728,4728,4728,4838,4838,4838,4838
车身,車体,宽度(mm),全幅(mm),1827,1827,1827,1827,1827,1827,1827
车身,車体,高度(mm),全高(mm),1452,1452,1452,1454,1454,1454,1454
车身,車体,轴距(mm),ホイールベース(mm),2851,2851,2851,2961,2961,2961,2961
车身,車体,前轮距(mm),前トレッド(mm),1583,1583,1583,1583,1583,1583,1583
车身,車体,后轮距(mm),後トレッド(mm),1598,1568,1568,1599,1569,1569,1569
车身,車体,接近角(°),アプローチアングル(°),15,15,15,15,15,15,15
车身,車体,离去角(°),デパーチャーアングル(°),18,18,18,18,18,18,18
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）,● 4（ドア数）
车身,車体,座位数(个),乗車定員(名),● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）,● 5（乗車定員）
车身,車体,油箱容积(L),燃料タンク容量(L),59,59,59,59,59,59,59
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,B48B20C型エンジン,B48B20G型エンジン,B48B20G型エンジン,B48B20C型エンジン,B48B20G型エンジン,B48B20G型エンジン,B48B20G型エンジン
发动机,エンジン,排量(mL),排気量(mL),1998,1998,1998,1998,1998,1998,1998
发动机,エンジン,排量(L),排気量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0
