セクション,セクション_ja,項目,項目_ja,2026年モデル 1.5L IVT ファッショナブル版,2026年モデル 1.5L IVT 快適版,2026年モデル 1.5L IVT ラグジュアリー版,2026年モデル 1.5L IVT ラグジュアリー快適版,2026年モデル 1.5L IVT プレミアム版,2026年モデル 1.4T DCT ラグジュアリー版,2026年モデル 1.4T DCT プレミアム版,2026年モデル 1.4T DCT プレミアムラグジュアリー版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"10.99万元（日本円 約2,307,900円）","11.99万元（日本円 約2,517,900円）","12.99万元（日本円 約2,727,900円）","12.99万元（日本円 約2,727,900円）","13.99万元（日本円 約2,937,900円）","14.19万元（日本円 約2,979,900円）","15.19万元（日本円 約3,189,900円）","15.99万元（日本円 約3,357,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"6.39万元（日本円 約1,341,900円）","7.39万元（日本円 約1,551,900円）","8.39万元（日本円 約1,761,900円）","8.39万元（日本円 約1,761,900円）","9.39万元（日本円 約1,971,900円）","9.59万元（日本円 約2,013,900円）","10.59万元（日本円 約2,223,900円）","11.39万元（日本円 約2,391,900円）"
基本参数,基本仕様,厂商,メーカー,アジア,アジア,アジア,アジア,アジア,アジア,アジア,アジア
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6,国6,国6,国6,国6,国6,国6,国6
基本参数,基本仕様,上市时间,発売時期,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07
基本参数,基本仕様,最大功率(kW),最大出力(kW),84.4,84.4,84.4,84.4,84.4,103,103,103
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),143.8,143.8,143.8,143.8,143.8,242,242,242
基本参数,基本仕様,变速箱,トランスミッション,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,CVT無段変速,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5L 115馬力 L4,1.5L 115馬力 L4,1.5L 115馬力 L4,1.5L 115馬力 L4,1.5L 115馬力 L4,1.4T 140馬力 L4,1.4T 140馬力 L4,1.4T 140馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4385×1800×1650,4385×1800×1650,4385×1800×1650,4385×1800×1650,4385×1800×1650,4385×1800×1650,4385×1800×1650,4385×1800×1650
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),172,172,172,172,172,190,190,190
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.05,6.05,6.05,6.05,6.05,6.26,6.26,6.26
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km,● 3年または10万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1255,1255,1255,1255,1255,1285,1285,1285
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1670,1670,1670,1670,1670,1700,1700,1700
车身,車体,长度(mm),全長(mm),4385,4385,4385,4385,4385,4385,4385,4385
车身,車体,宽度(mm),全幅(mm),1800,1800,1800,1800,1800,1800,1800,1800
