セクション,項目,领克900 2025款 1.5T Halo,领克900 2025款 1.5T Ultra,领克900 2025款 2.0T Ultra,领克900 2025款 2.0T 探索版
,厂商指导价(元),30.99万 计算器,33.69万 计算器,36.69万 计算器,41.69万 计算器
,经销商报价,28.99万起 询底价,31.69万起 询底价,34.69万起 询底价,39.69万起 询底价
基本参数,厂商,领克,领克,领克,领克
基本参数,级别,大型SUV,大型SUV,大型SUV,大型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.04,2025.04,2025.04,2025.04
基本参数,WLTC纯电续航里程(km),185,185,220,210
基本参数,CLTC纯电续航里程(km),220,220,280,268
基本参数,电池快充时间(小时),0.43,0.43,0.28,0.28
基本参数,电池快充电量范围(%),20-80,20-80,20-80,20-80
基本参数,最大功率(kW),530,530,540,650
基本参数,最大扭矩(N·m),1000,1000,1038,1248
基本参数,变速箱,3挡DHT,3挡DHT,3挡DHT,3挡DHT
基本参数,车身结构,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV
基本参数,发动机,1.5T 190马力 L4,1.5T 190马力 L4,2.0T 254马力 L4,2.0T 254马力 L4
基本参数,电动机(Ps),530,530,480,630
基本参数,长*宽*高(mm),5240*1999*1800,5240*1999*1810,5240*1999*1810,5240*1999*1810
基本参数,官方0-100km/h加速(s),4.8,4.8,4.6,4.3
基本参数,最高车速(km/h),210,210,240,240
基本参数,WLTC综合油耗(L/100km),0.69,0.69,0.65,0.65
基本参数,最低荷电状态油耗(L/100km)WLTC,6.95,6.95,7.29,7.29
基本参数,油电综合燃料消耗量(L/100km),3.23,3.23,3.31,-
基本参数,整车质保,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里,● 五年或10万公里
基本参数,整备质量(kg),2660,2760,2810,2820
基本参数,最大满载质量(kg),3195,3295,3345,-
基本参数,准拖挂车总质量(kg),-,-,2000,2000
车身,长度(mm),5240,5240,5240,5240
车身,宽度(mm),1999,1999,1999,1999
车身,高度(mm),1800,1810,1810,1810
车身,轴距(mm),3160,3160,3160,3160
车身,前轮距(mm),1722,1722,1722,1722
车身,后轮距(mm),1724,1724,1724,1724
车身,最小离地间隙(mm),194,194,194,194
车身,接近角(°),20,20,20,20
车身,离去角(°),20,20,20,20
车身,最小转弯半径(m),6.15,6.15,6.15,4.98
车身,车身结构,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 6,● 6,● 6,● 6
车身,油箱容积(L),60,60,60,65
车身,后备厢容积(L),300-1070,300-1070,300-1070,281-1050
车身,风阻系数(Cd),-,-,-,-
发动机,发动机型号,JLM-4G15TD,JLM-4G15TD,JLH-4G20TDC,JLH-4G20TDC
发动机,排量(mL),1499,1499,1969,1969
发动机,排量(L),1.5,1.5,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L
发动机,气缸数(个),4,4,4,4
发动机,每缸气门数(个),4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),190,190,254,254
发动机,最大功率(kW),140,140,187,187
发动机,最大功率转速(rpm),5500,5500,5500,5500
发动机,最大扭矩(N·m),300,300,350,350
发动机,最大扭矩转速(rpm),2000-3000,2000-3000,1800-4800,1800-4800
发动机,最大净功率(kW),140,140,187,187
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),390,390,353,463
电动机,电动机总马力(Ps),530,530,480,630
电动机,电动机总扭矩(N·m),700,700,688,898
电动机,前电动机最大功率(kW),160,160,123,123
电动机,前电动机最大扭矩(N·m),350,350,338,338
电动机,后电动机最大功率(kW),230,230,230,340
电动机,后电动机最大扭矩(N·m),350,350,350,560
电动机,系统综合功率(kW),530,530,540,650
电动机,系统综合功率(Ps),721,721,734,884
电动机,系统综合扭矩(N·m),1000,1000,1038,1248
电动机,驱动电机数,双电机,双电机,双电机,三电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
电池/充电,电芯品牌,● 中创新航,● 中创新航,● 宁德时代(江苏时代),● 宁德时代(江苏时代)
电池/充电,电池特有技术,-,-,骁遥电池,骁遥电池
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),185,185,220,210
电池/充电,CLTC纯电续航里程(km),220,220,280,268
电池/充电,WLTC综合续航(km),1045,1045,1040,1100
电池/充电,CLTC综合续航(km),1355,1355,1350,1443
电池/充电,电池能量(kWh),44.85,44.85,52.38,52.38
电池/充电,百公里耗电量(kWh/100km),21.9,21.9,22.9,-
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.43,0.43,0.28,0.28
电池/充电,电池快充电量范围(%),20-80,20-80,20-80,20-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),6.6,6.6,6.6,6.6
变速箱,简称,3挡DHT,3挡DHT,3挡DHT,3挡DHT
变速箱,挡位个数,3,3,3,3
变速箱,变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
底盘转向,驱动方式,● 前置四驱,● 前置四驱,● 前置四驱,● 前置四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 255/50 R20,● 275/45 R21,● 275/45 R21,● 275/45 R21
车轮制动,后轮胎规格,● 255/50 R20,● 275/45 R21,● 275/45 R21,● 275/45 R21
