セクション,セクション_ja,項目,項目_ja,2025年モデル 改良版 GLC 260 L 4MATIC スポーツタイプ,2025年モデル 改良版 GLC 260 L 4MATIC ラグジュアリータイプ,2025年モデル 改良版 GLC 300 L 4MATIC スポーツタイプ 5人乗り,2025年モデル 改良版 GLC 300 L 4MATIC スポーツタイプ 7人乗り,2025年モデル 改良版 GLC 300 L 4MATIC ラグジュアリータイプ 5人乗り,2025年モデル 改良版 GLC 300 L 4MATIC ラグジュアリータイプ 7人乗り
,nan,厂商指导价(元),メーカー希望小売価格(元),"42.78万元（日本円 約8,983,800円）","45.53万元（日本円 約9,561,300円）","47.93万元（日本円 約10,065,300円）","48.53万元（日本円 約10,191,300円）","52.53万元（日本円 約11,031,300円）","53.13万元（日本円 約11,157,300円）"
,nan,经销商报价,ディーラー販売価格（元）,"31.78万元（日本円 約6,673,800円）","34.53万元（日本円 約7,251,300円）","36.93万元（日本円 約7,755,300円）","37.53万元（日本円 約7,881,300円）","41.53万元（日本円 約8,721,300円）","42.13万元（日本円 約8,847,300円）"
基本参数,基本仕様,厂商,メーカー,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ
基本参数,基本仕様,级别,クラス,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV,ミッドサイズSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03
基本参数,基本仕様,最大功率(kW),最大出力(kW),150,150,190,190,190,190
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),320,320,400,400,400,400
基本参数,基本仕様,变速箱,トランスミッション,9速AT（オートマチック・マニュアルモード付）,9速AT（オートマチック・マニュアルモード付）,9速AT（オートマチック・マニュアルモード付）,9速AT（オートマチック・マニュアルモード付）,9速AT（オートマチック・マニュアルモード付）,9速AT（オートマチック・マニュアルモード付）
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV
基本参数,基本仕様,发动机,エンジン,2.0T 204馬力 L4（直列4気筒）,2.0T 204馬力 L4（直列4気筒）,2.0T 258馬力 L4（直列4気筒）,2.0T 258馬力 L4（直列4気筒）,2.0T 258馬力 L4（直列4気筒）,2.0T 258馬力 L4（直列4気筒）
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),全長4826×全幅1890×全高1714mm,全長4826×全幅1890×全高1714mm,全長4826×全幅1890×全高1714mm,全長4826×全幅1890×全高1714mm,全長4826×全幅1890×全高1714mm,全長4826×全幅1890×全高1714mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8.2,8.2,6.5,6.8,6.5,6.8
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),212,212,223,223,223,223
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),7.2,7.2,7.4,7.5,7.4,7.5
