セクション,項目,逸动 2026款 第四代 1.5T 500Bar 劲享型,逸动 2026款 第四代 1.5T 500Bar 悦享型,逸动 2026款 第四代 1.5T 500Bar 智享型,逸动 2025款 PLUS 1.5L 手动豪华版,逸动 2025款 PLUS 1.4T 双离合高能版,逸动 2025款 蓝鲸 1.5T 高能版,逸动 2025款 蓝鲸 1.5T 500Bar尊贵型,逸动 2025款 蓝鲸 1.5T 500Bar旗舰型,逸动 2024款 PLUS 蓝鲸NE 1.4T GDI DCT高能版,逸动 2024款 1.5T GDI自动 畅享版,逸动 2024款 1.5T GDI自动 尊贵型,逸动 2024款 1.5T GDI自动 旗舰型
,厂商指导价(元),8.79万 计算器,9.39万 计算器,9.99万 计算器,7.29万 计算器,8.69万 计算器,8.39万 计算器,8.79万 计算器,9.69万 计算器,9.39万 计算器,8.39万 计算器,8.79万 计算器,9.69万 计算器
,经销商报价,7.29万起,7.89万起,8.49万起,3.99万起,6.39万起,6.39万起,6.79万起,7.69万起,6.39万起,5.39万起,5.79万起,7.89万起
基本参数,厂商,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车,长安汽车
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.09,2025.09,2025.09,2025.04,2025.04,2025.04,2025.04,2025.04,2024.05,2024.03,2024.03,2024.03
基本参数,最大功率(kW),141,141,141,81,118,125,141,141,118,125,125,125
基本参数,最大扭矩(N·m),310,310,310,152,260,260,310,310,260,260,260,260
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,5挡手动,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,1.5T 192马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.5L 110马力 L4,1.4T 160马力 L4,1.5T 170马力 L4,1.5T 192马力 L4,1.5T 192马力 L4,1.4T 160马力 L4,1.5T 170马力 L4,1.5T 170马力 L4,1.5T 170马力 L4
基本参数,长*宽*高(mm),4785*1840*1440,4785*1840*1440,4785*1840*1450,4730*1820*1505,4730*1820*1505,4770*1840*1440,4770*1840*1440,4770*1840*1440,4730*1820*1505,4770*1840*1440,4770*1840*1440,4770*1840*1440
基本参数,官方0-100km/h加速(s),8,8,8,-,-,-,-,-,-,-,-,-
基本参数,最高车速(km/h),210,210,210,175,200,200,210,210,200,200,200,200
基本参数,WLTC综合油耗(L/100km),6.20,6.20,6.29,6.50,6.65,6.14,6.4,6.4,6.40,6.14,6.14,6.14
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1315,1315,1350,1215,1310,1325,1325,1325,1340,1325,1325,1356
基本参数,最大满载质量(kg),1715,1715,1750,1615,1740,1760,1760,1760,1740,1760,1760,1760
车身,长度(mm),4785,4785,4785,4730,4730,4770,4770,4770,4730,4770,4770,4770
车身,宽度(mm),1840,1840,1840,1820,1820,1840,1840,1840,1820,1840,1840,1840
车身,高度(mm),1440,1440,1450,1505,1505,1440,1440,1440,1505,1440,1440,1440
车身,轴距(mm),2765,2765,2765,2700,2700,2765,2765,2765,2700,2765,2765,2765
车身,前轮距(mm),1590,1575,1575,1555,1555,1590,1575,1575,1555,1590,1575,1575
车身,后轮距(mm),1600,1585,1585,1566,1566,1600,1585,1585,1566,1600,1585,1585
车身,接近角(°),14,14,14,14,14,14,14,14,14,14,14,14
车身,离去角(°),18,18,18,18,18,18,18,18,18,18,18,18
车身,最小转弯半径(m),5.7,5.7,5.7,5.6,5.6,-,-,-,-,-,-,-
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,油箱容积(L),51,51,51,53,53,51,51,51,53,51,51,51
车身,后备厢容积(L),520,520,520,500,500,520,520,520,500,520,520,520
车身,风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
发动机,发动机型号,JL473ZQD,JL473ZQD,JL473ZQD,JL473QK,JL473ZQ9,JL473ZQA,JL473ZQD,JL473ZQD,JL473ZQ9,JL473ZQA,JL473ZQA,JL473ZQA
发动机,排量(mL),1494,1494,1494,1494,1392,1494,1494,1494,1392,1494,1494,1494
发动机,排量(L),1.5,1.5,1.5,1.5,1.4,1.5,1.5,1.5,1.4,1.5,1.5,1.5
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
发动机,压缩比,10,10,10,-,-,-,-,-,-,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,缸径(mm),73.5,73.5,73.5,-,-,-,-,-,-,-,-,-
发动机,行程(mm),88,88,88,-,-,-,-,-,-,-,-,-
发动机,最大马力(Ps),192,192,192,110,160,170,192,192,160,170,170,170
发动机,最大功率(kW),141,141,141,81,118,125,141,141,118,125,125,125
发动机,最大功率转速(rpm),5500,5500,5500,6000,5500,5500,5500,5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),310,310,310,152,260,260,310,310,260,260,260,260
发动机,最大扭矩转速(rpm),1500-4000,1500-4000,1500-4000,4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000
发动机,最大净功率(kW),136,136,136,78,116,122,136,136,116,122,122,122
发动机,发动机特有技术,-,-,-,DVVT,-,-,-,-,DVVT,-,-,-
发动机,能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
发动机,燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
变速箱,简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,5挡手动,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱,挡位个数,7,7,7,5,7,7,7,7,7,7,7,7
变速箱,变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手动变速箱(MT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
底盘转向,驱动方式,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱,● 前置前驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
