セクション,セクション_ja,項目,項目_ja,2026年モデル 1.5T DCT ラブラドール版,2026年モデル 1.5T DCT ボーダーコリー版,2026年モデル 2.0T DCT チュウカデンエンケン版,2024年モデル 1.5T DCT ラブラドール版,2024年モデル 1.5T DCT ボーダーコリー版,2024年モデル 2.0T DCT チュウカデンエンケン版
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"12.39万元（日本円 約2,601,900円）","12.99万元（日本円 約2,727,900円）","14.99万元（日本円 約3,147,900円）","12.39万元（日本円 約2,601,900円）","12.99万元（日本円 約2,727,900円）","14.99万元（日本円 約3,147,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"9.89万元（日本円 約2,076,900円）","10.49万元（日本円 約2,202,900円）","12.49万元（日本円 約2,622,900円）","9.09万元（日本円 約1,908,900円）","9.69万元（日本円 約2,034,900円）","11.69万元（日本円 約2,454,900円）"
基本参数,基本仕様,厂商,メーカー,長城汽車,長城汽車,長城汽車,長城汽車,長城汽車,長城汽車
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）,国VI（排ガス規制）
基本参数,基本仕様,上市时间,発売時期,2025.07,2025.07,2025.07,2023.07,2023.07,2023.07
基本参数,基本仕様,最大功率(kW),最大出力(kW),135,135,175,135,135,175
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),275,275,385,275,275,385
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,9速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,9速湿式デュアルクラッチ
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV,5ドア5人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.5T 184馬力 L4,1.5T 184馬力 L4,2.0T 238馬力 L4,1.5T 184馬力 L4,1.5T 184馬力 L4,2.0T 238馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4620×1890×1780（mm）,4620×1890×1780（mm）,4620×1890×1780（mm）,4620×1890×1780（mm）,4620×1890×1780（mm）,4620×1890×1780（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),-,-,-,-,-,-
