セクション,セクション_ja,項目,項目_ja,2025年モデル 改良版 A 180 L,2025年モデル 改良版 A 200 L ファッショナブルモデル,2025年モデル A 180 L,2025年モデル A 200 L ファッショナブルモデル
,nan,厂商指导价(元),メーカー希望小売価格(元),"25.13万元（日本円 約5,277,300円）","27.57万元（日本円 約5,789,700円）","25.13万元（日本円 約5,277,300円）","27.57万元（日本円 約5,789,700円）"
,nan,经销商报价,ディーラー販売価格（元）,"25.03万元（日本円 約5,256,300円）","27.47万元（日本円 約5,768,700円）","12.56万元（日本円 約2,637,600円）","13.78万元（日本円 約2,893,800円）"
基本参数,基本仕様,厂商,メーカー,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.10,2025.10,2024.07,2024.07
基本参数,基本仕様,最大功率(kW),最大出力(kW),100,120,100,120
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),230,270,230,270
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.3T 136馬力 L4,1.3T 163馬力 L4,1.3T 136馬力 L4,1.3T 163馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4630×1796×1459（mm）,4630×1796×1459（mm）,4630×1796×1459（mm）,4630×1796×1459（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),10.1,8.9,10.1,8.9
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),218,230,218,230
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.03,6.0,6.03,6.0
基本参数,基本仕様,整车质保,車両保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1412,1433,1412,1433
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1905,1910,1905,1910
车身,車体,长度(mm),全長(mm),4630,4630,4630,4630
车身,車体,宽度(mm),全幅(mm),1796,1796,1796,1796
车身,車体,高度(mm),全高(mm),1459,1459,1459,1459
车身,車体,轴距(mm),ホイールベース(mm),2789,2789,2789,2789
车身,車体,前轮距(mm),前トレッド(mm),1569,1569,1569,1569
车身,車体,后轮距(mm),後トレッド(mm),1558,1558,1558,1558
车身,車体,接近角(°),アプローチアングル(°),14,14,14,14
车身,車体,离去角(°),デパーチャーアングル(°),22,22,22,22
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5
车身,車体,后备厢容积(L),トランク容量(L),-,-,-,-
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,282 814,282 814,282 814,282 814
发动机,エンジン,排量(mL),排気量(mL),1332,1332,1332,1332
发动机,エンジン,排量(L),排気量(L),1.3,1.3,1.3,1.3
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4
