セクション,セクション_ja,項目,項目_ja,2025年モデル GLB 200 スポーツタイプ,2025年モデル GLB 200 ファッショナブルタイプ,2025年モデル GLB 220 スポーツタイプ,2025年モデル GLB 220 ファッショナブルタイプ,2025年モデル GLB 220 4MATIC
基本参数,基本仕様,厂商指导价(元),メーカー希望小売価格(元),"31.19万元（日本円 約6,549,900円）","32.19万元（日本円 約6,759,900円）","33.99万元（日本円 約7,137,900円）","34.99万元（日本円 約7,347,900円）","36.79万元（日本円 約7,725,900円）"
基本参数,基本仕様,经销商报价,ディーラー販売価格（元）,"18.19万元（日本円 約3,819,900円）","19.19万元（日本円 約4,029,900円）","20.99万元（日本円 約4,407,900円）","21.99万元（日本円 約4,617,900円）","23.79万元（日本円 約4,995,900円）"
基本参数,基本仕様,厂商,メーカー,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ
基本参数,基本仕様,级别,クラス,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV,コンパクトSUV
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.04,2025.04,2025.04,2025.04,2025.04
基本参数,基本仕様,最大功率(kW),最大出力(kW),120,120,140,140,140
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),270,270,300,300,300
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,8速湿式デュアルクラッチ,8速湿式デュアルクラッチ,8速湿式デュアルクラッチ
基本参数,基本仕様,车身结构,ボディ構造,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア5人乗りSUV,5ドア7人乗りSUV,5ドア7人乗りSUV
基本参数,基本仕様,发动机,エンジン,1.3T 163馬力 L4,1.3T 163馬力 L4,2.0T 190馬力 L4,2.0T 190馬力 L4,2.0T 190馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4638×1834×1696mm,4638×1834×1701mm,4638×1834×1696mm,4638×1834×1706mm,4638×1834×1706mm
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),10,10,8.8,8.8,8.6
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,210,210,205
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.86,6.96,6.94,7.02,7.47
基本参数,基本仕様,整车质保,車両保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証,● 3年走行距離無制限保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1608,1656,1646,1718,1778
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2105,2295,2145,2325,2385
车身,車体,长度(mm),全長(mm),4638,4638,4638,4638,4638
车身,車体,宽度(mm),全幅(mm),1834,1834,1834,1834,1834
车身,車体,高度(mm),全高(mm),1696,1701,1696,1706,1706
