セクション,セクション_ja,項目,項目_ja,2026年モデル 第4世代 1.5T 500Bar 劲享型,2026年モデル 第4世代 1.5T 500Bar 悦享型,2026年モデル 第4世代 1.5T 500Bar 智享型,2025年モデル PLUS 1.5L MT 豪華版,2025年モデル PLUS 1.4T DCT ハイパフォーマンス版,2025年モデル ブルーホエール 1.5T ハイパフォーマンス版,2025年モデル ブルーホエール 1.5T 500Bar プレミアム型,2025年モデル ブルーホエール 1.5T 500Bar フラッグシップ型,2024年モデル PLUS ブルーホエールNE 1.4T GDI DCT ハイパフォーマンス版,2024年モデル 1.5T GDI AT 快適享受版,2024年モデル 1.5T GDI AT プレミアム型,2024年モデル 1.5T GDI AT フラッグシップ型
,nan,厂商指导价(元),メーカー希望小売価格(元),"8.79万元（日本円 約1,845,900円）","9.39万元（日本円 約1,971,900円）","9.99万元（日本円 約2,097,900円）","7.29万元（日本円 約1,530,900円）","8.69万元（日本円 約1,824,900円）","8.39万元（日本円 約1,761,900円）","8.79万元（日本円 約1,845,900円）","9.69万元（日本円 約2,034,900円）","9.39万元（日本円 約1,971,900円）","8.39万元（日本円 約1,761,900円）","8.79万元（日本円 約1,845,900円）","9.69万元（日本円 約2,034,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"7.29万元（日本円 約1,530,900円）","7.89万元（日本円 約1,656,900円）","8.49万元（日本円 約1,782,900円）","3.99万元（日本円 約837,900円）","6.39万元（日本円 約1,341,900円）","6.79万元（日本円 約1,425,900円）","7.09万元（日本円 約1,488,900円）","7.79万元（日本円 約1,635,900円）","6.39万元（日本円 約1,341,900円）","5.39万元（日本円 約1,131,900円）","5.79万元（日本円 約1,215,900円）","7.89万元（日本円 約1,656,900円）"
基本参数,基本仕様,厂商,メーカー,長安自動車,長安自動車,長安自動車,長安自動車,長安自動車,長安自動車,長安自動車,長安自動車,長安自動車,長安自動車,長安自動車,長安自動車
基本参数,基本仕様,级别,クラス,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー,コンパクトカー
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制,国6排ガス規制
基本参数,基本仕様,上市时间,発売時期,2025.09,2025.09,2025.09,2025.04,2025.04,2025.04,2025.04,2025.04,2024.05,2024.03,2024.03,2024.03
基本参数,基本仕様,最大功率(kW),最大出力(kW),141,141,141,81,118,125,141,141,118,125,125,125
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),310,310,310,152,260,260,310,310,260,260,260,260
基本参数,基本仕様,变速箱,トランスミッション,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,5速マニュアル,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.5T 192馬力 L4,1.5T 192馬力 L4,1.5T 192馬力 L4,1.5L 110馬力 L4,1.4T 160馬力 L4,1.5T 170馬力 L4,1.5T 192馬力 L4,1.5T 192馬力 L4,1.4T 160馬力 L4,1.5T 170馬力 L4,1.5T 170馬力 L4,1.5T 170馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4785×1840×1440（mm）,4785×1840×1440（mm）,4785×1840×1450（mm）,4730×1820×1505（mm）,4730×1820×1505（mm）,4770×1840×1440（mm）,4770×1840×1440（mm）,4770×1840×1440（mm）,4730×1820×1505（mm）,4770×1840×1440（mm）,4770×1840×1440（mm）,4770×1840×1440（mm）
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),8,8,8,-,-,-,-,-,-,-,-,-
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),210,210,210,175,200,200,210,210,200,200,200,200
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.20,6.20,6.29,6.50,6.65,6.14,6.4,6.4,6.40,6.14,6.14,6.14
