セクション,セクション_ja,項目,項目_ja,2025年モデル 改良版 後輪駆動版,2025年モデル 改良版 ロングレンジ後輪駆動版,2025年モデル 改良版 ロングレンジ全輪駆動版,2025年モデル 改良版 高性能全輪駆動版,2025年モデル 後輪駆動版,2025年モデル ロングレンジ後輪駆動版,2025年モデル ロングレンジ全輪駆動版,2025年モデル 高性能全輪駆動版
,nan,厂商指导价(元),メーカー希望小売価格(元),"23.55万元（日本円 約4,945,500円）","25.95万元（日本円 約5,449,500円）","28.55万元（日本円 約5,995,500円）","33.95万元（日本円 約7,129,500円）","23.55万元（日本円 約4,945,500円）","25.95万元（日本円 約5,449,500円）","28.55万元（日本円 約5,995,500円）","33.95万元（日本円 約7,129,500円）"
,nan,经销商报价,ディーラー販売価格（元）,"23.55万元（日本円 約4,945,500円）","25.95万元（日本円 約5,449,500円）","28.55万元（日本円 約5,995,500円）","33.95万元（日本円 約7,129,500円）","23.55万元（日本円 約4,945,500円）","25.95万元（日本円 約5,449,500円）","28.55万元（日本円 約5,995,500円）","33.95万元（日本円 約7,129,500円）"
基本参数,基本仕様,厂商,メーカー,テスラ中国,テスラ中国,テスラ中国,テスラ中国,テスラ中国,テスラ中国,テスラ中国,テスラ中国
基本参数,基本仕様,级别,クラス,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー,ミッドサイズカー
基本参数,基本仕様,能源类型,エネルギータイプ,純電動,純電動,純電動,純電動,純電動,純電動,純電動,純電動
基本参数,基本仕様,上市时间,発売時期,2025.10,2025.10,2025.10,2025.10,2025.01,2025.08,2025.07,2025.08
基本参数,基本仕様,CLTC纯电续航里程(km),CLTC航続距離(km),634,830,753,647,634,830,753,647
基本参数,基本仕様,最大功率(kW),最大出力(kW),194,225,331,343,194,225,331,343
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),340,-,559,723,340,-,559,723
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,电动机(Ps),モーター出力(Ps),264,306,450,466,264,306,450,466
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4720×1848×1442,4720×1848×1442,4720×1848×1442,4724×1848×1430,4720×1848×1442,4720×1848×1442,4720×1848×1442,4724×1848×1430
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),6.1,5.2,3.8,3.1,6.1,5.2,3.8,3.1
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),200,200,200,261,200,200,200,261
基本参数,基本仕様,电能当量燃料消耗量(L/100km),電力換算燃料消費量(L/100km),1.3,1.28,1.40,1.65,1.3,-,1.40,-
基本参数,基本仕様,整车质保,車両保証,● 4年または8万km,● 4年または8万km,● 4年または8万km,● 4年または8万km,● 4年または8万km,● 4年または8万km,● 4年または8万km,● 4年または8万km
基本参数,基本仕様,整备质量(kg),車両重量(kg),1760,1760,1823,1851,1760,1760,1823,1851
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),2192,2192,2255,2268,2192,2192,2255,2268
车身,車体,长度(mm),全長(mm),4720,4720,4720,4724,4720,4720,4720,4724
车身,車体,宽度(mm),全幅(mm),1848,1848,1848,1848,1848,1848,1848,1848
车身,車体,高度(mm),全高(mm),1442,1442,1442,1430,1442,1442,1442,1430
车身,車体,轴距(mm),ホイールベース(mm),2875,2875,2875,2875,2875,2875,2875,2875
车身,車体,前轮距(mm),前トレッド(mm),1584,1584,1584,1582,1584,1584,1584,1582
车身,車体,后轮距(mm),後トレッド(mm),1584,1584,1584,1560,1584,1584,1584,1560
车身,車体,满载最小离地间隙(mm),満載時最低地上高(mm),138,138,138,128,138,138,138,128
车身,車体,接近角(°),アプローチアングル(°),13,13,13,12,13,13,13,12
车身,車体,离去角(°),デパーチャーアングル(°),12,12,12,12,12,12,12,12
车身,車体,最小转弯半径(m),最小回転半径(m),5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,前备厢容积(L),フロントトランク容量(L),88,88,88,88,88,88,88,88
车身,車体,后备厢容积(L),リアトランク容量(L),594,594,594,594,594,594,594,594
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
电动机,モーター,前电动机品牌,前モーターブランド,-,-,テスラ,テスラ,-,-,テスラ,テスラ
电动机,モーター,后电动机品牌,後モーターブランド,テスラ,テスラ,テスラ,テスラ,テスラ,テスラ,テスラ,テスラ
电动机,モーター,前电动机型号,前モーター型式,-,-,3D3,3D3,-,-,3D3,3D3
电动机,モーター,后电动机型号,後モーター型式,3D7,3D6,3D7,4D2,3D7,3D6,3D7,4D2
电动机,モーター,电机类型,モーター種類,永久磁石/同期,永久磁石/同期,前誘導/非同期 後永久磁石/同期,前誘導/非同期 後永久磁石/同期,永久磁石/同期,永久磁石/同期,前誘導/非同期 後永久磁石/同期,前誘導/非同期 後永久磁石/同期
