セクション,項目,零跑B01 2025款 430舒享版,零跑B01 2025款 550舒享版,零跑B01 2025款 550悦享版,零跑B01 2025款 550激光雷达版,零跑B01 2025款 650悦享版,零跑B01 2025款 650激光雷达版,零跑B01 2025款 550智行版
,厂商指导价(元),8.98万 计算器,9.58万 计算器,10.38万 计算器,11.38万 计算器,10.98万 计算器,11.98万 计算器,14.97万 计算器
,经销商报价,8.78万起 询底价,9.38万起 询底价,10.18万起 询底价,11.18万起 询底价,10.78万起 询底价,11.78万起 询底价,14.77万起 询底价
基本参数,厂商,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车
基本参数,级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
基本参数,上市时间,2025.07,2025.07,2025.07,2025.07,2025.07,2025.07,2025.08
基本参数,CLTC纯电续航里程(km),430,550,550,550,650,650,550
基本参数,电池快充时间(小时),0.3,0.3,0.3,0.3,0.32,0.32,0.3
基本参数,电池慢充时间(小时),3.8,4.2,4.2,4.2,5.6,5.6,4.2
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),100,132,160,160,160,160,132
基本参数,最大扭矩(N·m),175,175,240,240,240,240,175
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,电动机(Ps),136,180,218,218,218,218,180
基本参数,长*宽*高(mm),4770*1880*1490,4770*1880*1490,4770*1880*1490,4770*1880*1490,4770*1880*1490,4770*1880*1490,4770*1880*1490
基本参数,官方0-100km/h加速(s),9.4,8.7,6.4,6.4,6.5,6.5,8.7
基本参数,最高车速(km/h),150,150,160,160,160,160,150
基本参数,电能当量燃料消耗量(L/100km),1.32,1.32,1.32,1.32,1.34,1.34,1.32
基本参数,整车质保,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,-
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,-
基本参数,整备质量(kg),1550,1625,1660,1660,1711,1711,1625
基本参数,最大满载质量(kg),1940,2015,2050,2050,2101,2101,2015
车身,长度(mm),4770,4770,4770,4770,4770,4770,4770
车身,宽度(mm),1880,1880,1880,1880,1880,1880,1880
车身,高度(mm),1490,1490,1490,1490,1490,1490,1490
车身,轴距(mm),2735,2735,2735,2735,2735,2735,2735
车身,前轮距(mm),1600,1600,1600,1600,1600,1600,1600
车身,后轮距(mm),1600,1600,1600,1600,1600,1600,1600
车身,空载最小离地间隙(mm),140,140,140,140,140,140,140
车身,接近角(°),14,14,14,14,14,14,14
车身,离去角(°),17,17,17,17,17,17,17
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),460,460,460,460,460,460,460
车身,风阻系数(Cd),0.197,0.197,0.197,0.197,0.197,0.197,0.197
电动机,后电动机品牌,中车时代,中车时代,金华凌昇,金华凌昇,金华凌昇,金华凌昇,中车时代
电动机,后电动机型号,TZ180XS102,TZ180XS101,TZ180XY005,TZ180XY005,TZ180XY005,TZ180XY005,TZ180XS101
